item,score,user,rank,Algorithm
1191,4.882300739126013,2,1,ii
1594,4.809832972046628,2,2,ii
169,4.798452310445507,2,3,ii
427,4.795447273048534,2,4,ii
479,4.739377838472944,2,5,ii
1642,4.737812818553448,2,6,ii
1449,4.727285180150257,2,7,ii
1398,4.723509101762831,2,8,ii
191,4.7034678702630925,2,9,ii
408,4.702118229740421,2,10,ii
114,4.699337546246667,2,11,ii
603,4.689144625246694,2,12,ii
511,4.679255116214826,2,13,ii
483,4.651176770650348,2,14,ii
1639,4.647952154773931,2,15,ii
134,4.640977160741798,2,16,ii
1125,4.626532076866704,2,17,ii
868,4.596243644829951,2,18,ii
199,4.596020733839855,2,19,ii
654,4.590321165937994,2,20,ii
963,4.590026057518936,2,21,ii
318,4.5898110311317994,2,22,ii
357,4.578039642022696,2,23,ii
513,4.570795309519606,2,24,ii
64,4.5704119245368595,2,25,ii
119,4.55329506079877,2,26,ii
98,4.545669071369284,2,27,ii
187,4.545262396857196,2,28,ii
1007,4.539601693811827,2,29,ii
50,4.5335605179800575,2,30,ii
12,4.5333038619682275,2,31,ii
23,4.5241613259948785,2,32,ii
197,4.522467795973366,2,33,ii
178,4.5115257093563494,2,34,ii
480,4.5091983304771786,2,35,ii
1251,4.5054447962348165,2,36,ii
909,4.491539049568174,2,37,ii
272,4.489360564662446,2,38,ii
611,4.483904830984063,2,39,ii
515,4.481828092664525,2,40,ii
493,4.473758041465171,2,41,ii
136,4.461555134542975,2,42,ii
530,4.4608203455251045,2,43,ii
923,4.4496820033579185,2,44,ii
661,4.4430145353524715,2,45,ii
1537,4.434194963964385,2,46,ii
1367,4.43035917084876,2,47,ii
1512,4.429746425545472,2,48,ii
182,4.426973408943725,2,49,ii
113,4.420709845666904,2,50,ii
867,4.418713539528574,2,51,ii
484,4.4142679704446355,2,52,ii
474,4.402977751233162,2,53,ii
657,4.402420976397871,2,54,ii
651,4.3969495216351,2,55,ii
180,4.396847101380188,2,56,ii
170,4.3936132337126255,2,57,ii
9,4.391242514914407,2,58,ii
45,4.383771755949428,2,59,ii
488,4.382956626194303,2,60,ii
1020,4.382942005193335,2,61,ii
936,4.382656616858817,2,62,ii
192,4.373468229558692,2,63,ii
606,4.3717620088759,2,64,ii
315,4.370071255529044,2,65,ii
193,4.370048073490623,2,66,ii
482,4.370040080766524,2,67,ii
656,4.364720696483956,2,68,ii
694,4.364022328283801,2,69,ii
