user,item,rating
2,292,4
2,314,1
2,279,4
2,305,3
2,296,3
2,272,5
2,111,4
2,316,5
2,19,3
2,315,1
2,293,4
2,50,5
5,229,2
5,373,3
5,139,3
5,448,2
5,369,1
5,172,5
5,438,1
5,376,2
5,1,4
5,95,4
5,204,4
5,440,1
5,208,4
5,168,3
5,396,5
5,439,1
5,377,1
5,167,2
5,366,3
5,409,2
5,101,5
5,151,3
5,446,4
5,63,1
5,173,4
5,424,1
5,239,4
5,408,5
5,394,2
5,436,5
5,392,2
5,456,1
5,80,2
5,455,4
5,449,2
7,447,5
7,474,5
7,545,2
7,603,4
7,72,5
7,610,5
7,89,5
7,195,5
7,227,3
7,153,5
7,10,4
7,203,5
7,382,4
7,484,5
7,629,3
7,100,5
7,258,4
7,683,4
7,633,5
7,162,5
7,435,5
7,205,5
7,618,4
7,591,3
7,513,4
7,384,3
7,463,4
7,126,3
7,670,5
7,480,4
7,491,5
7,286,4
7,391,3
7,631,4
7,527,5
7,611,3
7,605,4
7,318,5
7,665,4
7,77,5
7,495,5
7,228,4
7,420,5
7,587,4
7,649,5
7,563,2
7,596,5
7,546,4
7,212,1
7,553,3
7,613,4
7,561,4
7,294,1
7,192,4
7,198,3
7,70,1
7,396,4
7,452,5
7,202,3
7,548,5
7,415,2
7,612,5
7,519,4
7,586,3
7,661,5
7,501,5
7,223,5
7,550,4
7,672,1
7,431,4
7,176,3
7,143,3
7,615,4
7,210,4
7,168,5
7,389,4
7,418,4
7,583,2
7,187,4
7,163,4
7,201,2
8,685,4
8,689,4
8,385,1
8,56,5
8,651,5
8,258,5
8,229,5
8,144,5
8,174,5
8,172,5
8,195,5
8,50,5
9,340,4
9,507,4
9,690,1
9,286,5
11,211,3
11,204,3
11,88,3
11,730,3
11,291,4
11,123,3
11,752,4
11,427,4
11,259,3
11,423,5
11,573,3
11,429,5
11,710,2
11,508,4
11,743,2
11,577,3
11,120,2
11,738,3
11,79,4
11,402,4
11,719,3
11,98,2
11,383,2
11,12,2
11,277,5
11,549,4
11,739,3
11,741,5
11,15,5
11,654,3
11,745,5
11,11,2
11,203,4
11,724,3
11,399,3
11,29,3
12,161,5
12,203,3
12,754,4
12,191,5
12,174,5
12,753,5
12,88,5
12,276,4
12,4,5
12,159,4
25,633,4
25,968,4
25,275,4
25,79,4
25,655,4
25,477,4
25,692,4
25,183,4
25,742,4
25,357,4
25,82,4
25,8,4
25,479,5
25,604,4
25,177,3
25,114,5
34,310,4
34,332,5
34,898,5
34,288,2
43,956,1
43,120,4
43,1055,2
43,323,3
43,300,5
43,275,4
43,402,4
43,516,5
43,86,4
43,283,2
43,276,4
43,102,4
43,951,3
43,328,4
43,210,5
43,498,5
43,231,4
43,225,2
43,64,5
43,133,4
43,879,4
43,79,4
43,321,3
43,122,2
43,432,3
43,755,3
43,211,4
43,944,2
43,596,3
43,203,4
43,939,3
43,290,4
43,216,5
43,168,4
43,403,4
43,257,4
43,724,4
43,1053,3
43,123,1
43,237,4
43,486,4
43,3,2
43,58,3
43,866,4
49,182,3
49,995,3
49,287,4
49,367,3
49,70,2
49,82,1
49,147,1
49,231,3
49,302,4
49,185,5
49,878,2
49,239,2
49,325,3
49,294,1
49,542,2
49,1074,2
49,289,4
49,200,3
49,268,3
49,741,4
49,758,1
49,204,1
49,121,1
49,657,5
49,738,3
49,148,1
49,1083,2
49,175,5
49,129,2
49,300,1
49,346,4
49,101,3
49,1066,2
49,301,3
49,919,5
49,1078,1
49,501,3
49,1081,3
49,928,2
49,90,1
49,11,3
49,1017,3
49,168,5
51,132,4
51,172,5
51,479,3
51,182,3
51,144,5
54,127,4
54,471,4
54,871,5
54,1,4
54,237,4
54,307,4
54,288,4
54,1088,3
54,245,4
54,121,4
54,106,3
54,252,3
54,50,5
56,402,5
56,473,2
56,449,5
56,28,5
56,443,4
56,70,4
56,405,4
56,421,4
56,399,4
56,410,4
56,222,5
56,450,3
56,797,4
56,95,4
56,226,4
56,781,4
56,154,2
56,143,3
56,1091,2
56,946,4
56,869,3
56,77,3
56,176,5
56,372,3
56,523,4
56,408,4
56,228,3
56,778,4
56,173,4
56,11,4
56,280,4
56,1074,3
56,117,5
56,376,3
56,1028,4
56,225,2
56,300,4
57,42,5
57,473,3
57,298,3
57,79,5
57,763,5
57,50,5
57,826,2
57,100,5
57,199,5
57,932,3
57,284,3
57,282,5
57,409,4
57,321,4
57,295,5
57,456,3
57,195,3
57,225,3
57,243,3
57,64,5
57,411,4
77,175,4
77,195,5
77,1,5
77,134,4
77,154,5
77,173,5
77,23,4
77,50,4
77,172,3
77,455,3
77,228,3
77,96,3
77,97,2
77,778,2
81,1047,3
81,111,3
81,273,4
81,926,3
81,42,4
81,405,3
81,591,5
81,150,3
81,1,4
81,476,2
81,432,2
81,283,4
86,888,4
86,872,3
86,269,4
86,889,5
86,326,3
92,825,4
92,288,3
92,11,4
92,763,3
92,15,3
92,22,3
92,931,1
92,229,3
92,551,2
92,732,3
92,216,3
92,2,3
92,581,4
92,174,5
92,986,2
92,72,3
92,40,3
92,120,2
92,453,1
92,432,3
92,747,4
92,274,4
92,961,4
92,258,4
92,318,2
92,96,4
92,707,4
92,1047,1
92,179,5
92,7,4
92,116,3
92,85,3
92,620,3
92,685,3
92,149,3
92,222,4
92,295,2
92,456,2
92,834,1
92,191,4
92,94,3
92,249,3
92,289,3
92,949,3
92,748,3
92,1157,2
92,225,3
92,1016,2
92,193,4
92,38,3
92,947,4
92,135,4
92,122,3
92,771,1
92,183,4
92,241,3
92,108,2
92,252,4
92,846,3
92,393,3
92,729,4
92,1033,2
92,48,4
92,233,3
92,144,4
92,1028,2
92,91,3
92,925,3
92,217,3
92,208,4
92,58,4
92,575,2
92,328,3
92,39,3
92,406,2
92,800,3
92,382,4
92,531,4
95,227,2
95,1116,4
95,712,2
95,862,1
95,791,3
95,198,5
95,465,3
95,51,4
95,1206,4
95,705,5
95,496,4
95,96,4
95,1219,1
95,1090,1
95,1,5
95,73,4
95,474,4
95,471,5
95,568,4
95,237,2
95,286,5
95,257,5
95,143,4
95,170,5
95,194,5
95,485,5
95,636,1
95,679,2
95,197,4
95,141,4
95,52,4
95,588,3
95,8,5
95,282,4
95,491,4
95,177,3
95,83,5
95,747,5
95,64,5
95,523,4
95,68,4
95,399,4
95,1188,2
95,436,5
95,692,4
95,463,5
95,215,4
95,77,4
95,290,3
95,498,3
95,398,1
95,451,3
95,234,2
95,185,3
95,275,3
95,631,4
110,790,4
110,313,5
110,1250,3
110,550,3
110,79,4
110,245,3
110,578,3
110,231,1
110,779,3
110,905,3
110,212,1
110,88,4
110,802,3
110,327,3
110,43,3
110,642,2
110,33,4
110,54,4
110,12,4
110,401,3
110,575,3
110,569,4
110,739,4
110,94,4
110,63,3
110,947,3
110,651,4
111,311,4
111,1024,3
111,305,2
111,896,2
111,333,4
127,227,4
127,271,5
127,222,5
127,294,4
127,901,5
138,519,5
138,497,5
138,117,4
138,517,4
138,26,5
138,523,5
138,493,4
138,111,4
138,318,5
138,435,5
148,140,1
148,663,5
148,177,2
148,474,5
148,8,4
148,98,3
148,190,2
148,135,5
148,509,5
148,408,5
148,1012,4
148,127,1
148,495,4
152,1300,4
152,1035,4
152,778,3
152,720,5
152,371,4
152,272,5
152,280,5
152,66,5
152,241,4
152,410,4
152,845,3
152,354,3
152,117,4
152,215,5
152,132,5
152,15,5
152,284,5
152,716,5
152,402,5
152,80,5
152,67,5
153,187,2
153,321,3
153,56,5
153,323,2
153,265,4
157,269,4
157,410,4
157,1051,4
157,1244,3
157,235,5
157,740,2
157,1132,3
157,93,3
157,313,5
157,298,4
158,228,5
158,252,3
158,729,3
158,293,4
158,183,3
158,210,4
158,566,3
158,271,4
158,163,4
158,226,3
158,518,4
158,298,3
158,250,4
158,471,4
158,82,5
158,128,2
158,148,4
158,1303,3
158,652,4
158,85,4
158,231,2
158,1016,3
158,530,4
158,149,3
158,120,1
158,53,1
158,194,5
158,187,5
158,55,4
158,684,3
158,238,5
158,176,4
158,4,4
158,562,4
158,107,3
160,544,4
160,153,3
160,933,3
160,157,5
160,276,5
160,640,3
160,50,4
160,192,5
160,693,5
160,248,5
160,129,4
160,185,5
160,969,1
160,169,4
160,195,4
160,211,4
160,719,3
160,240,4
160,952,4
160,1142,5
160,201,5
160,1,4
160,237,3
160,218,4
162,826,3
162,1012,4
162,42,3
162,294,3
162,79,4
162,474,3
162,742,4
162,943,4
165,432,5
165,419,4
165,270,4
165,127,4
165,223,4
165,15,5
168,225,5
168,409,4
168,274,4
168,597,3
168,1,5
168,123,3
168,235,2
168,685,3
168,988,2
168,100,4
168,924,2
168,259,2
168,25,5
168,405,4
173,938,3
173,269,4
173,881,3
173,303,5
173,874,4
173,259,3
173,334,4
173,286,5
173,301,5
180,318,5
180,213,5
180,111,5
180,735,4
180,380,5
180,235,4
180,790,1
180,961,5
180,939,4
180,462,5
180,53,5
180,79,3
180,173,5
187,28,4
187,433,4
187,792,5
187,582,1
187,65,5
187,135,4
187,23,4
187,736,4
187,215,3
187,428,4
187,179,5
191,272,4
191,316,5
191,754,3
191,315,5
191,891,3
192,276,2
192,7,4
192,25,4
192,100,5
192,1171,2
192,269,3
192,289,4
194,23,4
194,871,2
194,582,1
194,467,5
194,820,1
194,133,3
194,739,3
194,89,3
194,239,3
194,433,3
194,223,4
194,64,5
194,443,3
194,155,3
194,95,3
194,94,3
194,228,1
194,153,3
194,450,1
194,180,3
194,387,2
194,770,4
194,663,4
194,376,2
194,284,3
194,98,4
194,26,3
194,31,3
194,503,4
194,647,4
194,58,4
194,651,3
194,466,4
194,13,4
194,187,4
194,90,3
194,971,3
194,404,3
194,762,3
194,657,4
194,517,3
194,215,3
194,1220,3
194,566,4
194,1207,1
194,162,3
194,132,3
194,144,4
194,226,3
194,403,2
194,28,5
194,56,5
194,81,2
194,219,2
194,661,5
194,633,3
194,204,4
194,616,3
194,259,2
194,125,2
194,481,3
201,1423,3
201,466,4
201,181,2
201,1070,5
201,272,3
201,1069,2
201,960,2
201,175,2
201,792,4
201,1103,3
201,697,4
201,513,3
201,387,2
201,413,3
201,886,1
201,27,3
201,173,3
201,215,2
201,655,4
201,222,3
201,1192,3
201,1128,4
201,289,2
201,358,1
201,116,1
201,423,4
201,206,2
201,1193,4
201,25,3
201,551,1
201,325,5
201,81,1
201,980,3
201,705,3
201,825,1
201,1211,3
201,515,5
201,436,3
201,59,4
201,22,2
201,47,4
201,421,2
201,1131,5
201,193,3
201,1136,1
201,1355,1
201,972,3
201,385,2
201,237,4
201,473,3
201,1065,3
201,896,3
201,735,3
201,708,4
201,288,4
201,955,3
201,375,3
201,676,2
201,567,3
201,919,3
201,319,2
201,685,3
201,1169,4
201,1422,2
201,1424,3
201,233,4
201,1045,2
201,346,4
201,537,3
201,28,3
201,196,4
201,197,4
201,176,4
201,844,2
201,117,2
201,160,5
201,590,1
209,127,5
209,9,3
209,688,1
209,293,4
209,898,3
209,766,4
209,1086,4
211,687,2
211,310,3
211,1127,1
211,528,4
211,181,1
211,423,5
211,1330,3
220,286,5
220,258,3
220,298,4
220,268,4
223,328,3
223,282,4
223,411,1
223,1,4
223,121,3
223,258,1
223,249,2
223,975,1
223,185,2
223,1284,1
223,274,4
223,117,5
223,259,3
223,276,4
223,826,1
223,255,4
223,864,3
223,216,5
223,717,1
223,866,4
223,300,3
237,528,5
237,180,4
237,286,3
237,183,5
237,178,4
237,1192,5
237,494,4
237,190,4
237,513,5
237,408,5
243,127,4
243,1368,2
243,275,3
243,86,5
243,268,4
243,477,4
243,125,3
243,1281,5
243,306,4
243,93,2
243,28,4
243,737,3
243,708,3
243,285,5
243,694,4
243,660,4
247,70,5
247,1022,4
247,340,3
247,251,4
247,50,5
248,475,5
248,55,4
248,234,4
248,250,3
248,928,3
248,117,5
248,185,3
248,50,5
248,283,1
248,181,4
248,179,3
273,272,4
273,902,5
273,307,2
273,896,4
274,597,3
274,83,5
274,237,4
274,111,4
274,318,5
274,211,5
274,100,5
274,685,5
274,629,5
274,50,5
274,118,4
274,877,3
274,255,2
274,1063,4
275,191,4
275,423,4
275,132,3
275,449,3
275,95,3
275,252,2
275,470,3
275,96,3
275,121,3
275,304,3
275,265,4
275,448,3
275,50,4
275,1066,3
275,188,2
275,173,3
275,432,4
275,186,3
275,183,3
278,311,4
278,315,4
278,882,3
278,245,3
278,269,5
283,50,5
283,21,3
283,91,5
283,83,4
283,210,5
283,1009,3
283,56,5
283,216,4
283,175,4
283,1487,2
283,845,4
285,357,5
285,168,4
285,538,5
285,194,4
285,151,5
285,205,4
287,815,3
287,156,5
287,92,4
287,652,4
287,9,5
287,298,4
287,327,5
287,56,5
287,208,4
287,181,3
287,100,5
287,257,4
289,282,3
289,685,4
289,151,2
289,477,2
289,849,4
293,81,4
293,152,4
293,480,5
293,56,4
293,91,2
293,160,4
293,3,2
293,315,3
293,55,4
293,282,2
293,23,4
293,26,3
293,425,4
293,1044,2
293,284,2
293,5,3
293,1046,1
293,15,3
293,820,2
293,87,4
293,122,3
293,572,2
293,531,4
293,497,4
293,14,3
293,275,3
293,856,3
293,421,3
293,942,4
293,234,5
293,367,2
293,255,3
293,156,4
293,203,3
293,568,4
293,125,2
293,223,4
293,1048,3
293,660,2
293,1267,3
293,172,5
293,313,4
293,845,2
293,251,4
293,1209,2
293,47,3
293,217,3
293,696,2
293,76,3
293,655,3
293,366,2
293,550,1
293,678,2
293,25,3
293,843,3
293,742,2
293,70,3
293,98,4
293,161,2
293,218,2
293,402,2
293,705,5
293,227,2
293,810,1
293,298,4
293,427,4
293,665,2
293,182,5
293,22,3
293,173,5
293,1298,3
293,49,3
293,866,3
293,629,3
293,210,3
293,264,3
293,346,3
293,1042,3
294,1199,2
294,358,2
294,334,4
294,281,3
294,254,3
294,876,3
294,324,4
294,544,4
294,300,4
294,872,4
294,291,2
294,476,3
294,273,3
294,535,4
294,147,4
294,455,3
294,881,3
294,508,4
294,411,3
294,742,4
294,257,3
294,151,5
294,327,3
294,829,3
294,1134,3
294,122,3
294,1254,3
294,235,3
294,1014,2
294,323,3
296,528,5
296,435,5
296,1009,3
296,144,4
296,510,5
296,9,4
296,83,5
296,628,5
296,125,5
296,211,4
296,50,5
296,1160,4
296,282,4
296,480,5
296,24,2
296,685,4
296,259,1
296,950,4
296,179,4
296,293,5
296,429,5
296,89,5
296,48,5
296,846,2
296,221,5
296,244,1
296,475,4
296,309,1
296,274,4
297,864,3
297,31,3
297,652,3
297,1296,4
297,736,4
297,271,2
297,1109,3
297,223,5
297,423,3
297,47,2
297,751,4
297,151,3
297,148,3
297,243,1
297,117,4
297,211,4
297,235,2
297,32,4
297,34,3
297,237,4
297,347,3
297,128,4
297,257,3
297,705,2
297,625,3
297,748,2
297,228,2
297,1136,3
297,92,3
297,11,4
297,946,2
297,298,5
297,515,5
297,248,3
297,471,3
297,485,3
297,197,3
297,195,1
298,281,3
298,1,5
298,153,3
298,498,5
298,465,4
298,946,3
298,50,5
298,526,5
298,183,3
298,286,4
298,317,4
298,210,5
298,514,4
298,604,5
298,482,5
298,419,5
298,503,4
298,22,4
298,152,3
298,485,3
298,1142,4
298,178,5
298,866,3
298,530,5
298,502,5
322,197,5
322,258,4
322,50,5
322,751,2
322,32,5
322,1,2
322,653,4
322,654,5
322,346,3
322,182,5
333,255,3
333,873,3
333,513,4
333,315,5
333,739,5
334,525,5
334,906,5
334,312,2
334,79,4
334,340,3
334,537,4
334,428,4
334,182,3
334,231,2
334,620,2
334,675,4
334,512,4
334,905,1
334,197,4
334,185,4
334,245,2
334,209,3
334,74,2
334,461,3
334,969,4
334,505,4
334,13,3
334,345,2
334,684,4
334,371,2
334,71,3
334,333,4
334,287,3
334,288,3
334,179,4
334,710,3
334,1133,4
334,313,4
334,300,3
334,936,3
334,514,4
334,846,3
334,303,4
334,223,5
334,430,4
334,922,4
334,462,4
334,1202,4
334,886,4
334,220,3
334,216,3
334,42,4
334,607,3
334,9,4
334,275,4
334,1411,1
334,1313,4
334,761,2
334,289,3
334,640,4
334,425,4
334,561,2
334,481,5
334,186,3
334,324,4
334,1525,4
334,476,3
334,450,1
334,193,4
334,443,3
334,887,5
334,307,3
351,326,5
351,750,5
351,880,2
351,895,3
351,245,3
351,879,5
351,288,3
351,343,3
351,292,4
362,328,2
362,332,5
362,245,4
362,678,2
362,268,2
365,321,5
365,1137,5
365,762,4
365,285,4
365,13,3
365,1017,4
365,340,5
365,271,4
365,813,5
365,277,4
365,124,4
365,894,1
376,275,5
376,514,4
376,289,3
376,246,3
376,707,4
376,288,3
385,114,5
385,1449,4
385,253,3
385,168,3
385,473,3
385,286,3
385,658,2
385,251,2
385,192,5
385,500,4
385,421,2
385,674,3
385,273,2
385,151,2
385,940,3
385,664,3
385,215,2
385,254,1
385,1097,5
385,673,2
385,1022,3
385,1154,5
385,160,4
385,207,4
385,557,2
385,29,1
385,568,3
385,498,3
385,210,1
385,507,3
385,1131,3
385,37,4
385,1012,3
385,528,4
385,347,3
385,197,4
385,1037,1
385,1128,3
385,486,2
385,357,4
385,487,4
385,132,4
385,1014,2
385,503,3
385,428,3
385,529,4
385,603,5
385,185,5
385,1428,4
385,405,2
385,383,1
385,419,2
385,385,1
385,455,4
385,1007,3
385,961,4
386,222,4
386,455,3
386,273,3
386,982,3
386,825,4
387,474,5
387,806,1
387,432,4
387,97,2
387,444,4
387,183,4
387,195,4
387,12,5
387,181,4
387,847,3
387,578,2
387,219,2
387,473,4
387,581,4
387,731,1
387,496,3
387,697,1
387,100,5
387,580,5
387,199,4
387,381,4
387,319,1
387,521,3
387,179,5
387,11,3
387,69,3
387,593,3
387,61,3
387,294,2
387,289,1
387,737,3
387,321,3
387,715,5
387,133,2
387,1129,4
387,13,4
387,58,4
387,470,3
387,39,3
387,50,5
387,198,4
387,972,2
387,197,2
