item,score,user,rank,Algorithm
763,3.270000000000001,14,1,trst
24,2.7050234909867465,14,2,trst
529,2.698666666666667,14,3,trst
125,2.690735632183908,14,4,trst
23,2.6169549414068163,14,5,trst
343,2.6100000000000003,14,6,trst
80,2.559068965517241,14,7,trst
66,2.5453968253968258,14,8,trst
26,2.5315689655172413,14,9,trst
214,2.528741159474907,14,10,trst
86,3.004333333333333,19,1,trst
447,2.990190476190477,19,2,trst
18,2.8483333333333327,19,3,trst
2,2.824094313152274,19,4,trst
23,2.8033333333333332,19,5,trst
28,2.6791241305510973,19,6,trst
475,2.674,19,7,trst
55,2.647155818232432,19,8,trst
85,2.6223333333333336,19,9,trst
58,2.6183722438334955,19,10,trst
810,3.160555555555556,24,1,trst
22,3.1434865900383144,24,2,trst
55,3.073013725969478,24,3,trst
217,3.05984126984127,24,4,trst
125,2.936,24,5,trst
42,2.8768117817370764,24,6,trst
23,2.8631666666666664,24,7,trst
24,2.8316666666666657,24,8,trst
290,2.822880794159443,24,9,trst
540,2.7966666666666664,24,10,trst
28,3.1838095238095243,26,1,trst
55,3.0318571428571426,26,2,trst
169,2.9866666666666672,26,3,trst
280,2.880000000000001,26,4,trst
6,2.8596666666666675,26,5,trst
453,2.84093954248366,26,6,trst
168,2.722857142857143,26,7,trst
339,2.711666666666667,26,8,trst
125,2.6409677951640425,26,9,trst
119,2.6258571428571438,26,10,trst
140,3.1366666666666667,27,1,trst
42,2.9984920634920638,27,2,trst
638,2.9267275751547333,27,3,trst
122,2.854047619047619,27,4,trst
218,2.7507142857142863,27,5,trst
23,2.740277777777778,27,6,trst
22,2.738645320197045,27,7,trst
119,2.728714285714286,27,8,trst
53,2.724880952380953,27,9,trst
217,2.7159523809523805,27,10,trst
55,2.7587619047619043,55,1,trst
42,2.6225396825396827,55,2,trst
24,2.5477669890851087,55,3,trst
23,2.481054007684155,55,4,trst
529,2.4349477013778484,55,5,trst
343,2.413333333333334,55,6,trst
47,2.410833333333333,55,7,trst
66,2.403796350026497,55,8,trst
810,2.379761904761905,55,9,trst
175,2.3614285714285717,55,10,trst
23,2.5280797297297295,66,1,trst
529,2.481973423423423,66,2,trst
66,2.450822072072072,66,3,trst
2,2.405736186186186,66,4,trst
55,2.373128828828829,66,5,trst
447,2.3588220720720714,66,6,trst
216,2.354662612612613,66,7,trst
24,2.3527463963963964,66,8,trst
129,2.3512050836550835,66,9,trst
122,2.33864009009009,66,10,trst
23,2.5728901901901904,70,1,trst
529,2.526783883883884,70,2,trst
66,2.4956325325325324,70,3,trst
2,2.4505466466466466,70,4,trst
55,2.4179392892892895,70,5,trst
447,2.4036325325325323,70,6,trst
216,2.3994730730730733,70,7,trst
24,2.397556856856857,70,8,trst
129,2.396015544115544,70,9,trst
122,2.3834505505505503,70,10,trst
2,2.866666666666666,71,1,trst
24,2.731666666666667,71,2,trst
23,2.49044994994995,71,3,trst
53,2.4508333333333336,71,4,trst
529,2.4443436436436436,71,5,trst
175,2.439793282905624,71,6,trst
66,2.4131922922922917,71,7,trst
218,2.3976190476190484,71,8,trst
55,2.3354990490490493,71,9,trst
71,2.3282347654576507,71,10,trst
55,2.8639999999999994,74,1,trst
125,2.7566666666666664,74,2,trst
23,2.566501914414415,74,3,trst
529,2.5203956081081085,74,4,trst
9,2.496666666666667,74,5,trst
66,2.4892442567567565,74,6,trst
119,2.458,74,7,trst
2,2.4441583708708707,74,8,trst
346,2.4400000000000004,74,9,trst
447,2.397244256756757,74,10,trst
23,3.370747176346661,75,1,trst
529,3.2826666666666675,75,2,trst
66,3.1484523809523814,75,3,trst
47,2.990061728395061,75,4,trst
125,2.9841234869291022,75,5,trst
2,2.970333333333333,75,6,trst
86,2.970166666666666,75,7,trst
42,2.955420570331775,75,8,trst
55,2.952095238095237,75,9,trst
24,2.905676534431066,75,10,trst
55,3.258346827447602,81,1,trst
9,3.0933333333333337,81,2,trst
529,3.0355555555555562,81,3,trst
125,3.004669639182247,81,4,trst
23,2.9732382161632365,81,5,trst
47,2.954166666666667,81,6,trst
214,2.8015715494965696,81,7,trst
172,2.7755555555555556,81,8,trst
58,2.7642511155405263,81,9,trst
24,2.754071549496569,81,10,trst
55,4.235190476190476,84,1,trst
125,4.127857142857143,84,2,trst
24,4.106190476190476,84,3,trst
26,3.9686904761904764,84,4,trst
168,3.926190476190477,84,5,trst
