user,item,rating
20,86,2.5
22,120,1.57
28,18,2.54
32,907,2.46
36,24,2.12
42,195,1.08
44,642,1.61
49,924,1.49
52,511,2.61
62,951,1.51
68,960,2.14
71,503,2.09
75,18,2.32
82,278,1.38
86,24,2.39
88,71,1.99
97,1031,1.65
105,453,1.89
113,1040,1.99
118,481,1.63
122,43,2.0
124,831,2.31
131,195,1.64
133,842,2.12
134,85,2.58
137,218,2.11
3,18,2.16
5,8,2.83
8,458,1.6
9,29,2.89
12,195,1.43
16,195,1.46
19,175,2.44
34,22,2.02
37,133,1.92
37,24,2.06
39,13,1.97
47,175,2.26
50,569,1.45
63,808,2.06
64,276,1.72
73,55,2.26
79,433,1.43
80,198,2.22
87,706,1.7
89,724,2.44
95,1009,1.98
101,953,2.02
103,762,2.99
108,67,2.15
112,693,1.96
115,122,2.66
121,22,2.31
1,22,2.02
1,933,1.69
7,22,2.05
10,885,1.5
23,280,1.69
25,338,1.96
29,324,1.55
31,235,1.56
35,912,2.11
41,23,2.41
46,983,2.54
53,930,1.98
57,739,2.55
59,24,2.41
67,603,2.52
70,94,2.29
72,968,1.99
84,987,1.88
90,1049,2.28
91,1002,2.03
98,1022,1.72
99,305,2.09
107,13,1.25
116,6,1.71
129,811,2.51
11,888,2.13
13,24,1.8
13,491,1.56
14,939,1.53
18,892,1.6
21,283,1.42
26,58,3.13
27,8,1.75
38,916,2.45
40,919,2.46
55,936,1.83
60,953,1.87
61,942,2.53
66,597,2.68
74,971,2.21
76,456,1.32
77,290,2.09
78,672,2.17
93,23,2.62
102,267,2.42
109,119,2.26
111,447,2.45
119,1033,1.66
123,203,2.22
126,5,1.79
128,1052,3.02
2,238,1.73
4,920,2.14
24,529,2.75
30,364,2.61
33,381,2.3
43,975,2.09
45,125,2.74
48,922,2.19
51,231,2.31
56,955,2.74
69,1016,2.03
81,22,1.5
83,690,2.45
85,992,2.22
92,456,2.14
94,1008,1.94
100,646,2.3
106,1044,2.95
110,319,2.42
117,1066,2.38
120,290,2.54
125,444,2.01
135,1058,2.57
136,1064,2.0
138,878,1.8
