user,item,rating
25,338,1.96
43,975,2.09
64,276,1.72
70,970,2.38
72,966,2.09
79,976,2.35
84,987,1.88
86,704,2.0
87,997,1.44
101,1027,2.22
109,795,1.87
116,6,1.71
117,454,2.25
121,769,1.84
123,1030,1.93
128,540,1.87
131,550,1.56
134,1057,2.58
3,43,1.53
21,18,2.57
30,22,2.36
38,916,2.45
40,262,2.51
53,928,1.87
68,959,2.27
89,723,2.68
91,6,2.92
92,1007,2.31
99,58,2.39
103,1028,2.45
107,56,1.48
110,459,2.25
112,180,2.23
113,1039,2.07
137,1068,1.78
138,878,1.8
2,356,1.74
10,886,2.02
22,899,1.97
24,209,1.8
29,904,2.13
31,453,2.01
49,499,2.32
56,938,2.02
61,942,2.53
66,586,1.77
71,965,2.13
81,217,1.83
85,697,2.13
90,1049,2.28
95,1011,1.84
122,770,1.98
126,456,2.3
8,81,2.06
32,907,2.46
48,350,2.8
50,569,1.45
69,1016,2.03
78,132,2.09
83,982,2.01
94,1008,1.94
98,1020,2.77
102,267,2.42
105,1032,1.68
106,1045,2.39
111,129,2.32
119,1033,1.66
120,757,2.26
133,235,2.65
136,1063,2.0
33,910,2.07
39,425,2.41
52,22,2.23
55,937,1.89
62,949,2.22
67,605,2.25
74,971,2.21
77,26,2.02
80,981,1.79
88,1000,1.53
93,523,1.92
100,747,2.45
108,56,1.89
115,123,2.49
124,830,1.95
129,400,1.71
135,58,2.28
