user,item,rating
8,102,2.35
10,886,2.02
11,888,2.13
14,941,2.27
32,905,1.14
35,912,2.11
42,195,1.08
47,22,1.5
50,926,2.29
53,928,1.87
61,944,2.43
74,972,2.11
77,290,2.09
86,995,1.96
91,1005,2.18
93,23,2.62
95,1009,1.98
106,1043,2.07
107,56,1.48
108,67,2.15
109,82,1.57
110,1034,2.18
119,874,1.91
121,769,1.84
123,172,1.76
131,810,1.82
2,726,2.02
4,172,2.17
5,86,2.42
16,203,1.93
18,26,2.41
20,53,1.75
21,898,1.75
22,310,1.91
29,324,1.55
30,22,2.36
33,909,1.73
40,919,2.46
56,955,2.74
66,547,2.11
68,959,2.27
76,456,1.32
79,977,2.21
81,22,1.5
92,1007,2.31
112,129,2.51
115,123,2.49
118,195,0.92
122,43,2.0
125,405,2.74
134,85,2.58
13,24,1.8
13,693,1.87
19,767,1.74
28,18,2.54
37,24,2.06
37,915,2.14
38,415,2.06
39,917,1.69
43,975,2.09
46,984,3.11
48,350,2.8
51,231,2.31
57,28,2.52
60,71,1.93
62,951,1.51
63,175,1.82
64,18,2.87
67,601,2.03
69,1016,2.03
71,965,2.13
87,713,1.1
88,999,2.15
89,724,2.44
94,18,1.89
101,1025,2.38
126,8,2.2
135,1059,1.99
3,28,1.97
9,447,2.05
12,216,3.05
24,529,2.75
26,58,3.13
31,22,1.87
36,915,2.11
41,6,1.86
44,642,1.61
45,125,2.74
52,508,2.37
73,55,2.26
75,664,2.08
82,278,1.38
90,1049,2.28
97,746,1.8
99,22,2.56
103,762,2.99
113,1041,1.91
116,527,2.04
117,1067,2.56
120,290,2.54
128,1051,2.91
129,210,2.28
136,1065,1.48
1,47,2.29
1,126,2.44
7,24,1.89
23,67,1.97
25,336,1.63
27,8,1.75
34,51,2.24
49,924,1.49
55,89,2.16
59,18,3.04
70,970,2.38
72,578,2.55
78,132,2.09
80,981,1.79
83,47,2.1
84,987,1.88
85,697,2.13
98,1019,2.32
100,747,2.45
102,175,2.41
105,452,1.96
111,447,2.45
124,828,1.67
133,53,2.38
137,835,2.05
138,1071,1.8
