user,item,rating
2,726,2.02
9,29,2.89
10,885,1.5
26,2,3.17
33,383,1.84
42,195,1.08
44,195,1.62
46,984,3.11
55,89,2.16
56,957,2.13
60,23,2.12
69,1016,2.03
71,963,2.09
73,6,2.12
78,132,2.09
90,682,2.39
93,329,2.37
95,1010,2.46
97,746,1.8
103,443,2.23
108,759,1.73
111,129,2.32
116,524,1.89
124,831,2.31
125,6,2.25
136,1061,2.07
4,28,2.15
12,22,2.26
27,18,2.2
37,1072,1.73
37,265,2.09
39,917,1.69
41,195,1.64
43,975,2.09
51,140,1.79
57,195,1.38
75,22,2.42
76,290,2.15
77,26,2.02
79,977,2.21
105,596,2.08
106,1046,2.45
107,67,2.2
112,180,2.23
117,1066,2.38
123,172,1.76
126,48,1.64
129,210,2.28
133,843,1.59
134,1056,1.81
135,58,2.28
137,290,1.71
1,769,1.86
1,128,1.27
18,892,1.6
21,283,1.42
24,209,1.8
31,235,1.56
34,168,2.04
36,24,2.12
38,415,2.06
49,498,2.61
52,511,2.61
61,943,2.45
62,947,1.91
66,597,2.68
67,604,2.28
74,453,2.17
81,563,1.71
86,704,2.0
87,714,1.05
89,723,2.68
99,305,2.09
110,459,2.25
115,66,2.83
118,31,1.62
128,1051,2.91
138,1069,1.8
5,18,2.37
11,195,1.41
19,8,2.12
20,1054,2.0
28,18,2.54
29,903,1.81
30,364,2.61
40,76,2.27
45,125,2.74
48,447,2.5
50,925,2.58
53,929,2.06
68,959,2.27
72,967,2.64
82,195,1.15
83,402,1.36
85,697,2.13
91,6,2.92
94,1008,1.94
98,1022,1.72
101,1025,2.38
113,1039,2.07
119,1,1.56
120,292,2.19
121,769,1.84
3,28,1.97
7,890,1.36
8,102,2.35
13,96,1.8
13,1015,1.8
14,195,1.66
16,195,1.46
22,308,2.42
23,67,1.97
25,338,1.96
32,905,1.14
35,911,1.91
47,175,2.26
59,24,2.41
63,175,1.82
64,276,1.72
70,638,2.39
80,979,2.7
84,278,2.35
88,998,2.49
92,70,1.8
100,172,1.95
102,23,2.38
109,332,1.76
122,771,2.44
131,42,2.52
