item,score,user,rank,Algorithm
23,2.4802418896838017,8,1,ii
529,2.434135583377495,8,2,ii
86,2.432989129993113,8,3,ii
66,2.4029842320261436,8,4,ii
447,2.3575125138794255,8,5,ii
23,2.7530818645153774,12,1,ii
24,2.5558479368639255,12,2,ii
214,2.5299014637905626,12,3,ii
66,2.5101947296824134,12,4,ii
125,2.509933683933162,12,5,ii
23,2.4977282425886504,14,1,ii
529,2.470605338973427,14,2,ii
66,2.42685675992551,14,3,ii
24,2.4075540135024185,14,4,ii
2,2.377056807714896,14,5,ii
23,2.7043231231231233,18,1,ii
529,2.5125688063063065,18,2,ii
66,2.4814174549549546,18,3,ii
2,2.436331569069069,18,4,ii
55,2.403724211711712,18,5,ii
23,2.438775558370871,27,1,ii
529,2.432660899962462,27,2,ii
66,2.3733620770323895,27,3,ii
2,2.3564236627252253,27,4,ii
42,2.3548575081778207,27,5,ii
23,2.530684346846847,43,1,ii
529,2.4845780405405407,43,2,ii
66,2.453426689189189,43,3,ii
2,2.4083408033033034,43,4,ii
55,2.3757334459459463,43,5,ii
23,2.535089712033462,56,1,ii
529,2.4889834057271556,56,2,ii
66,2.457832054375804,56,3,ii
2,2.4127461684899183,56,4,ii
55,2.380138811132561,56,5,ii
23,2.5280797297297295,66,1,ii
529,2.481973423423423,66,2,ii
66,2.450822072072072,66,3,ii
2,2.405736186186186,66,4,ii
55,2.373128828828829,66,5,ii
23,2.5660104027056616,69,1,ii
24,2.5005228602963157,69,2,ii
529,2.4445675358656977,69,3,ii
2,2.4427663216788216,69,4,ii
55,2.4145836389961386,69,5,ii
23,2.49044994994995,71,1,ii
529,2.4443436436436436,71,2,ii
24,2.41438521021021,71,3,ii
66,2.4131922922922917,71,4,ii
2,2.407958871371371,71,5,ii
529,2.736671142150554,72,1,ii
2,2.6797909069784063,72,2,ii
23,2.5991343184296825,72,3,ii
447,2.5485815942769587,72,4,ii
214,2.5458988397700586,72,5,ii
23,2.57465490439419,76,1,ii
2,2.4984389134031986,76,2,ii
66,2.4769914230557086,76,3,ii
529,2.4673462577040217,76,4,ii
214,2.394832253171539,76,5,ii
23,2.5857120120120123,80,1,ii
529,2.5362358295795797,80,2,ii
66,2.505084478228228,80,3,ii
