item,score,user,rank,Algorithm
529,3.24888888888889,2,1,domex
66,3.153809523809524,2,2,domex
55,2.912888888888889,2,3,domex
2,2.8955281358538936,2,4,domex
80,2.8297674499228105,2,5,domex
23,2.6684740304486687,2,6,domex
214,2.6561666666666666,2,7,domex
280,2.6028571428571428,2,8,domex
290,2.5745088980341277,2,9,domex
28,2.562848217385677,2,10,domex
126,2.562094005590677,2,11,domex
810,2.5338888888888893,2,12,domex
119,2.5068888888888896,2,13,domex
447,2.4992163727910106,2,14,domex
216,2.495056913331551,2,15,domex
24,2.493140697115335,2,16,domex
129,2.491599384374022,2,17,domex
26,2.4819382306174886,2,18,domex
122,2.4790343908090287,2,19,domex
762,2.4700569133315518,2,20,domex
383,2.4686666666666666,2,21,domex
724,2.459443399818038,2,22,domex
268,2.457313670088308,2,23,domex
123,2.457313670088308,2,24,domex
725,2.445443399818038,2,25,domex
86,2.4397731295477674,2,26,domex
47,2.433559370334008,2,27,domex
217,2.4331746031746033,2,28,domex
405,2.4225569133315514,2,29,domex
381,2.411443399818038,2,30,domex
722,2.395443399818038,2,31,domex
18,2.387102859277497,2,32,domex
140,2.3834433998180375,2,33,domex
638,2.3834433998180375,2,34,domex
756,2.379443399818038,2,35,domex
207,2.3787422415168797,2,36,domex
9,2.3703333333333334,2,37,domex
319,2.370056913331551,2,38,domex
739,2.3683333333333327,2,39,domex
390,2.3674433998180375,2,40,domex
590,2.3600569133315514,2,41,domex
508,2.3550569133315515,2,42,domex
747,2.3550569133315515,2,43,domex
210,2.3500569133315516,2,44,domex
723,2.347443399818038,2,45,domex
755,2.339443399818038,2,46,domex
343,2.3374433998180373,2,47,domex
646,2.335056913331551,2,48,domex
511,2.3325569133315516,2,49,domex
844,2.330056913331551,2,50,domex
731,2.3250569133315513,2,51,domex
78,2.3250569133315513,2,52,domex
813,2.3240343908090284,2,53,domex
665,2.322556913331552,2,54,domex
770,2.3200569133315514,2,55,domex
757,2.3194433998180375,2,56,domex
443,2.3190343908090285,2,57,domex
22,2.3181499499229377,2,58,domex
125,2.3158333333333334,2,59,domex
563,2.3150569133315515,2,60,domex
168,2.311599384374022,2,61,domex
498,2.3100569133315516,2,62,domex
831,2.3100569133315516,2,63,domex
604,2.307367724142362,2,64,domex
172,2.30634520161984,2,65,domex
513,2.3050569133315517,2,66,domex
812,2.304034390809029,2,67,domex
801,2.3034433998180375,2,68,domex
133,2.3014433998180377,2,69,domex
547,2.299443399818038,2,70,domex
543,2.297443399818038,2,71,domex
497,2.295056913331551,2,72,domex
612,2.2875569133315516,2,73,domex
453,2.2857010574756953,2,74,domex
226,2.2825569133315518,2,75,domex
503,2.281443399818038,2,76,domex
102,2.277556913331551,2,77,domex
782,2.277556913331551,2,78,domex
874,2.277556913331551,2,79,domex
843,2.277556913331551,2,80,domex
211,2.2750569133315515,2,81,domex
682,2.2750569133315515,2,82,domex
234,2.2700569133315516,2,83,domex
53,2.2684740304486684,2,84,domex
175,2.2683527091273468,2,85,domex
459,2.267556913331551,2,86,domex
293,2.265443399818038,2,87,domex
