user,item,rating
2,18,1.76
8,125,2.34
9,70,2.31
10,884,1.63
11,24,2.75
12,18,2.53
16,195,1.46
21,898,1.75
26,58,3.13
35,912,2.11
43,973,1.79
45,8,1.08
51,195,0.84
60,22,2.79
63,950,1.99
67,603,2.52
70,86,2.66
74,453,2.17
76,195,1.14
79,976,2.35
87,706,1.7
113,1040,1.99
120,292,2.19
123,172,1.76
134,85,2.58
136,1063,2.0
13,18,1.8
13,891,1.8
14,939,1.53
31,117,1.74
36,278,2.11
37,24,2.06
37,1072,1.73
38,413,2.02
40,76,2.27
42,46,2.54
44,276,2.14
52,508,2.37
62,952,1.48
69,1018,1.61
71,965,2.13
72,966,2.09
75,664,2.08
78,133,2.27
81,563,1.71
83,47,2.1
86,24,2.39
98,1023,2.63
100,172,1.95
102,175,2.41
103,1028,2.45
110,1034,2.18
116,524,1.89
122,772,2.15
3,18,2.16
22,310,1.91
24,456,1.81
25,338,1.96
28,343,2.18
34,51,2.24
39,13,1.97
55,330,2.15
61,943,2.45
66,586,1.77
73,55,2.26
80,13,2.21
84,278,2.35
85,990,1.67
89,725,2.69
90,1048,2.1
94,22,2.2
97,746,1.8
101,1025,2.38
105,1032,1.68
107,67,2.2
112,491,1.51
118,31,1.62
124,828,1.67
137,218,2.11
5,18,2.37
23,280,1.69
29,326,1.82
41,195,1.64
46,983,2.54
47,71,2.14
53,931,2.27
56,956,2.34
57,195,1.38
64,18,2.87
82,195,1.15
91,1003,2.57
93,24,3.04
95,1010,2.46
99,22,2.56
106,1044,2.95
109,332,1.76
117,454,2.25
119,874,1.91
121,444,1.81
125,6,2.25
126,8,2.2
131,42,2.52
133,263,2.37
135,1060,2.76
1,128,1.27
1,726,1.92
4,172,2.17
7,22,2.05
18,893,2.37
19,767,1.74
20,453,1.39
27,8,1.75
30,1038,2.48
32,906,1.83
33,909,1.73
48,291,1.81
49,497,2.54
50,23,2.63
59,24,2.41
68,612,2.28
77,26,2.02
88,999,2.15
92,1006,2.2
108,13,1.59
111,693,1.93
115,813,2.23
128,1053,1.83
129,197,1.9
138,1071,1.8
