item,score,user,rank,Algorithm
2,3.1370069784328773,4,1,hierch
66,3.102142857142857,4,2,hierch
6,3.0403334131381072,4,3,hierch
81,3.0361111111111114,4,4,hierch
23,3.035626939293344,4,5,hierch
529,2.987222222222223,4,6,hierch
400,2.975833333333333,4,7,hierch
540,2.975722222222222,4,8,hierch
763,2.906416666666667,4,9,hierch
383,2.897,4,10,hierch
739,2.820833333333333,4,11,hierch
5,2.8181111111111115,4,12,hierch
9,2.7986666666666666,4,13,hierch
214,2.7570344827586206,4,14,hierch
51,2.73208411766422,4,15,hierch
58,2.6559817730875412,4,16,hierch
55,2.6512222222222217,4,17,hierch
290,2.635779311544592,4,18,hierch
349,2.612,4,19,hierch
47,2.5779362844595077,4,20,hierch
26,2.57203448275862,4,21,hierch
8,2.5630877158946284,4,22,hierch
524,2.5519999999999996,4,23,hierch
280,2.5511904761904756,4,24,hierch
175,2.5420833333333333,4,25,hierch
80,2.541781255008803,4,26,hierch
456,2.507314814814815,4,27,hierch
126,2.504463054187192,4,28,hierch
769,2.4283877983716,4,29,hierch
217,2.4143272213099793,4,30,hierch
447,2.3553239906346564,4,31,hierch
216,2.351164531175197,4,32,hierch
262,2.350973812812051,4,33,hierch
129,2.3477070022176676,4,34,hierch
53,2.343150030754925,4,35,hierch
122,2.3351420086526744,4,36,hierch
29,2.331184112714916,4,37,hierch
762,2.3261645311751975,4,38,hierch
724,2.315551017661684,4,39,hierch
268,2.313421287931954,4,40,hierch
123,2.313421287931954,4,41,hierch
725,2.3015510176616836,4,42,hierch
86,2.295880747391413,4,43,hierch
405,2.278664531175197,4,44,hierch
810,2.272222222222222,4,45,hierch
381,2.2675510176616838,4,46,hierch
722,2.2515510176616838,4,47,hierch
119,2.2452222222222225,4,48,hierch
388,2.244534482758621,4,49,hierch
140,2.2395510176616837,4,50,hierch
638,2.2395510176616837,4,51,hierch
125,2.238735632183908,4,52,hierch
756,2.2355510176616837,4,53,hierch
46,2.2345344827586207,4,54,hierch
603,2.2268086753193415,4,55,hierch
319,2.226164531175197,4,56,hierch
390,2.2235510176616837,4,57,hierch
31,2.220645457320244,4,58,hierch
590,2.216164531175197,4,59,hierch
508,2.2111645311751973,4,60,hierch
747,2.2111645311751973,4,61,hierch
210,2.2061645311751974,4,62,hierch
723,2.2035510176616837,4,63,hierch
755,2.1955510176616837,4,64,hierch
646,2.191164531175197,4,65,hierch
197,2.190400144186435,4,66,hierch
511,2.1886645311751973,4,67,hierch
844,2.1861645311751974,4,68,hierch
731,2.181164531175197,4,69,hierch
78,2.181164531175197,4,70,hierch
813,2.1801420086526746,4,71,hierch
665,2.1786645311751975,4,72,hierch
770,2.176164531175197,4,73,hierch
757,2.1755510176616837,4,74,hierch
563,2.1711645311751973,4,75,hierch
168,2.167707002217668,4,76,hierch
498,2.1661645311751974,4,77,hierch
831,2.1661645311751974,4,78,hierch
604,2.1634753419860075,4,79,hierch
513,2.1611645311751975,4,80,hierch
801,2.1595510176616837,4,81,hierch
133,2.1575510176616834,4,82,hierch
547,2.1555510176616837,4,83,hierch
543,2.153551017661684,4,84,hierch
497,2.1511645311751972,4,85,hierch
612,2.1436645311751974,4,86,hierch
453,2.141808675319341,4,87,hierch
226,2.1386645311751975,4,88,hierch
503,2.137551017661684,4,89,hierch
356,2.136164531175197,4,90,hierch
343,2.1350000000000007,4,91,hierch
102,2.133664531175197,4,92,hierch
782,2.133664531175197,4,93,hierch
874,2.133664531175197,4,94,hierch
843,2.133664531175197,4,95,hierch
211,2.131164531175197,4,96,hierch
682,2.131164531175197,4,97,hierch
234,2.1261645311751973,4,98,hierch
459,2.1236645311751974,4,99,hierch
43,2.122164554223559,4,100,hierch
23,3.4299999999999997,18,1,hierch
290,3.1461111111111113,18,2,hierch
58,3.056400539618245,18,3,hierch
81,2.9911111111111115,18,4,hierch
456,2.987111111111112,18,5,hierch
540,2.977777777777778,18,6,hierch
6,2.954111111111111,18,7,hierch
175,2.9424999999999994,18,8,hierch
400,2.9308333333333327,18,9,hierch
53,2.88630006150985,18,10,hierch
217,2.8601190476190474,18,11,hierch
47,2.8574999999999995,18,12,hierch
763,2.845833333333333,18,13,hierch
31,2.835457581307155,18,14,hierch
739,2.775833333333333,18,15,hierch
5,2.7731111111111115,18,16,hierch
769,2.771094429597557,18,17,hierch
8,2.651111111111111,18,18,hierch
51,2.6182793464395515,18,19,hierch
197,2.604731322855629,18,20,hierch
262,2.592,18,21,hierch
529,2.5125688063063065,18,22,hierch
66,2.4814174549549546,18,23,hierch
2,2.436331569069069,18,24,hierch
55,2.403724211711712,18,25,hierch
447,2.389417454954955,18,26,hierch
216,2.3852579954954956,18,27,hierch
24,2.3833417792792795,18,28,hierch
129,2.381800466537966,18,29,hierch
122,2.369235472972973,18,30,hierch
42,2.3607129504504507,18,31,hierch
762,2.360257995495496,18,32,hierch
125,2.351887124624625,18,33,hierch
724,2.3496444819819824,18,34,hierch
268,2.3475147522522524,18,35,hierch
123,2.3475147522522524,18,36,hierch
725,2.335644481981982,18,37,hierch
214,2.331800466537967,18,38,hierch
86,2.3299742117117117,18,39,hierch
405,2.3127579954954958,18,40,hierch
28,2.3084174549549545,18,41,hierch
381,2.3016444819819823,18,42,hierch
722,2.2856444819819823,18,43,hierch
18,2.2773039414414415,18,44,hierch
140,2.2736444819819823,18,45,hierch
638,2.2736444819819823,18,46,hierch
756,2.2696444819819823,18,47,hierch
207,2.268943323680824,18,48,hierch
603,2.26090213963964,18,49,hierch
319,2.2602579954954956,18,50,hierch
390,2.2576444819819823,18,51,hierch
590,2.2502579954954958,18,52,hierch
508,2.245257995495496,18,53,hierch
747,2.245257995495496,18,54,hierch
80,2.241800466537967,18,55,hierch
210,2.240257995495496,18,56,hierch
723,2.2376444819819823,18,57,hierch
126,2.2337242117117118,18,58,hierch
755,2.2296444819819823,18,59,hierch
343,2.2276444819819816,18,60,hierch
646,2.2252579954954954,18,61,hierch
511,2.222757995495496,18,62,hierch
844,2.220257995495496,18,63,hierch
731,2.2152579954954956,18,64,hierch
78,2.2152579954954956,18,65,hierch
813,2.214235472972973,18,66,hierch
665,2.212757995495496,18,67,hierch
770,2.2102579954954957,18,68,hierch
757,2.2096444819819823,18,69,hierch
443,2.209235472972973,18,70,hierch
563,2.205257995495496,18,71,hierch
168,2.2018004665379665,18,72,hierch
498,2.200257995495496,18,73,hierch
831,2.200257995495496,18,74,hierch
604,2.197568806306306,18,75,hierch
172,2.196546283783784,18,76,hierch
513,2.195257995495496,18,77,hierch
801,2.1936444819819823,18,78,hierch
133,2.191644481981982,18,79,hierch
383,2.1896444819819822,18,80,hierch
547,2.1896444819819822,18,81,hierch
543,2.1876444819819825,18,82,hierch
497,2.185257995495496,18,83,hierch
305,2.18090213963964,18,84,hierch
9,2.1785537912912916,18,85,hierch
22,2.1778863738738736,18,86,hierch
612,2.177757995495496,18,87,hierch
453,2.1759021396396396,18,88,hierch
226,2.172757995495496,18,89,hierch
503,2.1716444819819825,18,90,hierch
356,2.1702579954954957,18,91,hierch
102,2.1677579954954957,18,92,hierch
782,2.1677579954954957,18,93,hierch
874,2.1677579954954957,18,94,hierch
843,2.1677579954954957,18,95,hierch
211,2.165257995495496,18,96,hierch
682,2.165257995495496,18,97,hierch
234,2.160257995495496,18,98,hierch
459,2.157757995495496,18,99,hierch
293,2.1556444819819824,18,100,hierch
529,3.445180672268908,23,1,hierch
55,3.1155922632745465,23,2,hierch
125,2.9761851150559733,23,3,hierch
42,2.9729584500466855,23,4,hierch
23,2.910773284313726,23,5,hierch
119,2.6861965959796317,23,6,hierch
123,2.6739999999999995,23,7,hierch
58,2.670767144692223,23,8,hierch
9,2.5746958225812264,23,9,hierch
66,2.5671428571428576,23,10,hierch
2,2.5569175706319,23,11,hierch
453,2.5405555555555557,23,12,hierch
175,2.4925,23,13,hierch
400,2.4808333333333334,23,14,hierch
813,2.467333333333333,23,15,hierch
209,2.4485140056022416,23,16,hierch
47,2.442888227704879,23,17,hierch
217,2.4101190476190473,23,18,hierch
763,2.395833333333334,23,19,hierch
18,2.3800000000000003,23,20,hierch
126,2.3678193277310924,23,21,hierch
739,2.3258333333333336,23,22,hierch
447,2.2761614347520593,23,23,hierch
51,2.2747222222222225,23,24,hierch
216,2.272001975292601,23,25,hierch
129,2.2685444463350715,23,26,hierch
80,2.267857142857143,23,27,hierch
28,2.2597351005995767,23,28,hierch
122,2.2559794527700774,23,29,hierch
762,2.2470019752926005,23,30,hierch
503,2.246666666666667,23,31,hierch
724,2.236388461779087,23,32,hierch
268,2.2342587320493568,23,33,hierch
725,2.2223884617790866,23,34,hierch
214,2.218544446335071,23,35,hierch
769,2.2183333333333337,23,36,hierch
596,2.2172222222222224,23,37,hierch
86,2.216718191508816,23,38,hierch
405,2.1995019752926,23,39,hierch
381,2.1883884617790867,23,40,hierch
722,2.1723884617790867,23,41,hierch
140,2.1603884617790867,23,42,hierch
638,2.1603884617790867,23,43,hierch
24,2.1571580612498193,23,44,hierch
756,2.1563884617790867,23,45,hierch
207,2.1556873034779285,23,46,hierch
603,2.1476461194367444,23,47,hierch
319,2.147001975292601,23,48,hierch
390,2.1443884617790867,23,49,hierch
590,2.1370019752926,23,50,hierch
508,2.1320019752926003,23,51,hierch
747,2.1320019752926003,23,52,hierch
210,2.1270019752926004,23,53,hierch
723,2.1243884617790867,23,54,hierch
290,2.1180857590763837,23,55,hierch
755,2.1163884617790867,23,56,hierch
343,2.114388461779087,23,57,hierch
26,2.1128301606207858,23,58,hierch
646,2.1120019752926007,23,59,hierch
511,2.1095019752926003,23,60,hierch
844,2.1070019752926004,23,61,hierch
731,2.1020019752926,23,62,hierch
78,2.1020019752926,23,63,hierch
665,2.0995019752926005,23,64,hierch
770,2.0970019752926,23,65,hierch
757,2.0963884617790867,23,66,hierch
563,2.0920019752926002,23,67,hierch
197,2.0898333333333334,23,68,hierch
168,2.0885444463350717,23,69,hierch
498,2.0870019752926003,23,70,hierch
831,2.0870019752926003,23,71,hierch
604,2.0843127861034114,23,72,hierch
513,2.0820019752926004,23,73,hierch
801,2.0803884617790867,23,74,hierch
133,2.0783884617790873,23,75,hierch
383,2.0763884617790866,23,76,hierch
547,2.0763884617790866,23,77,hierch
543,2.074388461779087,23,78,hierch
497,2.0720019752926,23,79,hierch
305,2.0676461194367444,23,80,hierch
612,2.0645019752926004,23,81,hierch
226,2.0595019752926005,23,82,hierch
356,2.0570019752926,23,83,hierch
102,2.0545019752926,23,84,hierch
782,2.0545019752926,23,85,hierch
874,2.0545019752926,23,86,hierch
843,2.0545019752926,23,87,hierch
211,2.0520019752926,23,88,hierch
682,2.0520019752926,23,89,hierch
234,2.0470019752926003,23,90,hierch
459,2.0445019752926004,23,91,hierch
293,2.042388461779087,23,92,hierch
827,2.0420019752926004,23,93,hierch
425,2.0420019752926004,23,94,hierch
835,2.0420019752926004,23,95,hierch
339,2.0393127861034115,23,96,hierch
274,2.038388461779087,23,97,hierch
475,2.0376461194367446,23,98,hierch
575,2.0370019752926005,23,99,hierch
142,2.0345019752926,23,100,hierch
140,3.1366666666666667,27,1,hierch
42,2.9984920634920638,27,2,hierch
638,2.9267275751547333,27,3,hierch
122,2.854047619047619,27,4,hierch
218,2.750714285714286,27,5,hierch
23,2.740277777777778,27,6,hierch
22,2.738645320197045,27,7,hierch
119,2.728714285714286,27,8,hierch
53,2.724880952380953,27,9,hierch
217,2.7159523809523805,27,10,hierch
66,2.710396825396826,27,11,hierch
28,2.617857142857143,27,12,hierch
332,2.5940476190476196,27,13,hierch
94,2.5766666666666667,27,14,hierch
86,2.532111111111111,27,15,hierch
290,2.4857142857142858,27,16,hierch
346,2.449722572457654,27,17,hierch
172,2.4496031746031743,27,18,hierch
444,2.4432142857142862,27,19,hierch
529,2.432660899962462,27,20,hierch
443,2.379444444444445,27,21,hierch
126,2.378111111111111,27,22,hierch
2,2.3564236627252253,27,23,hierch
55,2.3238163053678678,27,24,hierch
447,2.3095095486111106,27,25,hierch
216,2.305350089151652,27,26,hierch
24,2.303433872935435,27,27,hierch
129,2.3018925601941227,27,28,hierch
762,2.2803500891516517,27,29,hierch
125,2.271979218280781,27,30,hierch
724,2.269736575638138,27,31,hierch
268,2.267606845908408,27,32,hierch
123,2.267606845908408,27,33,hierch
265,2.265714285714286,27,34,hierch
725,2.255736575638138,27,35,hierch
214,2.251892560194123,27,36,hierch
47,2.243852546154108,27,37,hierch
400,2.2411111111111115,27,38,hierch
405,2.2328500891516514,27,39,hierch
381,2.221736575638138,27,40,hierch
722,2.205736575638138,27,41,hierch
756,2.189736575638138,27,42,hierch
207,2.1890354173369797,27,43,hierch
603,2.180994233295796,27,44,hierch
319,2.180350089151652,27,45,hierch
390,2.1777365756381384,27,46,hierch
590,2.1703500891516514,27,47,hierch
58,2.1691807727764525,27,48,hierch
508,2.1653500891516515,27,49,hierch
747,2.1653500891516515,27,50,hierch
80,2.161892560194123,27,51,hierch
210,2.1603500891516516,27,52,hierch
723,2.157736575638138,27,53,hierch
755,2.149736575638138,27,54,hierch
343,2.147736575638138,27,55,hierch
26,2.146178274479837,27,56,hierch
646,2.145350089151652,27,57,hierch
511,2.1428500891516515,27,58,hierch
844,2.140350089151652,27,59,hierch
206,2.136111111111111,27,60,hierch
777,2.136111111111111,27,61,hierch
731,2.1353500891516513,27,62,hierch
78,2.1353500891516513,27,63,hierch
813,2.1343275666291293,27,64,hierch
665,2.1328500891516518,27,65,hierch
770,2.1303500891516514,27,66,hierch
757,2.1297365756381383,27,67,hierch
563,2.1253500891516515,27,68,hierch
168,2.121892560194123,27,69,hierch
498,2.1203500891516516,27,70,hierch
831,2.1203500891516516,27,71,hierch
604,2.1176608999624627,27,72,hierch
513,2.1153500891516517,27,73,hierch
801,2.1137365756381383,27,74,hierch
133,2.1117365756381385,27,75,hierch
383,2.109736575638138,27,76,hierch
547,2.109736575638138,27,77,hierch
543,2.107736575638138,27,78,hierch
497,2.105350089151652,27,79,hierch
305,2.100994233295796,27,80,hierch
9,2.0986458849474476,27,81,hierch
612,2.097850089151652,27,82,hierch
453,2.095994233295796,27,83,hierch
226,2.092850089151652,27,84,hierch
503,2.0917365756381385,27,85,hierch
356,2.0903500891516518,27,86,hierch
102,2.087850089151652,27,87,hierch
782,2.087850089151652,27,88,hierch
874,2.087850089151652,27,89,hierch
843,2.087850089151652,27,90,hierch
211,2.085350089151652,27,91,hierch
682,2.085350089151652,27,92,hierch
234,2.080350089151652,27,93,hierch
175,2.0786458849474476,27,94,hierch
459,2.077850089151652,27,95,hierch
293,2.0757365756381385,27,96,hierch
827,2.075350089151652,27,97,hierch
425,2.075350089151652,27,98,hierch
835,2.075350089151652,27,99,hierch
339,2.0726608999624627,27,100,hierch
55,2.7273333333333327,29,1,hierch
125,2.6199999999999997,29,2,hierch
58,2.4254761904761906,29,3,hierch
23,2.412678490990991,29,4,hierch
529,2.3665721846846846,29,5,hierch
9,2.36,29,6,hierch
66,2.335420833333333,29,7,hierch
119,2.321333333333334,29,8,hierch
2,2.2903349474474473,29,9,hierch
447,2.243420833333333,29,10,hierch
216,2.239261373873874,29,11,hierch
24,2.2373451576576575,29,12,hierch
