user,item,rating
4,920,2.14
18,892,1.6
23,18,2.34
27,126,1.97
29,324,1.55
33,909,1.73
47,22,1.5
48,447,2.5
49,495,2.29
51,231,2.31
55,935,1.53
56,955,2.74
57,195,1.38
64,276,1.72
66,597,2.68
68,961,2.25
69,1018,1.61
78,668,1.49
84,278,2.35
85,991,2.06
91,6,2.92
93,523,1.92
113,1042,1.91
115,812,2.45
122,772,2.15
138,1069,1.8
19,175,2.44
21,18,2.57
36,731,2.12
39,917,1.69
40,918,2.56
41,71,1.79
43,973,1.79
44,8,2.58
59,76,1.45
75,18,2.32
76,53,2.14
80,198,2.22
87,713,1.1
88,1000,1.53
99,58,2.39
102,265,2.13
108,13,1.59
109,82,1.57
110,319,2.42
111,491,1.66
120,755,2.41
123,206,2.04
125,447,2.37
126,8,2.2
129,400,1.71
133,842,2.12
1,47,2.29
1,934,2.04
2,238,1.73
7,24,1.89
10,185,2.03
11,24,2.75
14,941,2.27
25,340,1.19
35,913,2.89
38,275,2.18
60,23,2.12
63,950,1.99
67,605,2.25
70,970,2.38
82,175,1.36
89,724,2.44
92,70,1.8
105,453,1.89
107,67,2.2
117,49,2.06
119,1033,1.66
121,22,2.31
131,810,1.82
135,1059,1.99
136,1065,1.48
137,835,2.05
8,83,2.36
9,70,2.31
12,529,3.37
13,491,1.56
13,180,2.22
20,53,1.75
32,906,1.83
34,195,1.53
42,236,1.86
45,47,2.97
46,22,2.05
53,930,1.98
62,951,1.51
73,6,2.12
77,6,1.4
79,977,2.21
83,47,2.1
90,1049,2.28
94,18,1.89
97,168,1.79
98,1021,2.54
101,1027,2.22
103,22,2.59
106,1043,2.07
118,543,2.1
3,18,2.16
5,896,2.47
16,203,1.93
22,308,2.42
24,209,1.8
26,374,3.0
28,523,1.61
30,1038,2.48
31,453,2.01
37,133,1.92
37,265,2.09
50,169,1.73
52,207,2.45
61,942,2.53
71,963,2.09
72,578,2.55
74,436,2.0
81,218,2.45
86,994,1.39
95,1009,1.98
100,747,2.45
112,693,1.96
116,527,2.04
124,845,1.98
128,1051,2.91
134,86,2.17
