item,score,user,rank,Algorithm
23,2.480192454954955,10,1,ii
529,2.4340861486486487,10,2,ii
66,2.4029347972972968,10,3,ii
2,2.357848911411411,10,4,ii
55,2.3252415540540543,10,5,ii
447,2.310934797297297,10,6,ii
216,2.3067753378378377,10,7,ii
24,2.3048591216216217,10,8,ii
129,2.3033178088803083,10,9,ii
122,2.290752815315315,10,10,ii
42,2.282230292792793,10,11,ii
762,2.2817753378378383,10,12,ii
125,2.273404466966967,10,13,ii
724,2.2711618243243246,10,14,ii
123,2.2690320945945945,10,15,ii
725,2.2571618243243243,10,16,ii
214,2.253317808880309,10,17,ii
86,2.251491554054054,10,18,ii
47,2.2452777948402947,10,19,ii
405,2.234275337837838,10,20,ii
28,2.2299347972972967,10,21,ii
381,2.2231618243243245,10,22,ii
722,2.2071618243243245,10,23,ii
18,2.1988212837837837,10,24,ii
638,2.1951618243243245,10,25,ii
207,2.1904606660231662,10,26,ii
603,2.182419481981982,10,27,ii
319,2.1817753378378377,10,28,ii
390,2.1791618243243245,10,29,ii
590,2.171775337837838,10,30,ii
58,2.170606021462639,10,31,ii
508,2.166775337837838,10,32,ii
747,2.166775337837838,10,33,ii
80,2.163317808880309,10,34,ii
210,2.161775337837838,10,35,ii
723,2.1591618243243245,10,36,ii
126,2.155241554054054,10,37,ii
290,2.1528591216216215,10,38,ii
755,2.1511618243243245,10,39,ii
343,2.149161824324324,10,40,ii
26,2.1476035231660227,10,41,ii
646,2.1467753378378376,10,42,ii
511,2.144275337837838,10,43,ii
844,2.141775337837838,10,44,ii
731,2.136775337837838,10,45,ii
78,2.136775337837838,10,46,ii
813,2.1357528153153154,10,47,ii
665,2.1342753378378383,10,48,ii
770,2.131775337837838,10,49,ii
757,2.1311618243243244,10,50,ii
443,2.130752815315315,10,51,ii
563,2.126775337837838,10,52,ii
168,2.1233178088803086,10,53,ii
498,2.121775337837838,10,54,ii
831,2.121775337837838,10,55,ii
604,2.1190861486486483,10,56,ii
172,2.1180636261261263,10,57,ii
513,2.1167753378378382,10,58,ii
812,2.1157528153153153,10,59,ii
801,2.1151618243243244,10,60,ii
133,2.113161824324324,10,61,ii
383,2.1111618243243244,10,62,ii
547,2.1111618243243244,10,63,ii
543,2.1091618243243246,10,64,ii
497,2.106775337837838,10,65,ii
305,2.102419481981982,10,66,ii
9,2.1000711336336337,10,67,ii
22,2.099403716216216,10,68,ii
612,2.099275337837838,10,69,ii
453,2.097419481981982,10,70,ii
226,2.0942753378378383,10,71,ii
503,2.0931618243243246,10,72,ii
356,2.091775337837838,10,73,ii
102,2.089275337837838,10,74,ii
782,2.089275337837838,10,75,ii
874,2.089275337837838,10,76,ii
843,2.089275337837838,10,77,ii
211,2.086775337837838,10,78,ii
682,2.086775337837838,10,79,ii
234,2.081775337837838,10,80,ii
53,2.080192454954955,10,81,ii
175,2.0800711336336337,10,82,ii
459,2.079275337837838,10,83,ii
293,2.0771618243243246,10,84,ii
827,2.076775337837838,10,85,ii
425,2.076775337837838,10,86,ii
835,2.076775337837838,10,87,ii
339,2.0740861486486484,10,88,ii
274,2.0731618243243246,10,89,ii
475,2.0724194819819814,10,90,ii
575,2.0717753378378383,10,91,ii
119,2.071491554054054,10,92,ii
495,2.069275337837838,10,93,ii
142,2.069275337837838,10,94,ii
746,2.069275337837838,10,95,ii
422,2.0667753378378375,10,96,ii
169,2.065161824324324,10,97,ii
218,2.065161824324324,10,98,ii
458,2.064275337837838,10,99,ii
597,2.064275337837838,10,100,ii
23,2.7530818645153774,12,1,ii
24,2.5558479368639255,12,2,ii
214,2.5299014637905626,12,3,ii
66,2.5101947296824134,12,4,ii
125,2.509933683933162,12,5,ii
2,2.505926697232947,12,6,ii
207,2.45830714743766,12,7,ii
47,2.4515287204101543,12,8,ii
55,2.447869856016731,12,9,ii
42,2.44733789733391,12,10,ii
126,2.4320907126492255,12,11,ii
447,2.4181947296824133,12,12,ii
129,2.410577741265425,12,13,ii
343,2.404720735152169,12,14,ii
122,2.398012747700431,12,15,ii
58,2.3933315275840736,12,16,ii
762,2.3890352702229545,12,17,ii
80,2.3885634965938842,12,18,ii
724,2.378421756709441,12,19,ii
123,2.3762920269797103,12,20,ii
725,2.36442175670944,12,21,ii
86,2.3587514864391697,12,22,ii
26,2.3440463002298872,12,23,ii
405,2.3415352702229537,12,24,ii
28,2.3371947296824134,12,25,ii
381,2.3304217567094407,12,26,ii
305,2.3225326096333734,12,27,ii
722,2.3144217567094407,12,28,ii
383,2.3123840153966992,12,29,ii
290,2.3097901978487108,12,30,ii
638,2.3024217567094407,12,31,ii
603,2.2896794143670984,12,32,ii
319,2.2890352702229544,12,33,ii
390,2.2864217567094407,12,34,ii
590,2.2790352702229537,12,35,ii
508,2.2740352702229543,12,36,ii
747,2.2740352702229543,12,37,ii
210,2.269035270222954,12,38,ii
475,2.2689476664780543,12,39,ii
723,2.2664217567094407,12,40,ii
755,2.2584217567094402,12,41,ii
646,2.2540352702229542,12,42,ii
511,2.251535270222954,12,43,ii
274,2.2504510215572715,12,44,ii
844,2.2490352702229544,12,45,ii
168,2.247945037001287,12,46,ii
293,2.2475070326103417,12,47,ii
731,2.2440352702229536,12,48,ii
78,2.2440352702229536,12,49,ii
813,2.2430127477004316,12,50,ii
235,2.241779865531285,12,51,ii
665,2.241535270222954,12,52,ii
