user,item,rating
10,886,2.02
12,195,1.43
40,262,2.51
41,6,1.86
44,195,1.62
45,172,2.11
47,175,2.26
48,291,1.81
49,499,2.32
51,140,1.79
71,965,2.13
80,13,2.21
89,268,2.33
93,24,3.04
97,168,1.79
100,172,1.95
101,1026,1.91
105,452,1.96
108,67,2.15
113,1039,2.07
120,756,2.28
122,381,2.14
126,8,2.2
129,400,1.71
131,810,1.82
136,1061,2.07
1,126,2.44
1,128,1.27
2,18,1.76
7,24,1.89
9,827,1.8
16,195,1.46
32,906,1.83
52,508,2.37
55,937,1.89
57,28,2.52
73,267,2.11
81,22,1.5
82,267,1.92
83,402,1.36
84,987,1.88
90,1049,2.28
91,1002,2.03
92,274,1.57
102,265,2.13
111,693,1.93
112,693,1.96
117,390,2.79
121,22,2.31
125,405,2.74
134,1055,2.0
138,397,1.8
3,18,2.16
20,453,1.39
21,283,1.42
24,18,2.14
27,71,1.82
31,22,1.87
33,302,1.99
35,234,2.89
39,13,1.97
43,978,2.08
46,984,3.11
59,24,2.41
60,23,2.12
66,597,2.68
75,172,2.22
78,133,2.27
85,697,2.13
87,706,1.7
106,1043,2.07
107,329,1.75
110,319,2.42
116,524,1.89
118,195,0.92
119,874,1.91
135,1058,2.57
4,42,1.98
8,81,2.06
11,24,2.75
13,891,1.8
13,180,2.22
14,195,1.66
18,26,2.41
25,339,1.88
26,2,3.17
29,326,1.82
30,364,2.61
34,351,1.56
36,24,2.12
53,931,2.27
56,956,2.34
61,942,2.53
62,949,2.22
67,605,2.25
69,1014,1.86
70,94,2.29
74,971,2.21
79,974,2.72
88,999,2.15
99,782,2.27
103,443,2.23
128,57,3.12
5,8,2.83
19,8,2.12
22,308,2.42
23,18,2.34
28,195,1.55
37,24,2.06
37,1072,1.73
38,414,2.17
42,195,1.08
50,569,1.45
63,808,2.06
64,475,1.92
68,958,2.3
72,966,2.09
76,53,2.14
77,290,2.09
86,994,1.39
94,22,2.2
95,1009,1.98
98,1021,2.54
109,332,1.76
115,66,2.83
123,203,2.22
124,831,2.31
133,842,2.12
137,1068,1.78
