item,score,user,rank,Algorithm
529,3.24888888888889,1,1,rel
66,3.153809523809524,1,2,rel
23,2.9202011494252873,1,3,rel
55,2.912888888888889,1,4,rel
2,2.8955281358538936,1,5,rel
214,2.7122785450671856,1,6,rel
80,2.697217147128729,1,7,rel
28,2.656960914145062,1,8,rel
280,2.6028571428571428,1,9,rel
290,2.5547615172084064,1,10,rel
172,2.543051422113579,1,11,rel
810,2.5338888888888893,1,12,rel
42,2.5322902276165493,1,13,rel
125,2.5276034482758623,1,14,rel
26,2.520230178119579,1,15,rel
119,2.5068888888888896,1,16,rel
53,2.4975,1,17,rel
383,2.4686666666666666,1,18,rel
305,2.4078658650675435,1,19,rel
24,2.3904022988505744,1,20,rel
540,2.3892666666666664,1,21,rel
217,2.3837595329319465,1,22,rel
9,2.3703333333333334,1,23,rel
18,2.3513333333333333,1,24,rel
6,2.3498781626886855,1,25,rel
31,2.3433333333333333,1,26,rel
274,2.3333333333333335,1,27,rel
58,2.3330796387520523,1,28,rel
447,2.30531527537006,1,29,rel
216,2.301155815910601,1,30,rel
811,2.2983333333333333,1,31,rel
129,2.2976982869530715,1,32,rel
51,2.293655555555555,1,33,rel
122,2.285133293388078,1,34,rel
762,2.276155815910601,1,35,rel
724,2.2655423023970873,1,36,rel
268,2.2634125726673573,1,37,rel
123,2.2634125726673573,1,38,rel
456,2.259666666666667,1,39,rel
209,2.252222222222223,1,40,rel
763,2.2516430509651997,1,41,rel
86,2.2458720321268166,1,42,rel
47,2.2396582729130574,1,43,rel
46,2.239525287356322,1,44,rel
405,2.2286558159106007,1,45,rel
381,2.2175423023970873,1,46,rel
722,2.2015423023970873,1,47,rel
140,2.189542302397087,1,48,rel
638,2.189542302397087,1,49,rel
388,2.187703448275862,1,50,rel
756,2.1855423023970872,1,51,rel
349,2.183666666666667,1,52,rel
603,2.1767999600547445,1,53,rel
319,2.176155815910601,1,54,rel
390,2.173542302397087,1,55,rel
590,2.1661558159106007,1,56,rel
508,2.161155815910601,1,57,rel
747,2.161155815910601,1,58,rel
210,2.156155815910601,1,59,rel
723,2.153542302397087,1,60,rel
444,2.150468777787719,1,61,rel
755,2.145542302397087,1,62,rel
343,2.143542302397087,1,63,rel
646,2.141155815910601,1,64,rel
511,2.138655815910601,1,65,rel
844,2.1361558159106004,1,66,rel
475,2.1320689655172416,1,67,rel
731,2.1311558159106005,1,68,rel
78,2.1311558159106005,1,69,rel
813,2.1301332933880777,1,70,rel
665,2.128655815910601,1,71,rel
770,2.1261558159106007,1,72,rel
757,2.1255423023970867,1,73,rel
443,2.125133293388078,1,74,rel
563,2.1211558159106008,1,75,rel
168,2.117698286953072,1,76,rel
498,2.116155815910601,1,77,rel
831,2.116155815910601,1,78,rel
604,2.1134666267214115,1,79,rel
513,2.111155815910601,1,80,rel
235,2.1104022988505746,1,81,rel
812,2.110133293388078,1,82,rel
