user,item,rating
1,726,1.92
1,47,2.29
3,43,1.53
10,886,2.02
12,195,1.43
22,308,2.42
34,168,2.04
39,16,2.01
45,47,2.97
47,175,2.26
48,922,2.19
50,169,1.73
52,207,2.45
67,601,2.03
80,198,2.22
81,218,2.45
89,725,2.69
94,18,1.89
98,1023,2.63
99,58,2.39
100,8,1.57
112,129,2.51
116,524,1.89
121,125,2.01
123,172,1.76
136,1065,1.48
5,86,2.42
7,22,2.05
21,898,1.75
23,18,2.34
25,336,1.63
26,9,2.8
31,235,1.56
43,142,2.48
49,495,2.29
56,957,2.13
61,946,3.04
68,958,2.3
71,963,2.09
74,436,2.0
76,8,2.64
77,290,2.09
88,1001,1.69
90,1048,2.1
93,23,2.62
95,1011,1.84
97,202,1.56
102,175,2.41
103,1029,2.17
108,67,2.15
110,141,1.14
124,832,1.7
4,42,1.98
13,99,1.8
13,18,1.8
19,290,2.8
33,383,1.84
35,234,2.89
36,278,2.11
38,413,2.02
51,291,1.67
59,18,3.04
69,1017,1.79
72,968,1.99
73,55,2.26
79,977,2.21
86,994,1.39
87,713,1.1
109,82,1.57
111,491,1.66
119,874,1.91
122,381,2.14
126,48,1.64
128,1053,1.83
131,8,1.65
133,843,1.59
134,1055,2.0
138,397,1.8
24,209,1.8
27,18,2.2
30,456,2.16
32,907,2.46
37,731,1.9
37,195,1.81
40,262,2.51
41,71,1.79
42,487,1.72
44,195,1.62
46,22,2.05
53,931,2.27
55,935,1.53
57,8,1.77
63,71,1.99
64,276,1.72
66,586,1.77
78,668,1.49
82,267,1.92
83,47,2.1
84,986,1.8
85,993,2.28
92,70,1.8
101,1025,2.38
107,67,2.2
113,1042,1.91
2,18,1.76
8,83,2.36
9,211,1.88
11,24,2.75
14,941,2.27
16,76,2.01
18,894,1.75
20,53,1.75
28,18,2.54
29,903,1.81
60,22,2.79
62,949,2.22
70,970,2.38
75,22,2.42
91,1004,2.34
105,13,1.65
106,1045,2.39
115,122,2.66
117,390,2.79
118,195,0.92
120,756,2.28
125,447,2.37
129,400,1.71
135,1058,2.57
137,343,2.12
