item,score,user,rank,Algorithm
529,3.24888888888889,2,1,socap
66,3.153809523809524,2,2,socap
55,2.912888888888889,2,3,socap
2,2.8955281358538936,2,4,socap
80,2.8297674499228105,2,5,socap
23,2.6684740304486687,2,6,socap
214,2.6561666666666666,2,7,socap
280,2.6028571428571428,2,8,socap
290,2.5745088980341277,2,9,socap
28,2.562848217385677,2,10,socap
126,2.562094005590677,2,11,socap
810,2.5338888888888893,2,12,socap
119,2.5068888888888896,2,13,socap
447,2.4992163727910106,2,14,socap
216,2.495056913331551,2,15,socap
24,2.493140697115335,2,16,socap
129,2.491599384374022,2,17,socap
26,2.4819382306174886,2,18,socap
122,2.4790343908090287,2,19,socap
42,2.4705118682865064,2,20,socap
762,2.4700569133315518,2,21,socap
383,2.4686666666666666,2,22,socap
724,2.459443399818038,2,23,socap
268,2.457313670088308,2,24,socap
123,2.457313670088308,2,25,socap
725,2.445443399818038,2,26,socap
86,2.4397731295477674,2,27,socap
47,2.433559370334008,2,28,socap
217,2.4331746031746033,2,29,socap
405,2.4225569133315514,2,30,socap
381,2.411443399818038,2,31,socap
722,2.395443399818038,2,32,socap
140,2.3834433998180375,2,33,socap
638,2.3834433998180375,2,34,socap
756,2.379443399818038,2,35,socap
207,2.3787422415168797,2,36,socap
603,2.3707010574756953,2,37,socap
9,2.3703333333333334,2,38,socap
319,2.370056913331551,2,39,socap
739,2.3683333333333327,2,40,socap
390,2.3674433998180375,2,41,socap
590,2.3600569133315514,2,42,socap
508,2.3550569133315515,2,43,socap
747,2.3550569133315515,2,44,socap
210,2.3500569133315516,2,45,socap
723,2.347443399818038,2,46,socap
755,2.339443399818038,2,47,socap
343,2.3374433998180373,2,48,socap
646,2.335056913331551,2,49,socap
511,2.3325569133315516,2,50,socap
844,2.330056913331551,2,51,socap
731,2.3250569133315513,2,52,socap
78,2.3250569133315513,2,53,socap
813,2.3240343908090284,2,54,socap
665,2.322556913331552,2,55,socap
770,2.3200569133315514,2,56,socap
757,2.3194433998180375,2,57,socap
443,2.3190343908090285,2,58,socap
22,2.3181499499229377,2,59,socap
125,2.3158333333333334,2,60,socap
563,2.3150569133315515,2,61,socap
168,2.311599384374022,2,62,socap
498,2.3100569133315516,2,63,socap
604,2.307367724142362,2,64,socap
172,2.30634520161984,2,65,socap
513,2.3050569133315517,2,66,socap
812,2.304034390809029,2,67,socap
133,2.3014433998180377,2,68,socap
547,2.299443399818038,2,69,socap
543,2.297443399818038,2,70,socap
497,2.295056913331551,2,71,socap
453,2.2857010574756953,2,72,socap
226,2.2825569133315518,2,73,socap
503,2.281443399818038,2,74,socap
102,2.277556913331551,2,75,socap
782,2.277556913331551,2,76,socap
874,2.277556913331551,2,77,socap
843,2.277556913331551,2,78,socap
211,2.2750569133315515,2,79,socap
682,2.2750569133315515,2,80,socap
234,2.2700569133315516,2,81,socap
53,2.2684740304486684,2,82,socap
175,2.2683527091273468,2,83,socap
459,2.267556913331551,2,84,socap
293,2.265443399818038,2,85,socap
827,2.2650569133315517,2,86,socap
