user,item,rating
2,42,1.8
3,46,1.93
13,491,1.56
13,180,2.22
18,895,1.78
19,927,2.52
25,336,1.63
31,22,1.87
47,53,1.86
62,952,1.48
66,547,2.11
67,602,1.84
68,612,2.28
70,643,2.19
80,980,1.99
88,71,1.99
91,1003,2.57
92,274,1.57
93,523,1.92
98,1023,2.63
100,8,1.57
101,1026,1.91
116,60,2.03
118,31,1.62
119,801,1.91
124,831,2.31
125,6,2.25
7,24,1.89
12,18,2.53
16,290,2.12
21,284,1.39
22,310,1.91
28,343,2.18
30,1038,2.48
36,265,1.89
42,117,1.37
45,47,2.97
50,925,2.58
51,195,0.84
53,930,1.98
55,330,2.15
73,6,2.12
77,6,1.4
78,672,2.17
79,977,2.21
81,22,1.5
97,746,1.8
102,265,2.13
107,67,2.2
108,329,1.75
112,129,2.51
134,1055,2.0
135,1059,1.99
1,47,2.29
1,769,1.86
5,8,2.83
8,81,2.06
10,884,1.63
11,24,2.75
20,53,1.75
33,381,2.3
34,22,2.02
35,912,2.11
38,414,2.17
39,428,1.83
63,570,1.82
72,578,2.55
86,293,2.83
87,997,1.44
95,1010,2.46
105,452,1.96
111,180,1.9
115,123,2.49
120,755,2.41
121,125,2.01
122,770,1.98
126,8,2.2
133,53,2.38
137,835,2.05
14,939,1.53
26,58,3.13
29,326,1.82
40,262,2.51
41,71,1.79
46,22,2.05
48,291,1.81
49,498,2.61
56,956,2.34
60,953,1.87
61,946,3.04
69,1018,1.61
75,18,2.32
84,278,2.35
89,268,2.33
90,1024,2.52
103,443,2.23
106,1043,2.07
110,141,1.14
113,1040,1.99
128,57,3.12
129,811,2.51
136,1062,1.8
138,878,1.8
4,172,2.17
9,29,2.89
23,18,2.34
24,209,1.8
27,71,1.82
32,907,2.46
37,1072,1.73
37,265,2.09
43,978,2.08
44,8,2.58
52,511,2.61
57,529,2.32
59,18,3.04
64,276,1.72
71,965,2.13
74,972,2.11
76,195,1.14
82,267,1.92
83,109,2.28
85,990,1.67
94,22,2.2
99,782,2.27
109,799,1.55
117,454,2.25
123,203,2.22
131,810,1.82
