item,score,user,rank,Algorithm
529,3.24888888888889,1,1,socsim
66,3.153809523809524,1,2,socsim
23,2.9309740792868872,1,3,socsim
55,2.912888888888889,1,4,socsim
214,2.723418503444904,1,5,socsim
28,2.6637466120858266,1,6,socsim
280,2.6028571428571428,1,7,socsim
290,2.5745936823724644,1,8,socsim
172,2.548726334593364,1,9,socsim
810,2.5338888888888893,1,10,socsim
26,2.5334120035794094,1,11,socsim
42,2.5322902276165498,1,12,socsim
125,2.5209075670498087,1,13,socsim
53,2.4975,1,14,socsim
383,2.468666666666666,1,15,socsim
217,2.4069911208416954,1,16,socsim
540,2.390916666666667,1,17,socsim
24,2.3904022988505744,1,18,socsim
305,2.389681581917443,1,19,socsim
9,2.3703333333333334,1,20,socsim
18,2.351333333333334,1,21,socsim
6,2.3494693506598225,1,22,socsim
31,2.3433333333333333,1,23,socsim
274,2.3333333333333335,1,24,socsim
58,2.326383757525999,1,25,socsim
447,2.30531527537006,1,26,socsim
216,2.301155815910601,1,27,socsim
51,2.2997155280551937,1,28,socsim
811,2.2983333333333333,1,29,socsim
129,2.2976982869530715,1,30,socsim
122,2.285133293388078,1,31,socsim
762,2.276155815910601,1,32,socsim
724,2.2655423023970873,1,33,socsim
268,2.2634125726673573,1,34,socsim
123,2.2634125726673573,1,35,socsim
46,2.263116106677447,1,36,socsim
456,2.259666666666667,1,37,socsim
209,2.252222222222223,1,38,socsim
763,2.2516430509651997,1,39,socsim
86,2.2458720321268166,1,40,socsim
405,2.2286558159106007,1,41,socsim
381,2.2175423023970873,1,42,socsim
722,2.2015423023970873,1,43,socsim
388,2.200227011494253,1,44,socsim
140,2.189542302397087,1,45,socsim
638,2.189542302397087,1,46,socsim
756,2.1855423023970872,1,47,socsim
207,2.184841144095929,1,48,socsim
349,2.183666666666667,1,49,socsim
603,2.1767999600547445,1,50,socsim
319,2.176155815910601,1,51,socsim
390,2.173542302397087,1,52,socsim
444,2.170884229394568,1,53,socsim
590,2.1661558159106007,1,54,socsim
508,2.161155815910601,1,55,socsim
747,2.161155815910601,1,56,socsim
210,2.156155815910601,1,57,socsim
723,2.153542302397087,1,58,socsim
755,2.145542302397087,1,59,socsim
343,2.143542302397087,1,60,socsim
