user,item,rating
1,127,1.86
1,769,1.86
9,80,2.49
11,888,2.13
18,26,2.41
24,456,1.81
26,2,3.17
32,368,1.76
34,351,1.56
42,46,2.54
43,978,2.08
46,983,2.54
49,498,2.61
50,23,2.63
55,937,1.89
60,23,2.12
64,18,2.87
77,290,2.09
80,13,2.21
85,992,2.22
88,998,2.49
93,523,1.92
101,1026,1.91
109,119,2.26
115,66,2.83
119,874,1.91
137,290,1.71
3,6,2.12
4,28,2.15
7,58,2.15
16,203,1.93
19,8,2.12
21,284,1.39
22,120,1.57
28,921,2.06
31,22,1.87
33,909,1.73
35,912,2.11
51,231,2.31
53,931,2.27
63,950,1.99
76,290,2.15
79,977,2.21
84,987,1.88
94,24,1.84
95,1010,2.46
99,782,2.27
106,1045,2.39
116,6,1.71
124,830,1.95
125,444,2.01
129,811,2.51
135,854,1.32
5,896,2.47
8,458,1.6
29,904,2.13
30,364,2.61
36,265,1.89
38,415,2.06
44,349,2.4
62,951,1.51
66,590,2.53
67,603,2.52
72,966,2.09
75,18,2.32
87,714,1.05
89,723,2.68
91,1003,2.57
92,70,1.8
100,647,2.07
108,56,1.89
112,491,1.51
113,1039,2.07
123,777,2.42
126,290,2.24
128,1053,1.83
131,42,2.52
136,1061,2.07
2,726,2.02
10,885,1.5
12,22,2.26
25,339,1.88
27,18,2.2
52,207,2.45
59,76,1.45
70,970,2.38
71,963,2.09
81,71,1.81
82,195,1.15
83,982,2.01
86,995,1.96
90,1048,2.1
98,1020,2.77
102,175,2.41
103,1029,2.17
110,141,1.14
111,180,1.9
117,1066,2.38
118,543,2.1
120,756,2.28
122,771,2.44
133,235,2.65
134,85,2.58
13,180,2.22
13,18,1.8
14,941,2.27
20,86,2.5
23,280,1.69
37,265,2.09
37,133,1.92
39,917,1.69
40,262,2.51
41,71,1.79
45,22,2.81
47,47,2.11
48,922,2.19
56,956,2.34
57,28,2.52
61,946,3.04
68,958,2.3
69,1014,1.86
73,58,1.9
74,971,2.21
78,133,2.27
97,202,1.56
105,1032,1.68
107,759,2.02
121,125,2.01
138,1069,1.8
