user,item,rating
7,58,2.15
12,529,3.37
20,53,1.75
21,283,1.42
22,899,1.97
24,18,2.14
25,336,1.63
28,195,1.55
36,731,2.12
38,275,2.18
39,917,1.69
44,8,2.58
48,350,2.8
52,513,2.46
61,946,3.04
64,172,2.64
73,8,1.54
76,195,1.14
82,267,1.92
90,682,2.39
91,1003,2.57
97,168,1.79
113,1041,1.91
122,771,2.44
124,845,1.98
128,1053,1.83
9,827,1.8
13,1015,1.8
13,891,1.8
14,728,1.78
16,195,1.46
23,329,1.79
27,71,1.82
29,904,2.13
31,117,1.74
41,23,2.41
45,172,2.11
46,22,2.05
47,71,2.14
51,231,2.31
56,956,2.34
63,950,1.99
66,597,2.68
72,968,1.99
81,217,1.83
84,986,1.8
88,1000,1.53
100,646,2.3
107,13,1.25
111,180,1.9
123,777,2.42
129,400,1.71
2,356,1.74
11,195,1.41
18,895,1.78
26,2,3.17
35,911,1.91
40,919,2.46
42,195,1.08
43,978,2.08
49,495,2.29
55,936,1.83
70,970,2.38
74,436,2.0
77,58,1.36
83,109,2.28
92,1006,2.2
98,1019,2.32
101,1025,2.38
102,265,2.13
105,1032,1.68
106,1043,2.07
109,795,1.87
112,491,1.51
120,292,2.19
126,48,1.64
131,195,1.64
4,172,2.17
8,83,2.36
19,767,1.74
33,381,2.3
53,930,1.98
59,175,1.8
60,23,2.12
62,949,2.22
68,612,2.28
69,1018,1.61
71,503,2.09
75,6,2.22
79,976,2.35
85,993,2.28
89,724,2.44
93,47,2.69
99,26,2.93
103,22,2.59
108,13,1.59
117,1066,2.38
119,801,1.91
121,22,2.31
135,854,1.32
136,1063,2.0
137,290,1.71
1,126,2.44
1,769,1.86
3,46,1.93
5,18,2.37
10,185,2.03
30,78,1.71
32,369,1.95
34,22,2.02
37,914,1.91
37,915,2.14
50,569,1.45
57,739,2.55
67,604,2.28
78,671,2.39
80,13,2.21
86,704,2.0
87,997,1.44
94,22,2.2
95,1011,1.84
110,1035,2.32
115,122,2.66
116,527,2.04
118,481,1.63
125,22,1.84
133,53,2.38
134,1057,2.58
138,878,1.8
