item,score,user,rank,Algorithm
529,3.24888888888889,2,1,symp
66,3.153809523809524,2,2,symp
55,2.912888888888889,2,3,symp
2,2.8955281358538936,2,4,symp
80,2.8297674499228105,2,5,symp
23,2.6684740304486687,2,6,symp
214,2.6561666666666666,2,7,symp
280,2.6028571428571428,2,8,symp
290,2.5745088980341277,2,9,symp
28,2.562848217385677,2,10,symp
126,2.562094005590677,2,11,symp
119,2.5068888888888896,2,12,symp
447,2.4992163727910106,2,13,symp
24,2.493140697115335,2,14,symp
129,2.491599384374022,2,15,symp
26,2.4819382306174886,2,16,symp
122,2.4790343908090287,2,17,symp
762,2.4700569133315518,2,18,symp
383,2.4686666666666666,2,19,symp
724,2.459443399818038,2,20,symp
268,2.457313670088308,2,21,symp
123,2.457313670088308,2,22,symp
725,2.445443399818038,2,23,symp
86,2.4397731295477674,2,24,symp
47,2.433559370334008,2,25,symp
217,2.4331746031746033,2,26,symp
405,2.4225569133315514,2,27,symp
381,2.411443399818038,2,28,symp
722,2.395443399818038,2,29,symp
140,2.3834433998180375,2,30,symp
638,2.3834433998180375,2,31,symp
756,2.379443399818038,2,32,symp
207,2.3787422415168797,2,33,symp
603,2.3707010574756953,2,34,symp
9,2.3703333333333334,2,35,symp
319,2.370056913331551,2,36,symp
390,2.3674433998180375,2,37,symp
590,2.3600569133315514,2,38,symp
508,2.3550569133315515,2,39,symp
747,2.3550569133315515,2,40,symp
210,2.3500569133315516,2,41,symp
755,2.339443399818038,2,42,symp
343,2.3374433998180373,2,43,symp
646,2.335056913331551,2,44,symp
511,2.3325569133315516,2,45,symp
844,2.330056913331551,2,46,symp
731,2.3250569133315513,2,47,symp
78,2.3250569133315513,2,48,symp
813,2.3240343908090284,2,49,symp
665,2.322556913331552,2,50,symp
770,2.3200569133315514,2,51,symp
757,2.3194433998180375,2,52,symp
443,2.3190343908090285,2,53,symp
22,2.3181499499229377,2,54,symp
125,2.3158333333333334,2,55,symp
563,2.3150569133315515,2,56,symp
168,2.311599384374022,2,57,symp
498,2.3100569133315516,2,58,symp
831,2.3100569133315516,2,59,symp
604,2.307367724142362,2,60,symp
172,2.30634520161984,2,61,symp
513,2.3050569133315517,2,62,symp
812,2.304034390809029,2,63,symp
801,2.3034433998180375,2,64,symp
133,2.3014433998180377,2,65,symp
547,2.299443399818038,2,66,symp
543,2.297443399818038,2,67,symp
497,2.295056913331551,2,68,symp
612,2.2875569133315516,2,69,symp
453,2.2857010574756953,2,70,symp
226,2.2825569133315518,2,71,symp
503,2.281443399818038,2,72,symp
102,2.277556913331551,2,73,symp
782,2.277556913331551,2,74,symp
874,2.277556913331551,2,75,symp
843,2.277556913331551,2,76,symp
211,2.2750569133315515,2,77,symp
682,2.2750569133315515,2,78,symp
234,2.2700569133315516,2,79,symp
53,2.2684740304486684,2,80,symp
175,2.2683527091273468,2,81,symp
459,2.267556913331551,2,82,symp
293,2.265443399818038,2,83,symp
827,2.2650569133315517,2,84,symp
425,2.2650569133315517,2,85,symp
835,2.2650569133315517,2,86,symp
339,2.262367724142362,2,87,symp
274,2.2614433998180377,2,88,symp
475,2.260701057475695,2,89,symp
575,2.260056913331552,2,90,symp
456,2.259666666666667,2,91,symp
495,2.2575569133315514,2,92,symp
142,2.2575569133315514,2,93,symp
746,2.2575569133315514,2,94,symp
422,2.255056913331551,2,95,symp
400,2.254456527231165,2,96,symp
169,2.2534433998180377,2,97,symp
218,2.2534433998180377,2,98,symp
458,2.2525569133315515,2,99,symp
597,2.2525569133315515,2,100,symp
2,3.246666666666666,11,1,symp
23,3.1690912982810895,11,2,symp
207,3.1525000000000003,11,3,symp
122,2.965290004132563,11,4,symp
262,2.9577215900687164,11,5,symp
125,2.906362386085919,11,6,symp
66,2.880952380952382,11,7,symp
28,2.822857142857143,11,8,symp
203,2.786666666666666,11,9,symp
343,2.7624509410563176,11,10,symp
47,2.7599509410563177,11,11,symp
55,2.7481155337336247,11,12,symp
18,2.725675943487988,11,13,symp
42,2.7070024210276142,11,14,symp
443,2.6748441247002406,11,15,symp
76,2.6440855366468314,11,16,symp
180,2.6333333333333337,11,17,symp
214,2.6270608110374347,11,18,symp
123,2.6024728634992944,11,19,symp
813,2.597214424406796,11,20,symp
175,2.5915901273791637,11,21,symp
6,2.5860040322580646,11,22,symp
172,2.557929617249198,11,23,symp
529,2.484666495595264,11,24,symp
58,2.465235143333209,11,25,symp
119,2.4591733739099593,11,26,symp
812,2.445393812069385,11,27,symp
292,2.419677282643434,11,28,symp
291,2.3963439493101,11,29,symp
268,2.3633859066592886,11,30,symp
447,2.3615151442439126,11,31,symp
129,2.353898155826924,11,32,symp
274,2.3499999999999996,11,33,symp
19,2.343790322580645,11,34,symp
762,2.3323556847844538,11,35,symp
724,2.32174217127094,11,36,symp
126,2.3114895769571753,11,37,symp
725,2.30774217127094,11,38,symp
86,2.3020719010006694,11,39,symp
80,2.292068965517241,11,40,symp
405,2.2848556847844534,11,41,symp
329,2.2824509410563176,11,42,symp
381,2.27374217127094,11,43,symp
722,2.25774217127094,11,44,symp
22,2.254092701018154,11,45,symp
140,2.24574217127094,11,46,symp
638,2.24574217127094,11,47,symp
756,2.24174217127094,11,48,symp
603,2.2329998289285977,11,49,symp
319,2.2323556847844532,11,50,symp
390,2.22974217127094,11,51,symp
540,2.2266666666666666,11,52,symp
590,2.2223556847844534,11,53,symp
508,2.2173556847844536,11,54,symp
747,2.2173556847844536,11,55,symp
210,2.2123556847844537,11,56,symp
755,2.20174217127094,11,57,symp
646,2.197355684784453,11,58,symp
511,2.1948556847844536,11,59,symp
844,2.1923556847844536,11,60,symp
731,2.1873556847844533,11,61,symp
78,2.1873556847844533,11,62,symp
665,2.184855684784454,11,63,symp
770,2.1823556847844534,11,64,symp
757,2.18174217127094,11,65,symp
290,2.179700655265913,11,66,symp
563,2.1773556847844535,11,67,symp
67,2.1759944040087644,11,68,symp
168,2.173898155826924,11,69,symp
498,2.1723556847844536,11,70,symp
831,2.1723556847844536,11,71,symp
604,2.169666495595264,11,72,symp
513,2.1673556847844537,11,73,symp
801,2.16574217127094,11,74,symp
133,2.1637421712709397,11,75,symp
383,2.16174217127094,11,76,symp
547,2.16174217127094,11,77,symp
543,2.15974217127094,11,78,symp
283,2.158790322580645,11,79,symp
497,2.1573556847844535,11,80,symp
128,2.151227477704101,11,81,symp
612,2.1498556847844537,11,82,symp
453,2.1479998289285973,11,83,symp
226,2.1448556847844538,11,84,symp
26,2.144073278888758,11,85,symp
503,2.14374217127094,11,86,symp
475,2.1437356321839083,11,87,symp
102,2.1398556847844534,11,88,symp
782,2.1398556847844534,11,89,symp
874,2.1398556847844534,11,90,symp
843,2.1398556847844534,11,91,symp
211,2.1373556847844535,11,92,symp
682,2.1373556847844535,11,93,symp
234,2.1323556847844536,11,94,symp
53,2.1307728019015704,11,95,symp
459,2.1298556847844536,11,96,symp
827,2.1273556847844537,11,97,symp
425,2.1273556847844537,11,98,symp
835,2.1273556847844537,11,99,symp
339,2.124666495595264,11,100,symp
23,3.0489702268581578,12,1,symp
383,2.8925,12,2,symp
214,2.8272282024615816,12,3,symp
24,2.8109675170026405,12,4,symp
343,2.806154958428726,12,5,symp
47,2.803654958428726,12,6,symp
125,2.7931713660061646,12,7,symp
80,2.774215035339473,12,8,symp
126,2.7719429233984236,12,9,symp
2,2.771190476190476,12,10,symp
42,2.766090579522153,12,11,symp
207,2.751127803430673,12,12,symp
55,2.726234545236147,12,13,symp
305,2.70337826602805,12,14,symp
26,2.7006201089499315,12,15,symp
58,2.6730588386541285,12,16,symp
293,2.6449999999999996,12,17,symp
475,2.62588170200614,12,18,symp
400,2.59,12,19,symp
235,2.5885105397027073,12,20,symp
274,2.587860676804455,12,21,symp
6,2.580764421360749,12,22,symp
290,2.5659792551171865,12,23,symp
53,2.542719718448863,12,24,symp
217,2.5335007496251873,12,25,symp
66,2.5101947296824134,12,26,symp
262,2.5047255867905593,12,27,symp
128,2.45588170200614,12,28,symp
697,2.454215035339473,12,29,symp
168,2.442857142857143,12,30,symp
19,2.4399999999999995,12,31,symp
46,2.439942923398424,12,32,symp
388,2.424460222071259,12,33,symp
447,2.4181947296824133,12,34,symp
550,2.4149999999999996,12,35,symp
175,2.411666666666667,12,36,symp
129,2.410577741265425,12,37,symp
198,2.4049429233984236,12,38,symp
122,2.398012747700431,12,39,symp
762,2.3890352702229545,12,40,symp
9,2.38452380952381,12,41,symp
724,2.378421756709441,12,42,symp
268,2.3762920269797103,12,43,symp
123,2.3762920269797103,12,44,symp
725,2.36442175670944,12,45,symp
86,2.3587514864391697,12,46,symp
444,2.352442923398424,12,47,symp
119,2.3458571428571435,12,48,symp
405,2.3415352702229537,12,49,symp
28,2.3371947296824134,12,50,symp
51,2.3368724631363755,12,51,symp
769,2.3347484874622424,12,52,symp
381,2.3304217567094407,12,53,symp
329,2.3261549584287264,12,54,symp
722,2.3144217567094407,12,55,symp
140,2.3024217567094407,12,56,symp
638,2.3024217567094407,12,57,symp
756,2.2984217567094407,12,58,symp
603,2.2896794143670984,12,59,symp
319,2.2890352702229544,12,60,symp
390,2.2864217567094407,12,61,symp
590,2.2790352702229537,12,62,symp
508,2.2740352702229543,12,63,symp
747,2.2740352702229543,12,64,symp
210,2.269035270222954,12,65,symp
755,2.2584217567094402,12,66,symp
283,2.255,12,67,symp
646,2.2540352702229542,12,68,symp
