user,item,rating
2,356,1.74
11,66,2.96
12,216,3.05
13,180,2.22
13,1015,1.8
20,53,1.75
22,120,1.57
23,18,2.34
31,235,1.56
32,369,1.95
35,913,2.89
36,915,2.11
41,23,2.41
44,276,2.14
49,924,1.49
55,936,1.83
57,739,2.55
62,949,2.22
66,547,2.11
83,109,2.28
89,723,2.68
99,22,2.56
112,693,1.96
113,19,1.68
128,1052,3.02
129,811,2.51
131,810,1.82
1,934,2.04
1,725,2.52
3,28,1.97
9,827,1.8
24,209,1.8
26,58,3.13
27,8,1.75
39,16,2.01
40,262,2.51
50,926,2.29
61,946,3.04
63,570,1.82
64,276,1.72
72,966,2.09
74,226,2.39
77,75,1.52
87,997,1.44
90,682,2.39
93,24,3.04
95,1012,2.36
103,22,2.59
107,759,2.02
115,66,2.83
118,480,1.72
120,755,2.41
135,854,1.32
138,1071,1.8
4,920,2.14
7,22,2.05
8,81,2.06
14,940,1.82
18,894,1.75
19,175,2.44
21,897,1.84
37,24,2.06
37,195,1.81
53,929,2.06
59,18,3.04
67,604,2.28
71,965,2.13
73,55,2.26
84,987,1.88
91,1003,2.57
92,274,1.57
101,953,2.02
106,1045,2.39
110,319,2.42
116,526,2.18
121,444,1.81
122,43,2.0
123,172,1.76
124,845,1.98
126,5,1.79
5,86,2.42
10,885,1.5
16,203,1.93
25,339,1.88
30,456,2.16
33,383,1.84
38,275,2.18
43,973,1.79
47,53,1.86
51,9,2.87
52,22,2.23
68,958,2.3
69,1018,1.61
70,638,2.39
78,672,2.17
80,979,2.7
81,217,1.83
82,278,1.38
88,1001,1.69
98,1020,2.77
109,332,1.76
119,873,2.04
134,86,2.17
136,1064,2.0
28,523,1.61
29,903,1.81
34,351,1.56
42,46,2.54
45,125,2.74
46,388,2.89
48,350,2.8
56,957,2.13
60,953,1.87
75,172,2.22
76,53,2.14
79,974,2.72
85,990,1.67
86,293,2.83
94,22,2.2
97,168,1.79
100,646,2.3
102,175,2.41
105,453,1.89
108,67,2.15
111,180,1.9
117,454,2.25
125,6,2.25
133,263,2.37
137,835,2.05
