item,score,user,rank,Algorithm
529,3.24888888888889,1,1,trst
66,3.153809523809524,1,2,trst
23,2.919716417044004,1,3,trst
55,2.912888888888889,1,4,trst
2,2.8955281358538936,1,5,trst
80,2.740475855226956,1,6,trst
214,2.7269896862741247,1,7,trst
28,2.665921931521383,1,8,trst
280,2.6028571428571428,1,9,trst
290,2.5809513621140527,1,10,trst
172,2.5427960771076017,1,11,trst
26,2.53763775623878,1,12,trst
810,2.5338888888888893,1,13,trst
42,2.5322902276165498,1,14,trst
125,2.5187610405323655,1,15,trst
119,2.5068888888888896,1,16,trst
53,2.4975,1,17,trst
383,2.4686666666666666,1,18,trst
22,2.464341082474683,1,19,trst
217,2.4144385676835767,1,20,trst
540,2.3914456140350877,1,21,trst
24,2.3904022988505744,1,22,trst
305,2.383852170572674,1,23,trst
9,2.3703333333333334,1,24,trst
18,2.3513333333333333,1,25,trst
6,2.3493382960859766,1,26,trst
31,2.3433333333333333,1,27,trst
274,2.3333333333333335,1,28,trst
58,2.324237231008556,1,29,trst
447,2.30531527537006,1,30,trst
216,2.301155815910601,1,31,trst
811,2.2983333333333333,1,32,trst
129,2.2976982869530715,1,33,trst
51,2.296095554297931,1,34,trst
762,2.276155815910601,1,35,trst
268,2.2634125726673573,1,36,trst
123,2.2634125726673573,1,37,trst
456,2.259666666666667,1,38,trst
46,2.2560250855450668,1,39,trst
209,2.2522222222222226,1,40,trst
86,2.2458720321268166,1,41,trst
405,2.2286558159106007,1,42,trst
381,2.2175423023970873,1,43,trst
388,2.2042417422867513,1,44,trst
722,2.2015423023970873,1,45,trst
140,2.189542302397087,1,46,trst
638,2.189542302397087,1,47,trst
756,2.1855423023970872,1,48,trst
207,2.184841144095929,1,49,trst
349,2.183666666666667,1,50,trst
444,2.177428895699155,1,51,trst
603,2.1767999600547445,1,52,trst
319,2.176155815910601,1,53,trst
390,2.173542302397087,1,54,trst
590,2.1661558159106007,1,55,trst
747,2.161155815910601,1,56,trst
210,2.156155815910601,1,57,trst
723,2.153542302397087,1,58,trst
755,2.145542302397087,1,59,trst
343,2.143542302397087,1,60,trst
646,2.141155815910601,1,61,trst
511,2.138655815910601,1,62,trst
844,2.1361558159106004,1,63,trst
475,2.1320689655172416,1,64,trst
731,2.1311558159106005,1,65,trst
78,2.1311558159106005,1,66,trst
813,2.1301332933880777,1,67,trst
665,2.128655815910601,1,68,trst
769,2.1267417422867516,1,69,trst
770,2.1261558159106007,1,70,trst
757,2.1255423023970867,1,71,trst
443,2.125133293388078,1,72,trst
524,2.123666666666667,1,73,trst
563,2.1211558159106008,1,74,trst
29,2.118620395714102,1,75,trst
168,2.117698286953072,1,76,trst
498,2.116155815910601,1,77,trst
831,2.116155815910601,1,78,trst
604,2.1134666267214115,1,79,trst
513,2.111155815910601,1,80,trst
235,2.1104022988505746,1,81,trst
812,2.110133293388078,1,82,trst
801,2.1095423023970867,1,83,trst
133,2.1075423023970874,1,84,trst
547,2.105542302397087,1,85,trst
543,2.1035423023970874,1,86,trst
497,2.1011558159106003,1,87,trst
612,2.093655815910601,1,88,trst
453,2.091799960054745,1,89,trst
226,2.088655815910601,1,90,trst
503,2.0875423023970874,1,91,trst
356,2.0861558159106006,1,92,trst
102,2.0836558159106002,1,93,trst
782,2.0836558159106002,1,94,trst
874,2.0836558159106002,1,95,trst
843,2.0836558159106002,1,96,trst
8,2.0814432321026395,1,97,trst
211,2.0811558159106007,1,98,trst
682,2.0811558159106007,1,99,trst
262,2.0774022988505743,1,100,trst
529,3.24888888888889,2,1,trst
66,3.153809523809524,2,2,trst
55,2.912888888888889,2,3,trst
2,2.8955281358538936,2,4,trst
80,2.8297674499228105,2,5,trst
23,2.6684740304486687,2,6,trst
214,2.6561666666666666,2,7,trst
280,2.6028571428571428,2,8,trst
290,2.5745088980341277,2,9,trst
28,2.562848217385677,2,10,trst
126,2.562094005590677,2,11,trst
810,2.5338888888888893,2,12,trst
119,2.5068888888888896,2,13,trst
447,2.4992163727910106,2,14,trst
216,2.495056913331551,2,15,trst
24,2.493140697115335,2,16,trst
129,2.491599384374022,2,17,trst
26,2.4819382306174886,2,18,trst
762,2.4700569133315518,2,19,trst
383,2.4686666666666666,2,20,trst
268,2.457313670088308,2,21,trst
123,2.457313670088308,2,22,trst
725,2.445443399818038,2,23,trst
86,2.4397731295477674,2,24,trst
47,2.433559370334008,2,25,trst
217,2.4331746031746033,2,26,trst
405,2.4225569133315514,2,27,trst
381,2.411443399818038,2,28,trst
722,2.395443399818038,2,29,trst
18,2.387102859277497,2,30,trst
140,2.3834433998180375,2,31,trst
638,2.3834433998180375,2,32,trst
756,2.379443399818038,2,33,trst
207,2.3787422415168797,2,34,trst
603,2.3707010574756953,2,35,trst
9,2.3703333333333334,2,36,trst
319,2.370056913331551,2,37,trst
739,2.3683333333333327,2,38,trst
390,2.3674433998180375,2,39,trst
590,2.3600569133315514,2,40,trst
747,2.3550569133315515,2,41,trst
210,2.3500569133315516,2,42,trst
723,2.347443399818038,2,43,trst
755,2.339443399818038,2,44,trst
343,2.3374433998180373,2,45,trst
646,2.335056913331551,2,46,trst
511,2.3325569133315516,2,47,trst
844,2.330056913331551,2,48,trst
731,2.3250569133315513,2,49,trst
78,2.3250569133315513,2,50,trst
813,2.3240343908090284,2,51,trst
665,2.322556913331552,2,52,trst
770,2.3200569133315514,2,53,trst
757,2.3194433998180375,2,54,trst
443,2.3190343908090285,2,55,trst
22,2.3181499499229377,2,56,trst
125,2.3158333333333334,2,57,trst
563,2.3150569133315515,2,58,trst
168,2.311599384374022,2,59,trst
498,2.3100569133315516,2,60,trst
831,2.3100569133315516,2,61,trst
604,2.307367724142362,2,62,trst
172,2.30634520161984,2,63,trst
513,2.3050569133315517,2,64,trst
812,2.304034390809029,2,65,trst
801,2.3034433998180375,2,66,trst
133,2.3014433998180377,2,67,trst
547,2.299443399818038,2,68,trst
543,2.297443399818038,2,69,trst
497,2.295056913331551,2,70,trst
612,2.2875569133315516,2,71,trst
453,2.2857010574756953,2,72,trst
226,2.2825569133315518,2,73,trst
503,2.281443399818038,2,74,trst
102,2.277556913331551,2,75,trst
782,2.277556913331551,2,76,trst
874,2.277556913331551,2,77,trst
843,2.277556913331551,2,78,trst
211,2.2750569133315515,2,79,trst
682,2.2750569133315515,2,80,trst
234,2.2700569133315516,2,81,trst
53,2.2684740304486684,2,82,trst
175,2.2683527091273468,2,83,trst
459,2.267556913331551,2,84,trst
293,2.265443399818038,2,85,trst
827,2.2650569133315517,2,86,trst
425,2.2650569133315517,2,87,trst
835,2.2650569133315517,2,88,trst
339,2.262367724142362,2,89,trst
274,2.2614433998180377,2,90,trst
475,2.260701057475695,2,91,trst
575,2.260056913331552,2,92,trst
456,2.259666666666667,2,93,trst
495,2.2575569133315514,2,94,trst
142,2.2575569133315514,2,95,trst
746,2.2575569133315514,2,96,trst
422,2.255056913331551,2,97,trst
400,2.254456527231165,2,98,trst
169,2.2534433998180377,2,99,trst
218,2.2534433998180377,2,100,trst
529,3.429437083404695,24,1,trst
810,3.160555555555556,24,2,trst
22,3.1434865900383144,24,3,trst
55,3.073013725969478,24,4,trst
217,3.05984126984127,24,5,trst
125,2.936,24,6,trst
42,2.8768117817370764,24,7,trst
23,2.8631666666666664,24,8,trst
24,2.8316666666666657,24,9,trst
290,2.822880794159443,24,10,trst
540,2.7966666666666664,24,11,trst
343,2.7866666666666666,24,12,trst
47,2.7841666666666662,24,13,trst
180,2.7533333333333334,24,14,trst
58,2.7414761904761904,24,15,trst
119,2.7363503999860845,24,16,trst
8,2.7255555555555553,24,17,trst
444,2.708057884928954,24,18,trst
126,2.6886666666666663,24,19,trst
9,2.6760000000000006,24,20,trst
