user,item,rating
1,22,2.02
1,769,1.86
2,18,1.76
24,529,2.75
36,24,2.12
38,275,2.18
52,508,2.37
56,954,2.37
59,117,2.1
60,953,1.87
70,643,2.19
82,278,1.38
83,47,2.1
89,724,2.44
91,1004,2.34
92,70,1.8
95,1009,1.98
102,23,2.38
107,13,1.25
109,82,1.57
115,122,2.66
121,763,1.66
126,290,2.24
128,1052,3.02
134,1056,1.81
135,58,2.28
7,24,1.89
9,447,2.05
12,18,2.53
20,453,1.39
21,18,2.57
27,126,1.97
29,903,1.81
31,22,1.87
37,731,1.9
37,133,1.92
40,76,2.27
43,973,1.79
46,983,2.54
48,350,2.8
49,924,1.49
51,140,1.79
55,89,2.16
75,6,2.22
81,218,2.45
94,172,1.76
97,746,1.8
111,693,1.93
112,180,2.23
122,43,2.0
131,810,1.82
136,1063,2.0
138,1070,1.8
5,18,2.37
8,81,2.06
11,195,1.41
14,728,1.78
22,310,1.91
25,341,1.92
30,1038,2.48
32,906,1.83
33,383,1.84
39,428,1.83
44,195,1.62
61,944,2.43
66,547,2.11
68,960,2.14
69,6,1.94
85,697,2.13
88,71,1.99
105,452,1.96
110,1035,2.32
113,1041,1.91
118,481,1.63
123,777,2.42
124,832,1.7
133,843,1.59
137,835,2.05
10,885,1.5
13,891,1.8
13,180,2.22
18,893,2.37
23,18,2.34
34,51,2.24
41,71,1.79
42,46,2.54
53,930,1.98
57,8,1.77
62,952,1.48
63,71,1.99
64,276,1.72
67,604,2.28
71,964,1.72
74,972,2.11
78,668,1.49
80,198,2.22
90,1050,2.19
100,647,2.07
101,1027,2.22
103,443,2.23
106,1047,2.44
117,454,2.25
119,801,1.91
125,1036,1.75
3,18,2.16
4,920,2.14
16,902,2.71
19,175,2.44
26,58,3.13
28,195,1.55
35,71,2.36
45,172,2.11
47,175,2.26
50,169,1.73
72,967,2.64
73,8,1.54
76,195,1.14
77,290,2.09
79,433,1.43
84,278,2.35
86,293,2.83
87,997,1.44
93,23,2.62
98,1023,2.63
99,26,2.93
108,13,1.59
116,6,1.71
120,756,2.28
129,811,2.51
