item,score,user,rank,Algorithm
529,2.267153997747748,7,1,ii
66,2.2360026463963965,7,2,ii
2,2.1909167605105107,7,3,ii
23,2.16957325126851,7,4,ii
55,2.158309403153153,7,5,ii
447,2.1440026463963964,7,6,ii
216,2.1398431869369374,7,7,ii
129,2.136385657979408,7,8,ii
122,2.123820664414414,7,9,ii
268,2.1020999436936934,7,10,ii
23,2.7043231231231233,18,1,ii
529,2.5125688063063065,18,2,ii
66,2.4814174549549546,18,3,ii
2,2.436331569069069,18,4,ii
55,2.403724211711712,18,5,ii
290,2.3914712712712713,18,6,ii
447,2.389417454954955,18,7,ii
216,2.3852579954954956,18,8,ii
24,2.3833417792792795,18,9,ii
129,2.381800466537966,18,10,ii
529,2.5242060310310315,21,1,ii
23,2.469778965169652,21,2,ii
2,2.4432558924357846,21,3,ii
86,2.397476301301301,21,4,ii
66,2.3925213075119935,21,5,ii
55,2.3922887235933437,21,6,ii
47,2.3331408590408587,21,7,ii
24,2.321707349729238,21,8,ii
125,2.3084320027988725,21,9,ii
268,2.303281106106106,21,10,ii
529,2.371441554054054,22,1,ii
23,2.3520380255255255,22,2,ii
66,2.3402902027027026,22,3,ii
2,2.295204316816817,22,4,ii
24,2.2754269144144144,22,5,ii
55,2.2625969594594597,22,6,ii
447,2.2482902027027025,22,7,ii
216,2.2441307432432436,22,8,ii
129,2.240673214285714,22,9,ii
122,2.2281082207207206,22,10,ii
23,2.448644069069069,25,1,ii
529,2.4025377627627624,25,2,ii
66,2.3713864114114114,25,3,ii
2,2.3263005255255256,25,4,ii
55,2.2936931681681685,25,5,ii
447,2.279386411411411,25,6,ii
216,2.2752269519519523,25,7,ii
24,2.273310735735736,25,8,ii
129,2.271769422994423,25,9,ii
122,2.2592044294294293,25,10,ii
23,2.438775558370871,27,1,ii
529,2.432660899962462,27,2,ii
66,2.3733620770323895,27,3,ii
2,2.3564236627252253,27,4,ii
42,2.3548575081778207,27,5,ii
122,2.325138288958601,27,6,ii
140,2.3240998076201205,27,7,ii
55,2.3238163053678678,27,8,ii
447,2.3095095486111106,27,9,ii
216,2.305350089151652,27,10,ii
23,2.6064018862612612,30,1,ii
529,2.521030489864865,30,2,ii
66,2.4655639441093484,30,3,ii
2,2.4204780582234626,30,4,ii
447,2.3735639441093483,30,5,ii
216,2.3694044846498894,30,6,ii
129,2.36594695569236,30,7,ii
55,2.3567541867760617,30,8,ii
122,2.3533819621273664,30,9,ii
47,2.336137239563894,30,10,ii
23,2.4756088004671337,39,1,ii
529,2.429502494160827,39,2,ii
66,2.398351142809476,39,3,ii
453,2.3755555555555556,39,4,ii
2,2.3532652569235903,39,5,ii
55,2.3206578995662333,39,6,ii
447,2.3063511428094756,39,7,ii
216,2.302191683350017,39,8,ii
24,2.3002754671338006,39,9,ii
129,2.2987341543924877,39,10,ii
529,2.421787095919449,42,1,ii
66,2.3906357445680975,42,2,ii
23,2.3805520591457543,42,3,ii
2,2.3455498586822117,42,4,ii
55,2.335929643929644,42,5,ii
214,2.299845550692318,42,6,ii
447,2.2986357445680974,42,7,ii
216,2.2944762851086384,42,8,ii
129,2.291018756151109,42,9,ii
125,2.289318881165648,42,10,ii
2,2.5148244054931554,44,1,ii
529,2.434803909385635,44,2,ii
66,2.4036525580342833,44,3,ii
28,2.3673412008599506,44,4,ii
23,2.3465262785414724,44,5,ii
55,2.3259593147910405,44,6,ii
447,2.3116525580342833,44,7,ii
216,2.3074930985748243,44,8,ii
