user,item,rating
7,889,1.73
18,26,2.41
21,898,1.75
22,900,2.15
25,336,1.63
27,71,1.82
30,78,1.71
39,425,2.41
42,236,1.86
44,642,1.61
46,983,2.54
47,53,1.86
55,89,2.16
57,28,2.52
59,24,2.41
63,175,1.82
69,1014,1.86
72,969,2.75
74,436,2.0
77,75,1.52
89,724,2.44
103,762,2.99
109,119,2.26
123,777,2.42
128,1052,3.02
136,1064,2.0
2,356,1.74
8,102,2.35
10,886,2.02
13,24,1.8
13,447,2.25
24,209,1.8
34,351,1.56
37,731,1.9
37,914,1.91
40,76,2.27
51,9,2.87
56,957,2.13
60,22,2.79
62,952,1.48
64,172,2.64
67,602,1.84
70,638,2.39
78,133,2.27
88,999,2.15
92,70,1.8
93,47,2.69
94,1008,1.94
110,459,2.25
120,756,2.28
125,6,2.25
129,811,2.51
133,235,2.65
3,6,2.12
4,172,2.17
19,8,2.12
23,280,1.69
29,904,2.13
32,906,1.83
50,925,2.58
53,928,1.87
66,597,2.68
68,612,2.28
73,6,2.12
82,267,1.92
86,994,1.39
90,1024,2.52
91,1005,2.18
102,23,2.38
108,67,2.15
111,693,1.93
118,31,1.62
119,1,1.56
121,22,2.31
124,830,1.95
126,290,2.24
135,1060,2.76
137,835,2.05
5,86,2.42
9,827,1.8
11,195,1.41
12,195,1.43
16,195,1.46
26,374,3.0
28,18,2.54
31,117,1.74
33,910,2.07
38,916,2.45
43,142,2.48
45,47,2.97
48,291,1.81
61,945,2.39
76,456,1.32
79,976,2.35
81,217,1.83
83,47,2.1
84,278,2.35
85,992,2.22
99,58,2.39
107,13,1.25
116,524,1.89
122,43,2.0
138,878,1.8
1,934,2.04
1,22,2.02
14,941,2.27
20,86,2.5
35,71,2.36
36,195,1.82
41,6,1.86
49,499,2.32
52,508,2.37
71,503,2.09
75,664,2.08
80,13,2.21
87,997,1.44
95,1011,1.84
97,202,1.56
98,1021,2.54
100,647,2.07
101,1025,2.38
105,452,1.96
106,1043,2.07
112,491,1.51
113,19,1.68
115,812,2.45
117,1066,2.38
131,810,1.82
134,1055,2.0
