user,item,rating
2,238,1.73
21,283,1.42
23,329,1.79
30,22,2.36
32,368,1.76
33,381,2.3
41,71,1.79
51,291,1.67
57,8,1.77
68,958,2.3
72,969,2.75
77,26,2.02
79,547,2.57
81,217,1.83
83,690,2.45
86,704,2.0
87,997,1.44
89,268,2.33
90,1050,2.19
98,1023,2.63
101,1027,2.22
110,319,2.42
112,491,1.51
121,763,1.66
133,842,2.12
134,86,2.17
1,127,1.86
1,934,2.04
7,890,1.36
8,458,1.6
9,70,2.31
12,18,2.53
27,18,2.2
37,915,2.14
37,133,1.92
40,918,2.56
42,117,1.37
46,985,2.42
52,508,2.37
56,957,2.13
59,24,2.41
60,23,2.12
62,948,0.94
71,503,2.09
75,172,2.22
95,1010,2.46
97,58,1.92
100,647,2.07
107,13,1.25
111,491,1.66
118,195,0.92
122,770,1.98
136,1062,1.8
3,46,1.93
14,941,2.27
16,76,2.01
19,767,1.74
24,18,2.14
28,18,2.54
31,453,2.01
43,142,2.48
44,8,2.58
45,125,2.74
63,570,1.82
64,172,2.64
66,226,2.3
67,602,1.84
70,94,2.29
92,1007,2.31
93,329,2.37
102,543,2.22
109,82,1.57
113,19,1.68
120,756,2.28
124,831,2.31
126,290,2.24
131,195,1.64
137,218,2.11
4,42,1.98
5,18,2.37
11,195,1.41
13,491,1.56
13,891,1.8
26,374,3.0
34,351,1.56
38,412,1.83
47,175,2.26
49,924,1.49
50,23,2.63
53,931,2.27
61,946,3.04
69,1014,1.86
73,58,1.9
74,971,2.21
85,991,2.06
88,998,2.49
91,1002,2.03
99,26,2.93
103,1029,2.17
105,13,1.65
117,1067,2.56
125,6,2.25
128,1053,1.83
138,1071,1.8
10,885,1.5
18,26,2.41
20,1054,2.0
22,120,1.57
25,338,1.96
29,326,1.82
35,911,1.91
36,24,2.12
39,917,1.69
48,291,1.81
55,936,1.83
76,456,1.32
78,672,2.17
80,198,2.22
82,175,1.36
84,278,2.35
94,24,1.84
106,1047,2.44
108,759,1.73
115,812,2.45
116,524,1.89
119,1,1.56
123,777,2.42
129,400,1.71
135,1058,2.57
