item,score,user,rank,Algorithm
23,3.9562356321839083,3,1,trst
125,3.7587356321839076,3,2,trst
24,3.737068965517241,3,3,trst
2,3.2520069784328776,4,1,trst
66,3.217142857142857,4,2,trst
81,3.1711111111111117,4,3,trst
214,2.714568965517241,7,1,trst
125,2.688735632183908,7,2,trst
42,2.6598467432950197,7,3,trst
86,2.897989129993113,8,1,trst
23,2.586529954954955,8,2,trst
85,2.5712632160425755,8,3,trst
2,3.4466666666666663,11,1,trst
262,3.2253333333333334,11,2,trst
122,3.015290004132563,11,3,trst
55,2.8939999999999992,29,1,trst
125,2.786666666666666,29,2,trst
58,2.592142857142857,29,3,trst
23,2.469567454954955,35,1,trst
529,2.4234611486486486,35,2,trst
66,2.392309797297297,35,3,trst
23,2.8600000000000003,36,1,trst
18,2.5050000000000003,36,2,trst
58,2.4679761904761905,36,3,trst
23,2.8600000000000003,37,1,trst
18,2.5050000000000003,37,2,trst
58,2.4679761904761905,37,3,trst
2,3.2866666666666666,41,1,trst
125,3.1600000000000006,41,2,trst
55,3.037399148277197,41,3,trst
23,2.521484684684685,43,1,trst
529,2.4753783783783785,43,2,trst
66,2.444227027027027,43,3,trst
725,3.4000000000000004,56,1,trst
125,3.1966666666666663,56,2,trst
723,3.1550000000000002,56,3,trst
24,3.060165394402035,63,1,trst
218,2.950545256270447,63,2,trst
217,2.854830970556161,63,3,trst
2,3.0333333333333328,71,1,trst
24,2.798333333333334,71,2,trst
53,2.5175000000000005,71,3,trst
55,4.401857142857143,84,1,trst
125,4.29452380952381,84,2,trst
24,4.272857142857143,84,3,trst
123,2.9549999999999996,86,1,trst
305,2.928735632183908,86,2,trst
23,2.88035184730004,86,3,trst
23,2.81,90,1,trst
526,2.569166666666667,90,2,trst
529,2.4412736486486484,90,3,trst
343,3.2950000000000004,94,1,trst
23,3.2940912982810895,94,2,trst
47,3.2925,94,3,trst
2,3.0503333333333327,98,1,trst
23,2.9133574832920734,98,2,trst
214,2.90840448896891,98,3,trst
86,3.075545454545454,105,1,trst
704,2.856666666666666,105,2,trst
364,2.6584848484848482,105,3,trst
125,3.1866666666666665,106,1,trst
55,2.9254285714285713,106,2,trst
24,2.796428571428571,106,3,trst
529,3.551666666666667,112,1,trst
129,3.2641048640802386,112,2,trst
390,3.116666666666667,112,3,trst
66,3.5242857142857145,120,1,trst
125,3.3566666666666665,120,2,trst
42,3.3277777777777775,120,3,trst
55,2.605428571428571,123,1,trst
172,2.5093390387991463,123,2,trst
24,2.4764285714285714,123,3,trst
23,2.521484684684685,134,1,trst
529,2.4753783783783785,134,2,trst
66,2.444227027027027,134,3,trst
23,3.9562356321839083,3,1,socsim
125,3.7587356321839076,3,2,socsim
24,3.737068965517241,3,3,socsim
2,3.2520069784328776,4,1,socsim
66,3.217142857142857,4,2,socsim
81,3.1711111111111117,4,3,socsim
214,2.714568965517241,7,1,socsim
125,2.688735632183908,7,2,socsim
42,2.6598467432950197,7,3,socsim
86,2.984021537212402,8,1,socsim
85,2.654856808060709,8,2,socsim
23,2.586529954954955,8,3,socsim
2,3.4466666666666663,11,1,socsim
262,3.2253333333333334,11,2,socsim
122,3.015290004132563,11,3,socsim
55,2.8939999999999997,29,1,socsim
