user,item,rating
2,42,1.8
8,125,2.34
21,284,1.39
43,975,2.09
49,499,2.32
70,94,2.29
71,965,2.13
78,671,2.39
87,714,1.05
100,646,2.3
112,180,2.23
116,524,1.89
121,769,1.84
124,832,1.7
133,263,2.37
134,1056,1.81
136,1065,1.48
138,1070,1.8
3,6,2.12
24,18,2.14
25,338,1.96
32,905,1.14
38,413,2.02
55,935,1.53
64,172,2.64
77,26,2.02
83,982,2.01
90,1048,2.1
92,274,1.57
93,24,3.04
94,18,1.89
95,1012,2.36
98,1021,2.54
106,1043,2.07
109,799,1.55
126,456,2.3
10,884,1.63
33,909,1.73
48,291,1.81
66,226,2.3
79,547,2.57
80,13,2.21
81,218,2.45
84,987,1.88
88,1000,1.53
91,1005,2.18
103,762,2.99
107,67,2.2
108,759,1.73
110,1035,2.32
119,874,1.91
123,206,2.04
131,550,1.56
22,308,2.42
29,903,1.81
30,364,2.61
53,928,1.87
56,938,2.02
62,951,1.51
67,602,1.84
74,436,2.0
85,993,2.28
99,22,2.56
101,1026,1.91
105,1032,1.68
113,19,1.68
117,390,2.79
128,1053,1.83
129,214,2.81
137,1068,1.78
31,117,1.74
39,425,2.41
40,168,2.24
50,23,2.63
52,508,2.37
61,945,2.39
68,960,2.14
69,1014,1.86
72,967,2.64
86,24,2.39
89,722,2.52
102,265,2.13
111,693,1.93
115,122,2.66
120,755,2.41
122,771,2.44
135,854,1.32
