item,score,user,rank,Algorithm
23,2.413317454954955,10,1,trst
529,2.3672111486486487,10,2,trst
66,2.336059797297297,10,3,trst
763,2.8700000000000006,14,1,trst
24,2.695,14,2,trst
529,2.506666666666667,14,3,trst
55,2.3939999999999997,29,1,trst
23,2.3631364864864866,29,2,trst
529,2.31703018018018,29,3,trst
23,2.9791666666666665,30,1,trst
24,2.8249999999999997,30,2,trst
529,2.7760000000000007,30,3,trst
23,2.521484684684685,43,1,trst
529,2.4753783783783785,43,2,trst
66,2.444227027027027,43,3,trst
529,3.2022222222222227,47,1,trst
214,2.764568965517241,47,2,trst
24,2.717068965517241,47,3,trst
2,2.7483155361816856,50,1,trst
503,2.686666666666667,50,2,trst
55,2.6473333333333327,50,3,trst
66,2.845396825396826,60,1,trst
24,2.750365998340879,60,2,trst
86,2.667111111111111,60,3,trst
24,3.0483333333333333,61,1,trst
529,2.9133333333333336,61,2,trst
543,2.884735509697053,61,3,trst
23,2.615277777777778,64,1,trst
66,2.585396825396826,64,2,trst
447,2.5735179536388837,64,3,trst
23,2.4791469594594595,66,1,trst
529,2.433040653153153,66,2,trst
66,2.4018893018018015,66,3,trst
24,3.046709459267326,69,1,trst
23,2.796235632183908,69,2,trst
214,2.6881590852186528,69,3,trst
55,2.7039999999999997,74,1,trst
125,2.5966666666666667,74,2,trst
23,2.527140765765766,74,3,trst
82,2.9183333333333326,76,1,trst
2,2.910333333333333,76,2,trst
23,2.8481666666666663,76,3,trst
23,2.3282833333333337,79,1,trst
529,2.282177027027027,79,2,trst
66,2.2510256756756757,79,3,trst
28,2.8151428571428574,80,1,trst
343,2.8000000000000003,80,2,trst
23,2.714166666666667,80,3,trst
23,2.936235632183908,81,1,trst
55,2.8662222222222216,81,2,trst
214,2.764568965517241,81,3,trst
55,3.9018571428571427,84,1,trst
125,3.7945238095238096,84,2,trst
24,3.7728571428571427,84,3,trst
24,2.528333333333333,88,1,trst
218,2.4542857142857146,88,2,trst
175,2.440952380952381,88,3,trst
55,2.7579999999999996,102,1,trst
123,2.7039999999999997,102,2,trst
24,2.657906811057281,102,3,trst
42,3.0135934244597005,109,1,trst
55,2.935999999999999,109,2,trst
125,2.828666666666666,109,3,trst
23,2.4452875563063063,110,1,trst
529,2.39918125,110,2,trst
66,2.3680298986486483,110,3,trst
23,2.450476238738739,117,1,trst
529,2.4043699324324326,117,2,trst
66,2.373218581081081,117,3,trst
2,3.2088151870302286,118,1,trst
55,2.8818571428571427,118,2,trst
125,2.7745238095238096,118,3,trst
23,2.846235632183908,124,1,trst
214,2.674568965517241,124,2,trst
125,2.6487356321839077,124,3,trst
23,2.482976238738739,134,1,trst
529,2.4368699324324323,134,2,trst
66,2.405718581081081,134,3,trst
23,2.413317454954955,10,1,socsim
529,2.3672111486486487,10,2,socsim
66,2.336059797297297,10,3,socsim
763,2.8700000000000006,14,1,socsim
24,2.695,14,2,socsim
23,2.5253050951695806,14,3,socsim
55,2.3939999999999997,29,1,socsim
23,2.3631364864864866,29,2,socsim
529,2.31703018018018,29,3,socsim
23,2.9791666666666665,30,1,socsim
24,2.8249999999999997,30,2,socsim
529,2.7760000000000007,30,3,socsim
23,2.521484684684685,43,1,socsim
529,2.4753783783783785,43,2,socsim
66,2.444227027027027,43,3,socsim
529,3.2022222222222227,47,1,socsim
214,2.764568965517241,47,2,socsim
24,2.7170689655172406,47,3,socsim
2,2.7483155361816856,50,1,socsim
503,2.686666666666667,50,2,socsim
55,2.6473333333333327,50,3,socsim
66,2.845396825396826,60,1,socsim
86,2.667111111111111,60,2,socsim
24,2.5607149437540992,60,3,socsim
24,3.048333333333333,61,1,socsim
529,2.9133333333333336,61,2,socsim
543,2.8847355096970526,61,3,socsim
23,2.615277777777778,64,1,socsim
66,2.585396825396826,64,2,socsim
447,2.5735179536388832,64,3,socsim
23,2.4791469594594595,66,1,socsim
529,2.433040653153153,66,2,socsim
66,2.4018893018018015,66,3,socsim
24,3.0467094592673254,69,1,socsim
23,2.796235632183908,69,2,socsim
214,2.6881590852186528,69,3,socsim
55,2.7039999999999997,74,1,socsim
125,2.5966666666666667,74,2,socsim
23,2.527140765765766,74,3,socsim
82,2.918333333333333,76,1,socsim
2,2.910333333333333,76,2,socsim
