user,item,rating
3,18,2.16
10,185,2.03
12,22,2.26
22,120,1.57
25,340,1.19
30,456,2.16
37,731,1.9
37,914,1.91
41,6,1.86
42,195,1.08
46,985,2.42
47,53,1.86
60,71,1.93
72,967,2.64
89,268,2.33
94,172,1.76
95,1009,1.98
97,1031,1.65
102,175,2.41
108,67,2.15
115,122,2.66
117,454,2.25
123,172,1.76
125,6,2.25
126,456,2.3
138,1071,1.8
8,102,2.35
19,767,1.74
20,1054,2.0
23,329,1.79
24,901,2.15
26,908,3.01
27,195,1.62
40,262,2.51
48,922,2.19
49,924,1.49
51,291,1.67
59,24,2.41
66,226,2.3
67,605,2.25
70,643,2.19
80,981,1.79
84,278,2.35
87,714,1.05
88,71,1.99
98,1019,2.32
100,747,2.45
103,22,2.59
105,452,1.96
107,56,1.48
118,543,2.1
129,210,2.28
2,356,1.74
13,447,2.25
13,24,1.8
29,324,1.55
34,22,2.02
35,234,2.89
43,141,1.59
44,642,1.61
55,936,1.83
62,949,2.22
64,575,2.34
68,612,2.28
69,6,1.94
75,664,2.08
78,133,2.27
79,977,2.21
83,982,2.01
92,1006,2.2
112,180,2.23
116,527,2.04
119,1033,1.66
122,770,1.98
131,810,1.82
133,53,2.38
135,1060,2.76
137,835,2.05
4,70,1.42
7,22,2.05
9,80,2.49
16,76,2.01
28,195,1.55
32,905,1.14
39,13,1.97
45,22,2.81
50,23,2.63
53,930,1.98
61,942,2.53
73,267,2.11
76,195,1.14
82,195,1.15
90,1049,2.28
91,1003,2.57
93,523,1.92
99,58,2.39
106,1044,2.95
109,795,1.87
110,1035,2.32
113,1041,1.91
120,757,2.26
128,57,3.12
136,1063,2.0
1,934,2.04
1,126,2.44
5,18,2.37
11,9,2.18
14,195,1.66
18,895,1.78
21,283,1.42
31,453,2.01
33,909,1.73
36,731,2.12
38,412,1.83
52,207,2.45
56,957,2.13
57,8,1.77
63,71,1.99
71,503,2.09
74,226,2.39
77,290,2.09
81,22,1.5
85,993,2.28
86,24,2.39
101,1026,1.91
111,491,1.66
121,444,1.81
124,828,1.67
134,1055,2.0
