user,item,rating
3,6,2.12
8,81,2.06
10,185,2.03
19,290,2.8
23,18,2.34
24,18,2.14
25,339,1.88
26,908,3.01
29,324,1.55
31,22,1.87
33,383,1.84
34,22,2.02
45,47,2.97
47,47,2.11
49,924,1.49
50,569,1.45
51,140,1.79
62,947,1.91
63,71,1.99
68,960,2.14
69,1018,1.61
87,997,1.44
106,1044,2.95
112,693,1.96
134,86,2.17
136,1064,2.0
2,726,2.02
4,28,2.15
14,728,1.78
18,892,1.6
28,921,2.06
36,195,1.82
37,265,2.09
37,133,1.92
38,413,2.02
42,117,1.37
46,983,2.54
52,511,2.61
53,929,2.06
55,935,1.53
70,86,2.66
73,6,2.12
77,58,1.36
95,1009,1.98
97,746,1.8
103,762,2.99
113,19,1.68
117,454,2.25
118,543,2.1
119,873,2.04
123,203,2.22
126,48,1.64
138,1069,1.8
1,128,1.27
1,725,2.52
9,29,2.89
13,693,1.87
13,180,2.22
16,203,1.93
20,844,1.4
22,120,1.57
30,364,2.61
39,16,2.01
43,978,2.08
44,642,1.61
48,922,2.19
59,117,2.1
67,604,2.28
71,965,2.13
74,436,2.0
86,293,2.83
105,453,1.89
110,1035,2.32
111,447,2.45
115,122,2.66
121,444,1.81
124,832,1.7
128,1052,3.02
131,42,2.52
133,53,2.38
5,85,2.9
7,58,2.15
11,9,2.18
12,216,3.05
21,897,1.84
27,71,1.82
32,907,2.46
41,6,1.86
56,957,2.13
76,290,2.15
78,672,2.17
79,977,2.21
80,979,2.7
82,175,1.36
84,989,1.39
85,991,2.06
88,1000,1.53
94,172,1.76
99,58,2.39
102,265,2.13
107,56,1.48
108,329,1.75
122,43,2.0
129,811,2.51
35,913,2.89
40,262,2.51
57,8,1.77
60,23,2.12
61,946,3.04
64,276,1.72
66,547,2.11
72,967,2.64
75,6,2.22
81,563,1.71
83,982,2.01
89,268,2.33
90,1050,2.19
91,6,2.92
92,456,2.14
93,23,2.62
98,1020,2.77
100,172,1.95
101,1026,1.91
109,799,1.55
116,524,1.89
120,757,2.26
125,1037,2.33
135,1059,1.99
137,343,2.12
