item,score,user,rank,Algorithm
529,2.159589864864865,22,1,ii
24,2.13,22,2,ii
66,2.1284385135135135,22,3,ii
447,2.0364385135135135,22,4,ii
129,2.028821525096525,22,5,ii
23,2.526706644144144,53,1,ii
529,2.4806003378378376,53,2,ii
66,2.449448986486486,53,3,ii
447,2.357448986486486,53,4,ii
129,2.3498319980694977,53,5,ii
23,2.400192653683095,55,1,ii
529,2.3540863473767883,55,2,ii
24,2.3461513513513514,55,3,ii
42,2.3235225225225227,55,4,ii
66,2.3229349960254373,55,5,ii
23,2.587233108108108,61,1,ii
529,2.557523648648649,61,2,ii
66,2.50997545045045,61,3,ii
24,2.4282966216216217,61,4,ii
447,2.41797545045045,61,5,ii
23,2.4682791291291295,70,1,ii
529,2.422172822822823,70,2,ii
66,2.3910214714714715,70,3,ii
447,2.2990214714714714,70,4,ii
24,2.292945795795796,70,5,ii
23,2.527140765765766,74,1,ii
529,2.4810344594594596,74,2,ii
66,2.449883108108108,74,3,ii
125,2.3679811561561563,74,4,ii
447,2.357883108108108,74,5,ii
23,2.3331366845105976,77,1,ii
529,2.287030378204291,77,2,ii
66,2.1692857142857145,77,3,ii
447,2.1638790268529395,77,4,ii
24,2.157803351177264,77,5,ii
23,2.334730292792793,78,1,ii
529,2.2886239864864866,78,2,ii
66,2.257472635135135,78,3,ii
447,2.165472635135135,78,4,ii
24,2.1593969594594595,78,5,ii
23,2.521484684684685,80,1,ii
529,2.4753783783783785,80,2,ii
66,2.444227027027027,80,3,ii
447,2.352227027027027,80,4,ii
24,2.3461513513513514,80,5,ii
529,2.4707611462005485,86,1,ii
66,2.456772619047619,86,2,ii
447,2.347609794849197,86,3,ii
129,2.3399928064322086,86,4,ii
42,2.3360681145431146,86,5,ii
23,2.3205816441441445,87,1,ii
529,2.274475337837838,87,2,ii
66,2.2433239864864865,87,3,ii
447,2.1513239864864864,87,4,ii
129,2.143706998069498,87,5,ii
343,2.561819358488112,93,1,ii
529,2.556232125307125,93,2,ii
66,2.5250807739557737,93,3,ii
207,2.4775000000000005,93,4,ii
447,2.4330807739557736,93,5,ii
23,2.521484684684685,98,1,ii
529,2.4753783783783785,98,2,ii
66,2.444227027027027,98,3,ii
447,2.352227027027027,98,4,ii
24,2.3461513513513514,98,5,ii
529,2.3766804858429857,106,1,ii
66,2.3455291344916342,106,2,ii
447,2.253529134491634,106,3,ii
129,2.245912146074646,106,4,ii
122,2.233347152509652,106,5,ii
23,2.521484684684685,113,1,ii
529,2.4753783783783785,113,2,ii
66,2.444227027027027,113,3,ii
447,2.352227027027027,113,4,ii
24,2.3449999999999998,113,5,ii
23,2.548845326576577,122,1,ii
529,2.5027390202702704,122,2,ii
66,2.471587668918919,122,3,ii
447,2.379587668918919,122,4,ii
24,2.3735119932432434,122,5,ii
529,2.399215765765766,123,1,ii
23,2.335277777777778,123,2,ii
66,2.3053968253968256,123,3,ii
447,2.276064414414414,123,4,ii
129,2.268447425997426,123,5,ii
23,2.3191666666666673,136,1,ii
529,2.3187574324324323,136,2,ii
66,2.2876060810810808,136,3,ii
447,2.1956060810810807,136,4,ii
129,2.1879890926640924,136,5,ii
529,2.159589864864865,22,1,socntxt
24,2.13,22,2,socntxt
