item,score,user,rank,Algorithm
529,2.3570480590885,1,1,ii
66,2.3258967077371486,1,2,ii
2,2.280810821851263,1,3,ii
23,2.276235632183908,1,4,ii
55,2.2482034644939057,1,5,ii
23,2.482976238738739,5,1,ii
529,2.4368699324324323,5,2,ii
66,2.405718581081081,5,3,ii
2,2.360632695195195,5,4,ii
55,2.328025337837838,5,5,ii
529,2.373270213963964,14,1,ii
66,2.3421188626126126,14,2,ii
2,2.297032976726727,14,3,ii
55,2.2644256193693697,14,4,ii
216,2.2459594031531536,14,5,ii
23,2.5091666666666668,28,1,ii
529,2.427473622151563,28,2,ii
66,2.3963222708002117,28,3,ii
55,2.366533783783784,28,4,ii
2,2.351236384914326,28,5,ii
23,2.4386083711040234,33,1,ii
529,2.392502064797717,33,2,ii
66,2.3613507134463654,33,3,ii
2,2.3303333333333334,33,4,ii
55,2.2836574702031225,33,5,ii
55,2.3545935623123126,41,1,ii
529,2.3540863473767883,41,2,ii
24,2.33421112987988,41,3,ii
66,2.3229349960254373,41,4,ii
42,2.3115823010510512,41,5,ii
529,2.3188824887387387,42,1,ii
66,2.287731137387387,42,2,ii
23,2.2541666666666664,42,3,ii
2,2.2426452515015014,42,4,ii
55,2.2100378941441443,42,5,ii
23,2.3237930930930935,51,1,ii
529,2.277686786786787,51,2,ii
66,2.2465354354354354,51,3,ii
447,2.2028571428571433,51,4,ii
2,2.2014495495495496,51,5,ii
529,2.282177027027027,59,1,ii
23,2.269166666666667,59,2,ii
66,2.2510256756756757,59,3,ii
2,2.20593978978979,59,4,ii
55,2.173332432432433,59,5,ii
529,2.3188824887387387,60,1,ii
66,2.287731137387387,60,2,ii
2,2.2426452515015014,60,3,ii
55,2.2100378941441443,60,4,ii
447,2.195731137387387,60,5,ii
23,2.415277777777778,64,1,ii
529,2.3929778451245363,64,2,ii
66,2.3853968253968256,64,3,ii
2,2.316740607887299,64,4,ii
24,2.3140602477477477,64,5,ii
23,2.6733574832920737,75,1,ii
2,2.6025019851461026,75,2,ii
66,2.595396825396826,75,3,ii
529,2.5455018299953083,75,4,ii
214,2.497970882615,75,5,ii
23,2.3205816441441445,87,1,ii
529,2.274475337837838,87,2,ii
66,2.2433239864864865,87,3,ii
2,2.1982381006006007,87,4,ii
55,2.1656307432432436,87,5,ii
23,2.624401651651652,89,1,ii
529,2.5782953453453454,89,2,ii
2,2.5478735735735736,89,3,ii
66,2.547143993993994,89,4,ii
55,2.5152662162162165,89,5,ii
23,2.487379954954955,90,1,ii
529,2.4412736486486484,90,2,ii
66,2.410122297297297,90,3,ii
2,2.365036411411411,90,4,ii
55,2.332429054054054,90,5,ii
23,2.564254954954955,92,1,ii
529,2.4772015765765767,92,2,ii
66,2.446050225225225,92,3,ii
2,2.4009643393393394,92,4,ii
55,2.3683569819819823,92,5,ii
343,2.561819358488112,93,1,ii
529,2.556232125307125,93,2,ii
66,2.5250807739557737,93,3,ii
2,2.479994888069888,93,4,ii
207,2.4775000000000005,93,5,ii
23,2.4409607947232947,97,1,ii
529,2.3948544884169882,97,2,ii
66,2.3637031370656367,97,3,ii
2,2.318617251179751,97,4,ii
55,2.286009893822394,97,5,ii
23,2.6973799549549553,103,1,ii
529,2.6287901222651224,103,2,ii
66,2.6201222972972973,103,3,ii
2,2.552552885027885,103,4,ii
24,2.5220466216216217,103,5,ii
23,2.4657844755469758,105,1,ii
529,2.4196781692406693,105,2,ii
66,2.3885268178893178,105,3,ii
2,2.343440932003432,105,4,ii
55,2.310833574646075,105,5,ii
529,2.7866666666666666,111,1,ii
23,2.5832167524667526,111,2,ii
447,2.5747099452774447,111,3,ii
66,2.5059590948090946,111,4,ii
86,2.483142857142856,111,5,ii
529,2.7866666666666666,112,1,ii
86,2.6031428571428563,112,2,ii
23,2.5832167524667526,112,3,ii
447,2.5747099452774447,112,4,ii
66,2.5059590948090946,112,5,ii
23,2.5167439120439123,115,1,ii
529,2.470637605737606,115,2,ii
2,2.3944003685003685,115,3,ii
28,2.3628571428571425,115,4,ii
447,2.3474862543862542,115,5,ii
529,2.399215765765766,123,1,ii
23,2.335277777777778,123,2,ii
2,2.3229785285285285,123,3,ii
66,2.3053968253968256,123,4,ii
55,2.2903711711711714,123,5,ii
529,2.942222222222223,131,1,ii
42,2.599510917165841,131,2,ii
55,2.587699294778066,131,3,ii
23,2.511897469528352,131,4,ii
66,2.434639811870694,131,5,ii
23,2.3191666666666673,136,1,ii
529,2.3187574324324323,136,2,ii
66,2.2876060810810808,136,3,ii
2,2.242520195195195,136,4,ii
55,2.209912837837838,136,5,ii
529,2.942222222222223,1,1,socntxt
66,2.8471428571428574,1,2,socntxt
23,2.776235632183908,1,3,socntxt
214,2.6272097720009726,1,4,socntxt
55,2.606222222222222,1,5,socntxt
447,2.5568571428571434,5,1,socntxt
23,2.482976238738739,5,2,socntxt
529,2.4368699324324323,5,3,socntxt
66,2.405718581081081,5,4,socntxt
2,2.360632695195195,5,5,socntxt
763,2.8700000000000006,14,1,socntxt
24,2.695,14,2,socntxt
23,2.5300404995173804,14,3,socntxt
529,2.506666666666667,14,4,socntxt
125,2.498735632183908,14,5,socntxt
42,3.047252103931515,28,1,socntxt
23,3.0004552138813434,28,2,socntxt
529,2.9822222222222226,28,3,socntxt
55,2.8569813575870895,28,4,socntxt
24,2.7981756647609934,28,5,socntxt
214,2.7525814815957617,33,1,socntxt
2,2.7003333333333326,33,2,socntxt
28,2.4941428571428568,33,3,socntxt
80,2.4419999999999997,33,4,socntxt
23,2.4386083711040234,33,5,socntxt
125,2.96,41,1,socntxt
290,2.883,41,2,socntxt
28,2.833809523809524,41,3,socntxt
55,2.825428571428571,41,4,socntxt
58,2.718809523809524,41,5,socntxt
23,2.6077102726266768,42,1,socntxt
55,2.395428571428571,42,2,socntxt
529,2.3188824887387387,42,3,socntxt
214,2.3145689655172412,42,4,socntxt
125,2.288735632183908,42,5,socntxt
2,2.751190476190476,51,1,socntxt
55,2.7318571428571428,51,2,socntxt
447,2.702857142857143,51,3,socntxt
125,2.6245238095238097,51,4,socntxt
22,2.6229310344827588,51,5,socntxt
218,2.3950000000000005,59,1,socntxt
217,2.2992857142857144,59,2,socntxt
529,2.282177027027027,59,3,socntxt
23,2.269166666666667,59,4,socntxt
66,2.2510256756756757,59,5,socntxt
66,2.845396825396826,60,1,socntxt
86,2.667111111111111,60,2,socntxt
24,2.4424803258672894,60,3,socntxt
400,2.3761111111111113,60,4,socntxt
529,2.3188824887387387,60,5,socntxt
23,2.615277777777778,64,1,socntxt
66,2.5853968253968254,64,2,socntxt
447,2.5735179536388832,64,3,socntxt
129,2.5171428571428565,64,4,socntxt
24,2.4949999999999997,64,5,socntxt
23,3.201058207327615,75,1,socntxt
125,2.8787356321839077,75,2,socntxt
42,2.8498467432950183,75,3,socntxt
66,2.835396825396826,75,4,socntxt
2,2.810333333333333,75,5,socntxt
218,2.6442857142857146,87,1,socntxt
175,2.630952380952381,87,2,socntxt
217,2.548571428571428,87,3,socntxt
55,2.3579999999999997,87,4,socntxt
23,2.3205816441441445,87,5,socntxt
125,2.711666666666666,89,1,socntxt
2,2.646666666666666,89,2,socntxt
55,2.6273333333333326,89,3,socntxt
23,2.624401651651652,89,4,socntxt
529,2.5782953453453454,89,5,socntxt
23,2.61,90,1,socntxt
529,2.4412736486486484,90,2,socntxt
66,2.410122297297297,90,3,socntxt
526,2.3691666666666666,90,4,socntxt
2,2.365036411411411,90,5,socntxt
23,3.37,92,1,socntxt
66,2.9653968253968257,92,2,socntxt
47,2.8874999999999997,92,3,socntxt
400,2.870833333333333,92,4,socntxt
53,2.794166666666667,92,5,socntxt
207,2.9525,93,1,socntxt
58,2.842142857142857,93,2,socntxt
343,2.832067694068617,93,3,socntxt
175,2.746666666666666,93,4,socntxt
18,2.6805672161810685,93,5,socntxt
23,2.4409607947232947,97,1,socntxt
529,2.3948544884169882,97,2,socntxt
66,2.3637031370656367,97,3,socntxt
2,2.318617251179751,97,4,socntxt
55,2.286009893822394,97,5,socntxt
47,3.1333333333333333,103,1,socntxt
24,3.122998283983781,103,2,socntxt
23,2.984754819397245,103,3,socntxt
172,2.9720530662966214,103,4,socntxt
66,2.935396825396826,103,5,socntxt
86,2.9359999999999995,105,1,socntxt
329,2.5338888888888884,105,2,socntxt
364,2.516666666666666,105,3,socntxt
23,2.4657844755469758,105,4,socntxt
529,2.4196781692406693,105,5,socntxt
529,3.2716666666666665,111,1,socntxt
447,2.912716735947271,111,2,socntxt
86,2.8781428571428567,111,3,socntxt
390,2.836666666666666,111,4,socntxt
475,2.6088095238095232,111,5,socntxt
529,3.4266666666666667,112,1,socntxt
86,3.068142857142856,112,2,socntxt
447,3.0178385444494134,112,3,socntxt
390,2.991666666666666,112,4,socntxt
475,2.798809523809523,112,5,socntxt
28,2.8478571428571424,115,1,socntxt
172,2.6796031746031734,115,2,socntxt
125,2.561930616662938,115,3,socntxt
23,2.5167439120439123,115,4,socntxt
529,2.470637605737606,115,5,socntxt
529,2.399215765765766,123,1,socntxt
55,2.3654285714285708,123,2,socntxt
23,2.335277777777778,123,3,socntxt
2,2.3229785285285285,123,4,socntxt
66,2.3053968253968256,123,5,socntxt
529,3.3272222222222223,131,1,socntxt
42,3.0733815105486775,131,2,socntxt
55,3.0218739038512537,131,3,socntxt
46,2.9299999999999997,131,4,socntxt
24,2.896428571428571,131,5,socntxt
23,2.3191666666666673,136,1,socntxt
529,2.3187574324324323,136,2,socntxt
66,2.2876060810810808,136,3,socntxt
2,2.242520195195195,136,4,socntxt
55,2.209912837837838,136,5,socntxt
529,2.3188824887387387,9,1,ii
66,2.287731137387387,9,2,ii
23,2.261253878586688,9,3,ii
2,2.2426452515015014,9,4,ii
55,2.2100378941441443,9,5,ii
24,2.4673425445576633,12,1,ii
23,2.450689527027027,12,2,ii
66,2.373431869369369,12,3,ii
47,2.345347945873681,12,4,ii
2,2.328345983483483,12,5,ii
23,2.3994934684684686,21,1,ii
529,2.353387162162162,21,2,ii
66,2.3222358108108105,21,3,ii
47,2.2775,21,4,ii
2,2.2771499249249247,21,5,ii
529,2.159589864864865,22,1,ii
24,2.13,22,2,ii
66,2.1284385135135135,22,3,ii
2,2.0833526276276277,22,4,ii
55,2.0507452702702706,22,5,ii
23,2.421032826576577,23,1,ii
529,2.380248248248248,23,2,ii
66,2.343775168918919,23,3,ii
2,2.298689283033033,23,4,ii
55,2.2714036536536537,23,5,ii
529,2.284491265898251,31,1,ii
66,2.2533399145468995,31,2,ii
447,2.1613399145468994,31,3,ii
216,2.1571804550874405,31,4,ii
129,2.153722926129911,31,5,ii
23,2.316054411764706,38,1,ii
529,2.2699481054583996,38,2,ii
66,2.238796754107048,38,3,ii
24,2.2252695695695697,38,4,ii
42,2.202640740740741,38,5,ii
23,2.4263545545545546,39,1,ii
529,2.380248248248248,39,2,ii
66,2.3490968968968966,39,3,ii
2,2.304011011011011,39,4,ii
55,2.2714036536536537,39,5,ii
23,2.521484684684685,43,1,ii
529,2.4753783783783785,43,2,ii
66,2.444227027027027,43,3,ii
2,2.399141141141141,43,4,ii
55,2.366533783783784,43,5,ii
23,2.705817454954955,52,1,ii
529,2.534156299682035,52,2,ii
42,2.507855292792793,52,3,ii
2,2.506193578399828,52,4,ii
66,2.5030049483306835,52,5,ii
23,2.400192653683095,55,1,ii
55,2.366533783783784,55,2,ii
529,2.3540863473767883,55,3,ii
24,2.3461513513513514,55,4,ii
42,2.3235225225225227,55,5,ii
23,2.2807028153153155,56,1,ii
529,2.234596509009009,56,2,ii
66,2.2034451576576575,56,3,ii
2,2.1583592717717717,56,4,ii
55,2.1257519144144146,56,5,ii
23,2.587233108108108,61,1,ii
529,2.557523648648649,61,2,ii
66,2.50997545045045,61,3,ii
2,2.4648895645645643,61,4,ii
55,2.4322822072072072,61,5,ii
23,2.3331366845105976,73,1,ii
529,2.287030378204291,73,2,ii
447,2.1638790268529395,73,3,ii
216,2.1597195673934806,73,4,ii
24,2.157803351177264,73,5,ii
23,2.3331366845105976,77,1,ii
529,2.287030378204291,77,2,ii
66,2.1692857142857145,77,3,ii
447,2.1638790268529395,77,4,ii
216,2.1597195673934806,77,5,ii
23,2.3282833333333337,79,1,ii
529,2.282177027027027,79,2,ii
66,2.2510256756756757,79,3,ii
2,2.20593978978979,79,4,ii
55,2.173332432432433,79,5,ii
529,2.4707611462005485,86,1,ii
66,2.456772619047619,86,2,ii
24,2.435111072562983,86,3,ii
2,2.411686733161733,86,4,ii
55,2.361916551605954,86,5,ii
23,2.365504954954955,88,1,ii
529,2.3193986486486486,88,2,ii
66,2.288247297297297,88,3,ii
2,2.2431614114114113,88,4,ii
55,2.2105540540540543,88,5,ii
23,2.5938028569535927,99,1,ii
529,2.547696550647286,99,2,ii
66,2.5165451992959342,99,3,ii
447,2.4245451992959346,99,4,ii
216,2.420385739836475,99,5,ii
529,2.373270213963964,101,1,ii
55,2.2644256193693697,101,2,ii
66,2.2222730590885003,101,3,ii
23,2.204803221256983,101,4,ii
42,2.189416999845505,101,5,ii
55,2.5779999999999994,108,1,ii
123,2.4939999999999993,108,2,ii
125,2.469208379722727,108,3,ii
23,2.3241666666666667,108,4,ii
529,2.2952771025146026,108,5,ii
23,2.4452875563063063,110,1,ii
529,2.39918125,110,2,ii
66,2.3680298986486483,110,3,ii
2,2.3229440127627625,110,4,ii
55,2.2903366554054054,110,5,ii
23,2.450476238738739,117,1,ii
529,2.4043699324324326,117,2,ii
66,2.373218581081081,117,3,ii
2,2.3281326951951953,117,4,ii
55,2.295525337837838,117,5,ii
66,2.6892857142857145,126,1,ii
23,2.5760104729729734,126,2,ii
756,2.56,126,3,ii
529,2.529904166666667,126,4,ii
125,2.5216666666666665,126,5,ii
529,2.569605193901885,129,1,ii
447,2.4464538425505333,129,2,ii
23,2.4228071083162996,129,3,ii
66,2.3455494506586416,129,4,ii
390,2.3146808695775607,129,5,ii
23,2.482976238738739,134,1,ii
529,2.4368699324324323,134,2,ii
66,2.405718581081081,134,3,ii
2,2.360632695195195,134,4,ii
55,2.328025337837838,134,5,ii
6,2.946555715165103,9,1,socntxt
28,2.8453818522028187,9,2,socntxt
540,2.7936666666666667,9,3,socntxt
2,2.7920069784328776,9,4,socntxt
763,2.7870000000000004,9,5,socntxt
23,2.952701149425287,12,1,socntxt
24,2.7661305824852342,12,2,socntxt
383,2.7425,12,3,socntxt
214,2.7396316916384924,12,4,socntxt
126,2.7180344827586205,12,5,socntxt
529,2.706000000000001,21,1,socntxt
86,2.691,21,2,socntxt
343,2.5999999999999996,21,3,socntxt
47,2.5974999999999997,21,4,socntxt
2,2.5359510857157623,21,5,socntxt
529,2.159589864864865,22,1,socntxt
24,2.13,22,2,socntxt
66,2.1284385135135135,22,3,socntxt
2,2.0833526276276277,22,4,socntxt
55,2.0507452702702706,22,5,socntxt
529,3.206,23,1,socntxt
55,2.933181257412185,23,2,socntxt
23,2.804166666666667,23,3,socntxt
42,2.7337777777777776,23,4,socntxt
125,2.7092083797227273,23,5,socntxt
55,2.4618571428571427,31,1,socntxt
214,2.4617496250914455,31,2,socntxt
42,2.4167784540025163,31,3,socntxt
28,2.414142857142857,31,4,socntxt
172,2.408888888888889,31,5,socntxt
24,2.556428571428571,38,1,socntxt
23,2.316054411764706,38,2,socntxt
42,2.313884842308363,38,3,socntxt
175,2.288095238095238,38,4,socntxt
529,2.2699481054583996,38,5,socntxt
453,2.8105555555555557,39,1,socntxt
329,2.493888888888889,39,2,socntxt
596,2.487222222222222,39,3,socntxt
23,2.4263545545545546,39,4,socntxt
529,2.380248248248248,39,5,socntxt
23,2.521484684684685,43,1,socntxt
529,2.4753783783783785,43,2,socntxt
66,2.444227027027027,43,3,socntxt
