item,score,user,rank,Algorithm
23,3.156235632183908,3,1,ii
125,2.958735632183908,3,2,ii
24,2.937068965517241,3,3,ii
214,2.9337710927578833,3,4,ii
42,2.929846743295019,3,5,ii
58,2.7642118226600982,3,6,ii
66,2.757142857142857,3,7,ii
305,2.738735632183908,3,8,ii
475,2.678735632183908,3,9,ii
235,2.657068965517241,3,10,ii
23,2.537067454954955,10,1,ii
529,2.4909611486486485,10,2,ii
66,2.459809797297297,10,3,ii
447,2.367809797297297,10,4,ii
24,2.3617341216216214,10,5,ii
129,2.3601928088803086,10,6,ii
122,2.347627815315315,10,7,ii
42,2.3391052927927927,10,8,ii
762,2.338650337837838,10,9,ii
125,2.330279466966967,10,10,ii
529,2.706000000000001,21,1,ii
86,2.691,21,2,ii
125,2.59,21,3,ii
23,2.5593372372372376,21,4,ii
18,2.535,21,5,ii
66,2.4820795795795796,21,6,ii
343,2.4,21,7,ii
47,2.3974999999999995,21,8,ii
58,2.3954761904761903,21,9,ii
447,2.3900795795795795,21,10,ii
23,2.9791666666666665,30,1,ii
529,2.7760000000000007,30,2,ii
66,2.6475878710319884,30,3,ii
447,2.5555878710319884,30,4,ii
129,2.547970882615,30,5,ii
122,2.5354058890500064,30,6,ii
762,2.5264284115725295,30,7,ii
724,2.515814898059016,30,8,ii
268,2.513685168329286,30,9,ii
123,2.513685168329286,30,10,ii
23,2.591624211711712,33,1,ii
529,2.5455179054054056,33,2,ii
66,2.514366554054054,33,3,ii
214,2.4875,33,4,ii
447,2.422366554054054,33,5,ii
24,2.4162908783783785,33,6,ii
129,2.4147495656370657,33,7,ii
122,2.402184572072072,33,8,ii
42,2.3936620495495498,33,9,ii
762,2.393207094594595,33,10,ii
23,2.805277777777778,64,1,ii
66,2.7753968253968258,64,2,ii
447,2.6068571428571436,64,3,ii
86,2.597111111111111,64,4,ii
129,2.5171428571428565,64,5,ii
24,2.4949999999999997,64,6,ii
529,2.48309786036036,64,7,ii
343,2.45,64,8,ii
47,2.4475,64,9,ii
443,2.4444444444444446,64,10,ii
23,2.6162481981981984,67,1,ii
381,2.585,67,2,ii
529,2.570141891891892,67,3,ii
66,2.5389905405405404,67,4,ii
447,2.4469905405405403,67,5,ii
24,2.440914864864865,67,6,ii
129,2.439373552123552,67,7,ii
122,2.4268085585585584,67,8,ii
42,2.418286036036036,67,9,ii
762,2.4178310810810815,67,10,ii
123,2.6139999999999994,83,1,ii
125,2.560666666666666,83,2,ii
23,2.521484684684685,83,3,ii
529,2.4753783783783785,83,4,ii
66,2.444227027027027,83,5,ii
813,2.407333333333333,83,6,ii
447,2.352227027027027,83,7,ii
24,2.3461513513513514,83,8,ii
129,2.3446100386100386,83,9,ii
122,2.332045045045045,83,10,ii
125,3.7945238095238096,84,1,ii
24,3.7728571428571427,84,2,ii
26,3.635357142857143,84,3,ii
168,3.592857142857143,84,4,ii
305,3.57452380952381,84,5,ii
22,3.505788177339902,84,6,ii
119,3.4958571428571434,84,7,ii
235,3.492857142857143,84,8,ii
262,3.459857142857143,84,9,ii
76,3.3745238095238097,84,10,ii
207,2.9875000000000003,93,1,ii
58,2.8771428571428572,93,2,ii
175,2.7816666666666667,93,3,ii
18,2.7166132713460165,93,4,ii
24,2.7104302248891123,93,5,ii
343,2.662316029649122,93,6,ii
529,2.6199821253071254,93,7,ii
293,2.59,93,8,ii
66,2.588830773955774,93,9,ii
400,2.5349999999999997,93,10,ii
23,2.521484684684685,95,1,ii
529,2.4753783783783785,95,2,ii
66,2.444227027027027,95,3,ii
42,2.409206349206349,95,4,ii
24,2.39979094384722,95,5,ii
447,2.352227027027027,95,6,ii
129,2.3446100386100386,95,7,ii
122,2.332045045045045,95,8,ii
762,2.323067567567568,95,9,ii
125,2.314696696696697,95,10,ii
23,2.6733574832920737,98,1,ii
214,2.6684044889689096,98,2,ii
125,2.638735632183908,98,3,ii
42,2.609846743295019,98,4,ii
28,2.604142857142857,98,5,ii
66,2.595396825396826,98,6,ii
529,2.5455018299953083,98,7,ii
383,2.522,98,8,ii
26,2.5151547506894265,98,9,ii
24,2.4998882194393017,98,10,ii
529,3.3666666666666667,111,1,ii
390,2.931666666666666,111,2,ii
86,2.8231428571428565,111,3,ii
23,2.617879206885457,111,4,ii
475,2.5538095238095235,111,5,ii
540,2.543333333333333,111,6,ii
66,2.540621549227799,111,7,ii
24,2.4425458735521235,111,8,ii
122,2.428439567245817,111,9,ii
42,2.4199170447232947,111,10,ii
28,2.7828571428571425,115,1,ii
290,2.6507142857142854,115,2,ii
23,2.642648873873874,115,3,ii
172,2.614603174603174,115,4,ii
529,2.5965425675675675,115,5,ii
125,2.496088848064789,115,6,ii
447,2.473391216216216,115,7,ii
24,2.4673155405405405,115,8,ii
129,2.4657742277992276,115,9,ii
42,2.4446867117117117,115,10,ii
23,2.5137342720049243,116,1,ii
529,2.4676279656986178,116,2,ii
66,2.4364766143472663,116,3,ii
214,2.4295,116,4,ii
447,2.344476614347266,116,5,ii
24,2.3384009386715907,116,6,ii
129,2.336859625930278,116,7,ii
122,2.324294632365284,116,8,ii
28,2.3241428571428573,116,9,ii
42,2.315772109842762,116,10,ii
42,3.1434920634920633,133,1,ii
218,2.895714285714286,133,2,ii
22,2.8836453201970444,133,3,ii
119,2.873714285714286,133,4,ii
