item,score,user,rank,Algorithm
23,3.9562356321839083,3,1,trst
125,3.7587356321839076,3,2,trst
24,3.737068965517241,3,3,trst
2,3.4466666666666668,11,1,trst
343,3.295000000000001,11,2,trst
23,3.29409129828109,11,3,trst
529,4.116666666666667,13,1,trst
390,3.6816666666666666,13,2,trst
86,3.403142857142856,13,3,trst
23,3.6062356321839077,16,1,trst
55,3.4454285714285704,16,2,trst
214,3.434568965517241,16,3,trst
42,3.253492063492064,20,1,trst
23,3.1800000000000006,20,2,trst
218,3.0057142857142867,20,3,trst
529,2.5097111486486487,22,1,trst
66,2.4785597972972973,22,2,trst
2,2.4334739114114114,22,3,trst
529,3.6660000000000004,23,1,trst
55,3.284,23,2,trst
125,3.222666666666667,23,3,trst
28,3.233809523809525,26,1,trst
55,3.081857142857143,26,2,trst
169,3.0366666666666675,26,3,trst
140,3.2716666666666674,27,1,trst
42,3.133492063492064,27,2,trst
638,3.116727575154733,27,3,trst
23,3.676235632183908,34,1,trst
214,3.504568965517241,34,2,trst
125,3.478735632183908,34,3,trst
23,2.8600000000000003,36,1,trst
42,2.5538848423083627,36,2,trst
175,2.528095238095238,36,3,trst
47,3.423333333333333,60,1,trst
53,3.1543181818181822,60,2,trst
704,3.1325000000000003,60,3,trst
24,3.2883333333333327,63,1,trst
218,3.179375,63,2,trst
217,3.083660714285714,63,3,trst
23,3.005277777777778,64,1,trst
66,2.975396825396826,64,2,trst
447,2.806857142857144,64,3,trst
23,2.5912066441441444,66,1,trst
529,2.545100337837838,66,2,trst
66,2.5139489864864863,66,3,trst
381,2.825,67,1,trst
529,2.732222222222223,67,2,trst
23,2.6162481981981984,67,3,trst
28,3.0151428571428576,80,1,trst
343,3.000000000000001,80,2,trst
23,2.914166666666667,80,3,trst
18,2.72,82,1,trst
24,2.7049999999999996,82,2,trst
343,2.6599999999999997,82,3,trst
218,3.3742857142857146,88,1,trst
175,3.360952380952381,88,2,trst
24,3.2883333333333336,88,3,trst
55,3.4092232189284184,99,1,trst
268,3.4033333333333338,99,2,trst
123,3.4033333333333333,99,3,trst
23,3.121864872797828,101,1,trst
529,2.942222222222223,101,2,trst
47,2.865769506562714,101,3,trst
125,3.1866666666666665,106,1,trst
55,2.9254285714285713,106,2,trst
24,2.796428571428571,106,3,trst
529,3.711666666666667,111,1,trst
390,3.2766666666666664,111,2,trst
86,3.1331428571428566,111,3,trst
2,3.1999999999999993,121,1,trst
42,3.17506007136236,121,2,trst
23,3.1505459770114945,121,3,trst
55,2.605428571428571,123,1,trst
23,2.535277777777778,123,2,trst
66,2.5053968253968257,123,3,trst
2,3.7103333333333324,126,1,trst
23,3.648166666666666,126,2,trst
214,3.6094999999999993,126,3,trst
23,3.9562356321839083,3,1,socsim
125,3.7587356321839076,3,2,socsim
24,3.737068965517241,3,3,socsim
2,3.4466666666666668,11,1,socsim
343,3.2950000000000004,11,2,socsim
23,3.2940912982810895,11,3,socsim
529,4.116666666666667,13,1,socsim
390,3.6816666666666666,13,2,socsim
86,3.4031428571428566,13,3,socsim
23,3.6062356321839077,16,1,socsim
55,3.445428571428571,16,2,socsim
214,3.4345689655172404,16,3,socsim
42,3.2534920634920637,20,1,socsim
