user,item,rating
18,893,2.37
25,336,1.63
33,381,2.3
34,351,1.56
42,117,1.37
46,55,2.26
47,71,2.14
53,930,1.98
57,739,2.55
60,23,2.12
67,603,2.52
68,959,2.27
73,58,1.9
78,671,2.39
82,265,1.3
87,996,1.84
89,722,2.52
94,18,1.89
101,953,2.02
102,175,2.41
107,56,1.48
109,795,1.87
113,1039,2.07
131,42,2.52
137,1068,1.78
138,878,1.8
2,42,1.8
4,172,2.17
8,458,1.6
10,185,2.03
12,529,3.37
13,180,2.22
13,447,2.25
16,290,2.12
28,18,2.54
30,364,2.61
35,71,2.36
45,22,2.81
55,936,1.83
66,226,2.3
79,976,2.35
81,22,1.5
86,24,2.39
95,1012,2.36
105,453,1.89
111,129,2.32
117,49,2.06
120,292,2.19
121,22,2.31
124,828,1.67
126,8,2.2
129,811,2.51
3,6,2.12
5,18,2.37
7,889,1.73
14,728,1.78
22,308,2.42
24,456,1.81
40,262,2.51
50,23,2.63
51,291,1.67
52,513,2.46
62,948,0.94
64,172,2.64
72,966,2.09
74,226,2.39
76,195,1.14
84,988,2.3
91,1004,2.34
92,70,1.8
97,168,1.79
100,8,1.57
112,491,1.51
115,66,2.83
119,801,1.91
122,381,2.14
128,1051,2.91
1,126,2.44
1,127,1.86
11,888,2.13
19,175,2.44
26,58,3.13
29,903,1.81
31,117,1.74
32,368,1.76
36,24,2.12
39,16,2.01
43,975,2.09
48,922,2.19
49,497,2.54
59,24,2.41
70,94,2.29
71,962,1.78
80,980,1.99
85,993,2.28
90,682,2.39
98,1019,2.32
103,443,2.23
106,1045,2.39
108,13,1.59
125,1036,1.75
133,842,2.12
136,1061,2.07
9,827,1.8
20,86,2.5
21,284,1.39
23,280,1.69
27,8,1.75
37,24,2.06
37,265,2.09
38,275,2.18
41,6,1.86
44,8,2.58
56,955,2.74
61,946,3.04
63,71,1.99
69,1017,1.79
75,6,2.22
77,26,2.02
83,109,2.28
88,1000,1.53
93,329,2.37
99,58,2.39
110,1035,2.32
116,60,2.03
118,543,2.1
123,206,2.04
134,85,2.58
135,1058,2.57
