user,item,rating
22,310,1.91
38,412,1.83
43,973,1.79
53,932,2.34
55,936,1.83
61,945,2.39
68,960,2.14
69,1014,1.86
83,47,2.1
86,704,2.0
90,1050,2.19
92,456,2.14
99,782,2.27
100,747,2.45
109,119,2.26
110,141,1.14
115,123,2.49
126,48,1.64
21,897,1.84
29,326,1.82
31,453,2.01
39,917,1.69
70,970,2.38
71,963,2.09
74,436,2.0
81,217,1.83
88,998,2.49
91,6,2.92
95,1011,1.84
107,13,1.25
111,180,1.9
113,1039,2.07
121,125,2.01
134,85,2.58
136,1063,2.0
137,1068,1.78
2,356,1.74
10,885,1.5
24,209,1.8
30,22,2.36
32,369,1.95
40,76,2.27
49,495,2.29
66,597,2.68
67,602,1.84
80,979,2.7
85,993,2.28
93,23,2.62
106,1046,2.45
108,13,1.59
112,180,2.23
116,6,1.71
117,454,2.25
133,53,2.38
8,102,2.35
33,302,1.99
50,925,2.58
62,952,1.48
64,18,2.87
77,26,2.02
78,671,2.39
79,547,2.57
84,278,2.35
87,713,1.1
102,265,2.13
105,453,1.89
119,1033,1.66
120,290,2.54
123,203,2.22
135,1060,2.76
138,1070,1.8
3,18,2.16
25,338,1.96
48,923,2.02
52,511,2.61
56,954,2.37
72,966,2.09
89,722,2.52
94,18,1.89
98,1019,2.32
101,953,2.02
103,1028,2.45
122,43,2.0
124,832,1.7
128,57,3.12
129,214,2.81
131,195,1.64
