item,score,user,rank,Algorithm
529,2.942222222222223,1,1,ii
23,2.8641666666666667,1,2,ii
66,2.8471428571428574,1,3,ii
55,2.606222222222222,1,4,ii
2,2.588861469187227,1,5,ii
290,2.723,5,1,ii
23,2.586529954954955,5,2,ii
456,2.564,5,3,ii
447,2.5568571428571434,5,4,ii
86,2.542989129993113,5,5,ii
23,2.413317454954955,7,1,ii
529,2.3672111486486487,7,2,ii
66,2.336059797297297,7,3,ii
2,2.2909739114114114,7,4,ii
55,2.2583665540540543,7,5,ii
529,3.316666666666667,13,1,ii
390,2.8816666666666664,13,2,ii
447,2.657560115876091,13,3,ii
23,2.610379206885457,13,4,ii
86,2.6031428571428563,13,5,ii
23,2.5558174549549553,22,1,ii
529,2.5097111486486487,22,2,ii
66,2.4785597972972973,22,3,ii
2,2.4334739114114114,22,4,ii
55,2.4008665540540544,22,5,ii
28,3.0338095238095244,26,1,ii
55,2.8818571428571427,26,2,ii
169,2.8366666666666673,26,3,ii
23,2.8297043745426103,26,4,ii
9,2.805439132669784,26,5,ii
23,2.4990020270270272,29,1,ii
529,2.4528957207207207,29,2,ii
66,2.421744369369369,29,3,ii
55,2.3939999999999997,29,4,ii
2,2.3766584834834834,29,5,ii
2,2.82,50,1,ii
55,2.6473333333333327,50,2,ii
47,2.6241666666666665,50,3,ii
28,2.613809523809524,50,4,ii
529,2.5781031531531533,50,5,ii
28,2.7238095238095243,53,1,ii
2,2.5961008894324937,53,2,ii
23,2.59191522839366,53,3,ii
529,2.5458089220873537,53,4,ii
66,2.514657570736002,53,5,ii
23,2.591624211711712,57,1,ii
24,2.548333333333333,57,2,ii
381,2.525,57,3,ii
66,2.514366554054054,57,4,ii
214,2.4875,57,5,ii
2,3.180333333333333,68,1,ii
28,2.974142857142857,68,2,ii
383,2.892,68,3,ii
23,2.8014424549549553,68,4,ii
9,2.7936666666666667,68,5,ii
23,2.796235632183908,69,1,ii
24,2.6999999999999993,69,2,ii
214,2.6881590852186528,69,3,ii
2,2.671190476190476,69,4,ii
55,2.6518571428571427,69,5,ii
23,2.6463278153153156,70,1,ii
529,2.600221509009009,70,2,ii
66,2.5690701576576576,70,3,ii
2,2.5239842717717718,70,4,ii
55,2.4913769144144147,70,5,ii
55,2.7039999999999997,74,1,ii
23,2.5975958333333335,74,2,ii
125,2.5966666666666667,74,3,ii
529,2.551489527027027,74,4,ii
66,2.5203381756756755,74,5,ii
23,3.126235632183908,85,1,ii
214,2.9545689655172414,85,2,ii
125,2.928735632183908,85,3,ii
24,2.907068965517241,85,4,ii
42,2.899846743295019,85,5,ii
23,2.6902171171171174,89,1,ii
725,2.653088833105068,89,2,ii
2,2.646666666666666,89,3,ii
529,2.644110810810811,89,4,ii
55,2.6273333333333326,89,5,ii
23,2.6111063063063065,90,1,ii
529,2.565,90,2,ii
66,2.5338486486486484,90,3,ii
2,2.4887627627627626,90,4,ii
55,2.4561554054054056,90,5,ii
55,2.9092232189284184,99,1,ii
268,2.9033333333333338,99,2,ii
123,2.9033333333333333,99,3,ii
2,2.901190476190476,99,4,ii
23,2.776235632183908,99,5,ii
55,2.935999999999999,109,1,ii
125,2.828666666666666,109,2,ii
140,2.731666666666667,109,3,ii
58,2.6341428571428565,109,4,ii
42,2.5934920634920635,109,5,ii
529,3.3666666666666667,112,1,ii
390,2.931666666666666,112,2,ii
129,2.862228868562948,112,3,ii
86,2.8231428571428565,112,4,ii
23,2.617879206885457,112,5,ii
2,3.0866666666666664,113,1,ii
55,3.067333333333333,113,2,ii
125,2.96,113,3,ii
58,2.7654761904761904,113,4,ii
119,2.6613333333333338,113,5,ii
23,2.5756483671171173,117,1,ii
529,2.529542060810811,117,2,ii
66,2.4983907094594593,117,3,ii
2,2.4533048235735735,117,4,ii
55,2.4206974662162164,117,5,ii
66,3.0392857142857146,120,1,ii
55,2.945428571428571,120,2,ii
125,2.8716666666666666,120,3,ii
42,2.8427777777777776,120,4,ii
24,2.8164285714285713,120,5,ii
2,2.910333333333333,126,1,ii
23,2.8681666666666663,126,2,ii
214,2.8095,126,3,ii
58,2.7980284783508957,126,4,ii
66,2.7292857142857145,126,5,ii
23,2.521484684684685,134,1,ii
529,2.4753783783783785,134,2,ii
66,2.444227027027027,134,3,ii
2,2.399141141141141,134,4,ii
55,2.366533783783784,134,5,ii
23,2.394567454954955,136,1,ii
529,2.3484611486486484,136,2,ii
66,2.3173097972972974,136,3,ii
2,2.2722239114114116,136,4,ii
55,2.239616554054054,136,5,ii
529,3.402222222222223,1,1,socntxt
66,3.307142857142857,1,2,socntxt
55,3.066222222222222,1,3,socntxt
23,3.0641666666666665,1,4,socntxt
2,3.0488614691872264,1,5,socntxt
447,3.3168571428571436,5,1,socntxt
86,3.3029891299931133,5,2,socntxt
172,3.032888888888888,5,3,socntxt
475,3.0006666666666666,5,4,socntxt
83,2.950863615872538,5,5,socntxt
23,2.886235632183908,7,1,socntxt
214,2.714568965517241,7,2,socntxt
125,2.6887356321839078,7,3,socntxt
24,2.667068965517241,7,4,socntxt
42,2.6598467432950192,7,5,socntxt
529,4.116666666666667,13,1,socntxt
390,3.6816666666666666,13,2,socntxt
447,3.4575601158760905,13,3,socntxt
86,3.403142857142856,13,4,socntxt
540,3.2933333333333326,13,5,socntxt
529,2.5097111486486487,22,1,socntxt
66,2.4785597972972973,22,2,socntxt
2,2.4334739114114114,22,3,socntxt
55,2.4008665540540544,22,4,socntxt
447,2.386559797297297,22,5,socntxt
28,3.233809523809524,26,1,socntxt
55,3.081857142857143,26,2,socntxt
169,3.036666666666667,26,3,socntxt
9,3.0054391326697836,26,4,socntxt
125,2.97452380952381,26,5,socntxt
55,2.8939999999999997,29,1,socntxt
125,2.7866666666666666,29,2,socntxt
58,2.592142857142857,29,3,socntxt
9,2.5266666666666664,29,4,socntxt
23,2.4990020270270272,29,5,socntxt
2,3.0199999999999996,50,1,socntxt
55,2.8873333333333324,50,2,socntxt
290,2.835,50,3,socntxt
47,2.8241666666666667,50,4,socntxt
28,2.8138095238095238,50,5,socntxt
28,2.963809523809524,53,1,socntxt
2,2.8361008894324935,53,2,socntxt
9,2.676067825592832,53,3,socntxt
280,2.66,53,4,socntxt
58,2.6577224553861827,53,5,socntxt
24,3.0483333333333325,57,1,socntxt
381,3.025,57,2,socntxt
214,2.9875,57,3,socntxt
543,2.8847355096970526,57,4,socntxt
383,2.8199999999999994,57,5,socntxt
2,3.4203333333333323,68,1,socntxt
28,3.2141428571428565,68,2,socntxt
383,3.1319999999999997,68,3,socntxt
9,3.033666666666667,68,4,socntxt
80,2.9716983480764334,68,5,socntxt
24,3.4599999999999986,69,1,socntxt
23,3.296235632183908,69,2,socntxt
214,3.1881590852186528,69,3,socntxt
2,3.1711904761904757,69,4,socntxt
55,3.1518571428571427,69,5,socntxt
23,2.6463278153153156,70,1,socntxt
529,2.600221509009009,70,2,socntxt
66,2.5690701576576576,70,3,socntxt
2,2.5239842717717718,70,4,socntxt
55,2.4913769144144147,70,5,socntxt
55,2.9439999999999995,74,1,socntxt
125,2.8366666666666664,74,2,socntxt
23,2.5975958333333335,74,3,socntxt
9,2.576666666666667,74,4,socntxt
529,2.551489527027027,74,5,socntxt
23,3.626235632183908,85,1,socntxt
214,3.4545689655172414,85,2,socntxt
125,3.4287356321839075,85,3,socntxt
24,3.407068965517241,85,4,socntxt
42,3.399846743295019,85,5,socntxt
2,3.4466666666666663,89,1,socntxt
55,3.4273333333333325,89,2,socntxt
262,3.2253333333333334,89,3,socntxt
9,3.1310072177367316,89,4,socntxt
58,3.1308441162074647,89,5,socntxt
23,2.8099999999999996,90,1,socntxt
526,2.569166666666667,90,2,socntxt
529,2.565,90,3,socntxt
66,2.5338486486486484,90,4,socntxt
2,2.4887627627627626,90,5,socntxt
55,3.409223218928418,99,1,socntxt
268,3.4033333333333333,99,2,socntxt
123,3.403333333333333,99,3,socntxt
2,3.4011904761904757,99,4,socntxt
23,3.2762356321839077,99,5,socntxt
55,3.395999999999999,109,1,socntxt
125,3.288666666666666,109,2,socntxt
140,3.271666666666667,109,3,socntxt
42,3.133492063492063,109,4,socntxt
58,3.0941428571428564,109,5,socntxt
529,3.9916666666666667,112,1,socntxt
390,3.556666666666666,112,2,socntxt
129,3.425604067666406,112,3,socntxt
86,3.3631428571428565,112,4,socntxt
540,3.1683333333333326,112,5,socntxt
2,3.286666666666666,113,1,socntxt
55,3.267333333333333,113,2,socntxt
125,3.16,113,3,socntxt
58,2.9654761904761906,113,4,socntxt
119,2.861333333333334,113,5,socntxt
23,2.5756483671171173,117,1,socntxt
529,2.529542060810811,117,2,socntxt
66,2.4983907094594593,117,3,socntxt
2,2.4533048235735735,117,4,socntxt
55,2.4206974662162164,117,5,socntxt
66,3.524285714285714,120,1,socntxt
55,3.4454285714285704,120,2,socntxt
125,3.3566666666666665,120,3,socntxt
42,3.327777777777778,120,4,socntxt
24,3.3164285714285713,120,5,socntxt
2,3.710333333333333,126,1,socntxt
23,3.648166666666666,126,2,socntxt
214,3.6094999999999997,126,3,socntxt
58,3.558028478350896,126,4,socntxt
28,3.504142857142857,126,5,socntxt
23,2.521484684684685,134,1,socntxt
529,2.4753783783783785,134,2,socntxt
66,2.444227027027027,134,3,socntxt
2,2.399141141141141,134,4,socntxt
55,2.366533783783784,134,5,socntxt
23,2.7791666666666672,136,1,socntxt
207,2.4975,136,2,socntxt
47,2.4757598384646005,136,3,socntxt
24,2.454999999999999,136,4,socntxt
343,2.4257134661769912,136,5,socntxt
23,3.156235632183908,3,1,ii
125,2.958735632183908,3,2,ii
24,2.937068965517241,3,3,ii
214,2.9337710927578833,3,4,ii
42,2.929846743295019,3,5,ii
763,2.8700000000000006,14,1,ii
6,2.853,14,2,ii
23,2.696235632183908,14,3,ii
444,2.6725000000000003,14,4,ii
29,2.6275000000000004,14,5,ii
55,2.945428571428571,16,1,ii
23,2.846235632183908,16,2,ii
24,2.8164285714285713,16,3,ii
214,2.674568965517241,16,4,ii
125,2.6487356321839077,16,5,ii
23,3.07,18,1,ii
290,2.7861111111111114,18,2,ii
58,2.696400539618245,18,3,ii
81,2.6311111111111116,18,4,ii
456,2.6271111111111116,18,5,ii
23,2.626235632183908,42,1,ii
529,2.511167060810811,42,2,ii
66,2.4800157094594595,42,3,ii
214,2.4545689655172414,42,4,ii
2,2.4349298235735737,42,5,ii
2,3.180333333333333,44,1,ii
28,2.974142857142857,44,2,ii
383,2.892,44,3,ii
9,2.7936666666666667,44,4,ii
80,2.731698348076433,44,5,ii
529,2.796666666666667,47,1,ii
24,2.6999999999999993,47,2,ii
23,2.5582833333333337,47,3,ii
214,2.4825,47,4,ii
66,2.4810256756756757,47,5,ii
218,2.6142857142857148,63,1,ii
24,2.598333333333333,63,2,ii
23,2.5314480480480483,63,3,ii
217,2.5185714285714287,63,4,ii
529,2.485341741741742,63,5,ii
23,2.805277777777778,64,1,ii
66,2.7753968253968258,64,2,ii
447,2.6068571428571436,64,3,ii
86,2.597111111111111,64,4,ii
129,2.5171428571428565,64,5,ii
23,2.5912066441441444,66,1,ii
529,2.545100337837838,66,2,ii
66,2.5139489864864863,66,3,ii
2,2.4688631006006005,66,4,ii
55,2.4362557432432435,66,5,ii
23,2.6162481981981984,67,1,ii
381,2.585,67,2,ii
529,2.570141891891892,67,3,ii
66,2.5389905405405404,67,4,ii
2,2.4939046546546546,67,5,ii
529,3.1533333333333338,72,1,ii
2,3.090333333333333,72,2,ii
214,2.942553105728527,72,3,ii
28,2.8841428571428573,72,4,ii
42,2.8577777777777778,72,5,ii
23,2.9887589313631566,75,1,ii
66,2.9653968253968257,75,2,ii
47,2.8874999999999997,75,3,ii
2,2.810333333333333,75,4,ii
86,2.787111111111111,75,5,ii
23,2.736235632183908,77,1,ii
529,2.589889975029377,77,2,ii
66,2.5692857142857144,77,3,ii
214,2.5645689655172412,77,4,ii
24,2.517068965517241,77,5,ii
28,2.8151428571428574,80,1,ii
343,2.8000000000000003,80,2,ii
23,2.714166666666667,80,3,ii
18,2.6897453336938955,80,4,ii
290,2.6830000000000003,80,5,ii
23,2.9887589313631566,92,1,ii
66,2.9653968253968257,92,2,ii
47,2.8874999999999997,92,3,ii
18,2.79,92,4,ii
86,2.787111111111111,92,5,ii
343,2.7950000000000004,94,1,ii
23,2.7940912982810895,94,2,ii
47,2.7925,94,3,ii
207,2.7775000000000003,94,4,ii
125,2.5416349992949456,94,5,ii
2,2.810333333333333,98,1,ii
23,2.6733574832920737,98,2,ii
214,2.6684044889689096,98,3,ii
125,2.638735632183908,98,4,ii
42,2.609846743295019,98,5,ii
2,2.530333333333333,116,1,ii
23,2.5137342720049243,116,2,ii
529,2.4676279656986178,116,3,ii
66,2.4364766143472663,116,4,ii
214,2.4295,116,5,ii
2,3.2088151870302286,118,1,ii
28,3.0338095238095244,118,2,ii
55,2.8818571428571427,118,3,ii
169,2.8366666666666673,118,4,ii
58,2.836264525625709,118,5,ii
2,2.6166666666666663,119,1,ii
23,2.5459528153153155,119,2,ii
529,2.499846509009009,119,3,ii
66,2.4686951576576575,119,4,ii
290,2.453,119,5,ii
42,2.6750600713623593,121,1,ii
23,2.6462356321839082,121,2,ii
18,2.5875000000000004,121,3,ii
529,2.5040111084298586,121,4,ii
2,2.490333333333333,121,5,ii
23,2.537542792792793,123,1,ii
529,2.4914364864864864,123,2,ii
66,2.460285135135135,123,3,ii
2,2.415199249249249,123,4,ii
55,2.382591891891892,123,5,ii
2,2.620333333333333,137,1,ii
214,2.5195,137,2,ii
28,2.4666750798229833,137,3,ii
23,2.430095075261597,137,4,ii
529,2.3839887689552905,137,5,ii
2,2.910333333333333,138,1,ii
23,2.8481666666666663,138,2,ii
214,2.8095,138,3,ii
28,2.704142857142857,138,4,ii
66,2.6892857142857145,138,5,ii
23,3.9562356321839083,3,1,socntxt
125,3.758735632183907,3,2,socntxt
24,3.737068965517241,3,3,socntxt
214,3.7337710927578827,3,4,socntxt
42,3.7298467432950186,3,5,socntxt
763,3.3700000000000006,14,1,socntxt
29,3.1275,14,2,socntxt
23,2.7757567049808425,14,3,socntxt
214,2.7645689655172405,14,4,socntxt
529,2.7466666666666666,14,5,socntxt
23,3.6062356321839073,16,1,socntxt
55,3.4454285714285704,16,2,socntxt
214,3.434568965517241,16,3,socntxt
125,3.408735632183908,16,4,socntxt
24,3.3517487684729055,16,5,socntxt
23,3.61,18,1,socntxt
290,3.3261111111111115,18,2,socntxt
58,3.2364005396182445,18,3,socntxt
81,3.1711111111111117,18,4,socntxt
456,3.1671111111111117,18,5,socntxt
23,2.8102011494252874,42,1,socntxt
214,2.6945689655172416,42,2,socntxt
125,2.6687356321839077,42,3,socntxt
55,2.6354285714285712,42,4,socntxt
24,2.5663528038598,42,5,socntxt
2,3.4203333333333323,44,1,socntxt
28,3.2141428571428565,44,2,socntxt
383,3.1319999999999997,44,3,socntxt
9,3.033666666666667,44,4,socntxt
80,2.9716983480764334,44,5,socntxt
24,3.4599999999999986,47,1,socntxt
529,3.336666666666667,47,2,socntxt
214,3.0225,47,3,socntxt
42,2.967777777777777,47,4,socntxt
23,2.936235632183908,47,5,socntxt
24,3.288333333333333,63,1,socntxt
218,3.0792857142857146,63,2,socntxt
53,3.0075000000000003,63,3,socntxt
217,2.9835714285714285,63,4,socntxt
55,2.8179999999999996,63,5,socntxt
23,3.0052777777777777,64,1,socntxt
66,2.975396825396826,64,2,socntxt
447,2.8068571428571434,64,3,socntxt
129,2.717142857142856,64,4,socntxt
24,2.695,64,5,socntxt
23,2.5912066441441444,66,1,socntxt
529,2.545100337837838,66,2,socntxt
66,2.5139489864864863,66,3,socntxt
2,2.4688631006006005,66,4,socntxt
55,2.4362557432432435,66,5,socntxt
381,2.825,67,1,socntxt
529,2.7322222222222226,67,2,socntxt
23,2.6162481981981984,67,3,socntxt
2,2.4939046546546546,67,4,socntxt
447,2.4469905405405403,67,5,socntxt
529,3.6533333333333338,72,1,socntxt
2,3.590333333333333,72,2,socntxt
214,3.442553105728527,72,3,socntxt
28,3.3841428571428573,72,4,socntxt
42,3.3577777777777778,72,5,socntxt
23,3.613962799014912,75,1,socntxt
529,3.536,75,2,socntxt
66,3.4653968253968257,75,3,socntxt
47,3.3874999999999993,75,4,socntxt
86,3.287111111111111,75,5,socntxt
23,3.4962356321839083,77,1,socntxt
24,3.2770689655172407,77,2,socntxt
305,3.078735632183908,77,3,socntxt
475,3.018735632183908,77,4,socntxt
235,2.997068965517241,77,5,socntxt
28,3.015142857142857,80,1,socntxt
343,3.0,80,2,socntxt
23,2.914166666666667,80,3,socntxt
18,2.8897453336938956,80,4,socntxt
290,2.883,80,5,socntxt
23,3.4887589313631566,92,1,socntxt
66,3.4653968253968257,92,2,socntxt
47,3.3874999999999993,92,3,socntxt
18,3.29,92,4,socntxt
86,3.287111111111111,92,5,socntxt
343,3.295,94,1,socntxt
23,3.2940912982810895,94,2,socntxt
47,3.2924999999999995,94,3,socntxt
207,3.2775000000000003,94,4,socntxt
125,3.041634999294945,94,5,socntxt
2,3.0503333333333327,98,1,socntxt
23,2.9133574832920734,98,2,socntxt
214,2.90840448896891,98,3,socntxt
125,2.8787356321839077,98,4,socntxt
42,2.8498467432950183,98,5,socntxt
2,3.030333333333333,116,1,socntxt
214,2.9295,116,2,socntxt
28,2.8241428571428573,116,3,socntxt
80,2.7719999999999994,116,4,socntxt
26,2.7444999999999995,116,5,socntxt
2,3.408815187030229,118,1,socntxt
55,3.081857142857143,118,2,socntxt
169,3.036666666666667,118,3,socntxt
58,3.0362645256257093,118,4,socntxt
9,3.0054391326697836,118,5,socntxt
290,2.953,119,1,socntxt
2,2.856666666666666,119,2,socntxt
28,2.833809523809524,119,3,socntxt
456,2.794,119,4,socntxt
58,2.718809523809524,119,5,socntxt
2,3.1999999999999993,121,1,socntxt
42,3.1750600713623593,121,2,socntxt
23,3.151451149425287,121,3,socntxt
18,3.0875000000000004,121,4,socntxt
343,3.085511135503931,121,5,socntxt
55,2.6054285714285705,123,1,socntxt
23,2.535277777777778,123,2,socntxt
172,2.509339038799146,123,3,socntxt
66,2.5053968253968257,123,4,socntxt
529,2.4914364864864864,123,5,socntxt
2,3.1203333333333325,137,1,socntxt
214,3.0194999999999994,137,2,socntxt
28,2.966675079822983,137,3,socntxt
80,2.8619999999999997,137,4,socntxt
26,2.8344999999999994,137,5,socntxt
2,3.710333333333333,138,1,socntxt
23,3.648166666666666,138,2,socntxt
214,3.6094999999999997,138,3,socntxt
28,3.504142857142857,138,4,socntxt
66,3.4892857142857148,138,5,socntxt
23,3.0013373873873874,2,1,ii
529,2.955231081081081,2,2,ii
66,2.9240797297297294,2,3,ii
2,2.8789938438438436,2,4,ii
55,2.8463864864864865,2,5,ii
23,2.586529954954955,8,1,ii
447,2.5568571428571434,8,2,ii
86,2.542989129993113,8,3,ii
529,2.5404236486486487,8,4,ii
66,2.509272297297297,8,5,ii
23,2.537067454954955,10,1,ii
529,2.4909611486486485,10,2,ii
66,2.459809797297297,10,3,ii
2,2.414723911411411,10,4,ii
55,2.382116554054054,10,5,ii
23,3.056235632183908,12,1,ii
125,2.8587356321839077,12,2,ii
42,2.8298467432950187,12,3,ii
214,2.8165275909328833,12,4,ii
207,2.806270851655401,12,5,ii
42,2.7134920634920636,20,1,ii
23,2.64,20,2,ii
529,2.5818986486486484,20,3,ii
66,2.5507472972972973,20,4,ii
2,2.5056614114114115,20,5,ii
23,2.9791666666666665,30,1,ii
529,2.7760000000000007,30,2,ii
66,2.6475878710319884,30,3,ii
2,2.6025019851461026,30,4,ii
447,2.5555878710319884,30,5,ii
23,2.591624211711712,33,1,ii
529,2.5455179054054056,33,2,ii
381,2.525,33,3,ii
66,2.514366554054054,33,4,ii
2,2.500333333333333,33,5,ii
23,3.136235632183908,34,1,ii
214,2.964568965517241,34,2,ii
125,2.9387356321839078,34,3,ii
24,2.917068965517241,34,4,ii
42,2.909846743295019,34,5,ii
24,2.556428571428571,38,1,ii
23,2.4863125125125127,38,2,ii
529,2.440206206206206,38,3,ii
66,2.4090548548548547,38,4,ii
2,2.363968968968969,38,5,ii
2,3.0866666666666664,41,1,ii
55,3.067333333333333,41,2,ii
125,2.96,41,3,ii
28,2.8151428571428574,41,4,ii
343,2.8000000000000003,41,5,ii
23,2.506235632183908,46,1,ii
529,2.445204391891892,46,2,ii
66,2.4140530405405407,46,3,ii
2,2.368967154654655,46,4,ii
214,2.3345689655172412,46,5,ii
23,2.700192454954955,48,1,ii
529,2.6540861486486484,48,2,ii
66,2.622934797297297,48,3,ii
2,2.577848911411411,48,4,ii
55,2.545241554054054,48,5,ii
23,2.756235632183908,52,1,ii
529,2.6597111486486487,52,2,ii
66,2.6492857142857145,52,3,ii
2,2.621190476190476,52,4,ii
125,2.6037642311763687,52,5,ii
529,2.706000000000001,73,1,ii
86,2.691,73,2,ii
23,2.5975958333333335,73,3,ii
381,2.585,73,4,ii
18,2.535,73,5,ii
23,2.5394167792792794,82,1,ii
18,2.52,82,2,ii
24,2.5049999999999994,82,3,ii
529,2.493310472972973,82,4,ii
66,2.4621591216216214,82,5,ii
55,3.9018571428571427,84,1,ii
