user,item,rating
12,216,3.05
21,283,1.42
23,329,1.79
25,336,1.63
32,369,1.95
33,302,1.99
35,911,1.91
39,425,2.41
41,19,2.23
42,46,2.54
43,142,2.48
50,569,1.45
51,140,1.79
62,948,0.94
67,604,2.28
84,987,1.88
90,1050,2.19
94,22,2.2
95,1009,1.98
103,1029,2.17
105,1032,1.68
107,759,2.02
112,693,1.96
122,771,2.44
125,447,2.37
134,1057,2.58
8,83,2.36
9,883,1.68
11,9,2.18
14,939,1.53
16,290,2.12
24,209,1.8
27,18,2.2
30,22,2.36
46,388,2.89
48,922,2.19
49,497,2.54
52,508,2.37
56,938,2.02
57,529,2.32
73,58,1.9
74,436,2.0
88,998,2.49
97,1031,1.65
98,1020,2.77
111,693,1.93
116,60,2.03
117,454,2.25
118,480,1.72
121,763,1.66
123,1030,1.93
138,1071,1.8
2,356,1.74
3,43,1.53
10,884,1.63
13,180,2.22
13,1015,1.8
22,899,1.97
26,9,2.8
29,346,2.05
34,351,1.56
59,76,1.45
61,946,3.04
66,547,2.11
70,643,2.19
71,964,1.72
72,578,2.55
75,172,2.22
85,993,2.28
86,24,2.39
87,997,1.44
89,268,2.33
99,782,2.27
106,1047,2.44
109,82,1.57
119,1033,1.66
128,1053,1.83
137,835,2.05
1,933,1.69
1,126,2.44
4,172,2.17
7,22,2.05
18,892,1.6
20,453,1.39
28,18,2.54
36,24,2.12
37,133,1.92
37,195,1.81
38,275,2.18
40,918,2.56
55,330,2.15
68,960,2.14
76,290,2.15
77,290,2.09
80,198,2.22
83,982,2.01
91,1003,2.57
92,456,2.14
93,47,2.69
100,172,1.95
101,1026,1.91
124,830,1.95
129,197,1.9
131,8,1.65
136,1062,1.8
5,896,2.47
19,175,2.44
31,8,1.95
44,276,2.14
45,8,1.08
47,47,2.11
53,930,1.98
60,71,1.93
63,570,1.82
64,276,1.72
69,1014,1.86
78,668,1.49
79,976,2.35
81,22,1.5
82,278,1.38
102,267,2.42
108,329,1.75
110,319,2.42
113,1040,1.99
115,123,2.49
120,757,2.26
126,5,1.79
133,53,2.38
135,1060,2.76
