item,score,user,rank,Algorithm
158,3.74,24,1,domex
214,3.7325,24,2,domex
529,3.6200000000000006,24,3,domex
811,3.415,24,4,domex
540,3.326666666666667,24,5,domex
55,3.3228622567736146,24,6,domex
42,3.3162577724962246,24,7,domex
10,3.3100000000000005,24,8,domex
6,3.2894444444444444,24,9,domex
128,3.256666666666667,24,10,domex
274,3.231,24,11,domex
125,3.23,24,12,domex
51,3.2262500000000003,24,13,domex
110,3.172542486583184,24,14,domex
23,3.1400452933714247,24,15,domex
566,3.122,24,16,domex
126,3.0634423076923074,24,17,domex
197,3.0140000000000002,24,18,domex
9,3.0086666666666666,24,19,domex
24,2.9977327577262796,24,20,domex
343,2.9683194989270785,24,21,domex
290,2.9650000000000003,24,22,domex
462,2.965,24,23,domex
810,2.9557253266411396,24,24,domex
47,2.9098099495724683,24,25,domex
742,2.8823727241281243,24,26,domex
293,2.8299999999999996,24,27,domex
67,2.825333333333333,24,28,domex
292,2.8099172870140605,24,29,domex
119,2.801375831588366,24,30,domex
217,2.8004318686329928,24,31,domex
347,2.792,24,32,domex
291,2.786583953680727,24,33,domex
400,2.774999999999999,24,34,domex
281,2.7699999999999996,24,35,domex
172,2.7578793751468167,24,36,domex
18,2.7454305641745482,24,37,domex
175,2.7342091532498505,24,38,domex
443,2.7231045145330857,24,39,domex
207,2.7175,24,40,domex
22,2.7131283108128,24,41,domex
58,2.7049519230769237,24,42,domex
29,2.7025,24,43,domex
82,2.6733333333333325,24,44,domex
401,2.6516666666666673,24,45,domex
19,2.6249999999999996,24,46,domex
209,2.6233333333333335,24,47,domex
704,2.617586721437941,24,48,domex
168,2.6075,24,49,domex
550,2.5999999999999996,24,50,domex
53,2.5624984539270255,24,51,domex
198,2.5449999999999995,24,52,domex
66,2.5394724226006193,24,53,domex
444,2.5312596899224804,24,54,domex
456,2.5157711811997525,24,55,domex
33,2.506527159442725,24,56,domex
2,2.494439440144479,24,57,domex
528,2.494027159442725,24,58,domex
262,2.4736350625708434,24,59,domex
656,2.4690271594427244,24,60,domex
136,2.448175580495356,24,61,domex
447,2.4474724226006193,24,62,domex
296,2.4459411945304437,24,63,domex
216,2.444027159442725,24,64,domex
523,2.4432506203473947,24,65,domex
50,2.442500000000001,24,66,domex
329,2.4415490497541934,24,67,domex
599,2.4415271594427246,24,68,domex
139,2.440175580495356,24,69,domex
59,2.436175580495356,24,70,domex
122,2.4276078611971106,24,71,domex
35,2.426527159442725,24,72,domex
280,2.4258333333333333,24,73,domex
553,2.4215271594427246,24,74,domex
762,2.4190271594427246,24,75,domex
249,2.409027159442725,24,76,domex
724,2.408175580495356,24,77,domex
485,2.4061755804953564,24,78,domex
268,2.4057737759840783,24,79,domex
37,2.404027159442725,24,80,domex
552,2.404027159442725,24,81,domex
760,2.404027159442725,24,82,domex
362,2.4021755804953564,24,83,domex
129,2.397607861197111,24,84,domex
613,2.3940271594427247,24,85,domex
455,2.3901755804953564,24,86,domex
31,2.389771181199752,24,87,domex
446,2.389027159442725,24,88,domex
86,2.3881482120743036,24,89,domex
360,2.3740271594427247,24,90,domex
405,2.3715271594427247,24,91,domex
408,2.3715271594427247,24,92,domex
675,2.3715271594427247,24,93,domex
600,2.366527159442725,24,94,domex
38,2.364027159442725,24,95,domex
465,2.364027159442725,24,96,domex
653,2.3621755804953564,24,97,domex
473,2.3615271594427245,24,98,domex
740,2.3615271594427245,24,99,domex
381,2.360175580495356,24,100,domex
42,3.2716666666666674,39,1,domex
23,3.1981818181818182,39,2,domex
218,3.036666666666667,39,3,domex
22,3.0207407407407407,39,4,domex
119,3.0146666666666673,39,5,domex
53,2.98939393939394,39,6,domex
543,2.895,39,7,domex
71,2.865,39,8,domex
401,2.8539393939393936,39,9,domex
58,2.794965034965035,39,10,domex
444,2.729166666666667,39,11,domex
175,2.7139393939393934,39,12,domex
400,2.7022727272727267,39,13,domex
266,2.6578498781266244,39,14,domex
50,2.637272727272727,39,15,domex
763,2.617272727272727,39,16,domex
158,2.5700000000000003,39,17,domex
265,2.5516666666666667,39,18,domex
51,2.5235227272727268,39,19,domex
449,2.3899999999999997,39,20,domex
39,2.38,39,21,domex
31,2.3760163432073544,39,22,domex
197,2.3112727272727267,39,23,domex
529,2.3090959899749373,39,24,domex
217,2.285176990745135,39,25,domex
66,2.277627218045113,39,26,domex
834,2.2622727272727268,39,27,domex
33,2.2446819548872186,39,28,domex
2,2.2325942355889725,39,29,domex
528,2.2321819548872184,39,30,domex
460,2.215,39,31,domex
656,2.207181954887218,39,32,domex
110,2.1982142857142857,39,33,domex
136,2.18633037593985,39,34,domex
447,2.185627218045113,39,35,domex
296,2.1840959899749373,39,36,domex
216,2.1821819548872186,39,37,domex
599,2.179681954887218,39,38,domex
24,2.1793928320802007,39,39,domex
139,2.17833037593985,39,40,domex
59,2.17433037593985,39,41,domex
55,2.1710714285714285,39,42,domex
122,2.165762656641604,39,43,domex
35,2.1646819548872185,39,44,domex
553,2.159681954887218,39,45,domex
762,2.157181954887218,39,46,domex
249,2.1471819548872184,39,47,domex
724,2.1463303759398498,39,48,domex
485,2.14433037593985,39,49,domex
268,2.143928571428572,39,50,domex
37,2.1421819548872185,39,51,domex
552,2.1421819548872185,39,52,domex
760,2.1421819548872185,39,53,domex
362,2.14033037593985,39,54,domex
129,2.1357626566416044,39,55,domex
613,2.1321819548872183,39,56,domex
455,2.12833037593985,39,57,domex
214,2.128214285714286,39,58,domex
446,2.1271819548872184,39,59,domex
86,2.126303007518797,39,60,domex
47,2.119926930963773,39,61,domex
360,2.1121819548872183,39,62,domex
405,2.1096819548872183,39,63,domex
408,2.1096819548872183,39,64,domex
675,2.1096819548872183,39,65,domex
125,2.108803007518797,39,66,domex
600,2.1046819548872184,39,67,domex
38,2.1021819548872185,39,68,domex
465,2.1021819548872185,39,69,domex
653,2.10033037593985,39,70,domex
473,2.099681954887218,39,71,domex
740,2.099681954887218,39,72,domex
381,2.0983303759398497,39,73,domex
138,2.094681954887218,39,74,domex
551,2.0921819548872183,39,75,domex
556,2.0921819548872183,39,76,domex
554,2.0896819548872183,39,77,domex
382,2.08833037593985,39,78,domex
611,2.0846819548872184,39,79,domex
722,2.0823303759398497,39,80,domex
445,2.082181954887218,39,81,domex
474,2.082181954887218,39,82,domex
635,2.082181954887218,39,83,domex
245,2.077181954887218,39,84,domex
40,2.074681954887218,39,85,domex
18,2.0732756390977443,39,86,domex
247,2.0721819548872182,39,87,domex
651,2.0721819548872182,39,88,domex
773,2.0721819548872182,39,89,domex
638,2.0703303759398497,39,90,domex
320,2.0696819548872183,39,91,domex
607,2.0696819548872183,39,92,domex
28,2.068149791144528,39,93,domex
153,2.0671819548872183,39,94,domex
609,2.0671819548872183,39,95,domex
825,2.0671819548872183,39,96,domex
756,2.0663303759398497,39,97,domex
123,2.065762656641604,39,98,domex
207,2.065357142857143,39,99,domex
52,2.0646819548872184,39,100,domex
136,3.5250000000000004,42,1,domex
139,3.5000000000000004,42,2,domex
396,3.3800000000000003,42,3,domex
59,3.175,42,4,domex
529,2.9550000000000005,42,5,domex
137,2.945,42,6,domex
23,2.8757536676286675,42,7,domex
158,2.842232142857143,42,8,domex
214,2.6303030946257118,42,9,domex
55,2.6125,42,10,domex
126,2.5739229734147586,42,11,domex
28,2.564666666666666,42,12,domex
24,2.5609259259259254,42,13,domex
305,2.5464122531776745,42,14,domex
125,2.543925925925926,42,15,domex
53,2.542727272727273,42,16,domex
739,2.5349999999999997,42,17,domex
455,2.5305555555555554,42,18,domex
39,2.5300000000000002,42,19,domex
172,2.5200293339853594,42,20,domex
18,2.518,42,21,domex
274,2.5,42,22,domex
811,2.4649999999999994,42,23,domex
2,2.4638888888888886,42,24,domex
22,2.45195140933972,42,25,domex
80,2.450925925925926,42,26,domex
31,2.41,42,27,domex
290,2.4059636839908274,42,28,domex
540,2.3766666666666665,42,29,domex
460,2.3737731481481483,42,30,domex
58,2.3736182336182337,42,31,domex
66,2.362972817840055,42,32,domex
10,2.36,42,33,domex
33,2.3300275546821605,42,34,domex
742,2.33,42,35,domex
528,2.3175275546821603,42,36,domex
