user,item,rating
24,42,2.51
39,167,2.04
42,28,2.6
44,22,2.09
56,477,1.78
61,71,2.18
64,267,1.63
68,199,2.3
73,55,2.57
74,98,1.94
75,97,1.94
81,113,1.15
82,117,1.63
83,120,1.3
89,130,2.27
98,173,1.42
107,687,1.73
112,51,1.71
125,480,2.03
130,587,1.92
133,283,1.42
136,314,2.24
138,296,1.85
141,303,1.49
145,180,1.93
159,217,2.25
168,369,2.1
172,6,2.09
174,373,1.31
178,406,1.11
198,76,2.15
206,545,2.41
212,58,2.43
218,140,2.87
236,559,1.28
237,565,2.48
246,602,1.91
250,22,2.31
254,644,2.54
262,123,2.78
263,215,2.25
266,679,2.64
274,483,1.11
285,129,2.6
287,725,2.79
291,53,2.37
293,23,2.67
296,125,2.63
300,6,2.22
314,195,1.5
317,67,2.32
320,769,2.06
322,795,1.64
326,805,1.99
345,857,1.15
11,171,2.33
29,548,1.82
31,7,2.36
35,25,1.69
41,475,2.12
47,30,2.23
48,5,2.35
49,33,3.43
49,37,3.02
50,266,1.98
54,46,2.04
55,22,2.21
55,180,1.64
59,62,1.98
59,60,2.14
60,28,2.56
78,156,1.59
80,648,1.84
88,67,1.85
88,123,2.17
92,144,2.65
93,191,2.14
94,186,2.12
108,26,2.51
117,66,2.43
127,560,2.33
132,9,2.33
158,456,1.8
160,295,2.0
161,341,1.73
163,23,2.63
165,346,2.05
170,357,2.03
181,385,2.2
190,419,1.73
217,472,2.13
221,503,1.99
232,600,2.87
234,606,2.06
241,582,1.74
255,624,2.04
258,636,2.47
271,51,2.43
272,46,1.8
276,700,1.21
277,701,2.43
278,705,1.44
282,53,2.18
288,728,2.02
289,379,2.07
292,47,2.54
297,742,2.22
303,745,2.25
305,334,2.03
307,67,2.24
312,453,2.43
313,453,1.94
319,800,1.77
336,60,1.94
344,775,2.5
356,847,2.48
8,127,2.07
9,195,1.44
19,95,1.92
28,2,2.54
32,18,2.2
52,43,2.1
53,47,2.18
57,125,2.32
57,56,1.97
58,78,2.5
67,261,1.37
72,81,2.18
77,101,2.04
99,159,1.91
104,129,2.44
110,208,1.49
114,225,1.8
128,125,2.93
131,569,2.12
146,320,2.73
152,90,1.99
164,345,2.13
173,58,1.73
177,8,1.87
183,214,2.23
189,417,1.5
191,424,1.69
201,175,2.26
205,6,1.82
208,452,1.43
216,465,2.86
225,513,2.42
226,820,2.23
227,517,2.12
238,86,2.56
245,601,1.7
249,614,2.54
256,624,2.06
259,649,1.99
265,671,1.79
279,110,2.55
283,713,1.37
284,720,0.94
286,722,2.55
290,736,1.8
308,8,1.26
316,767,1.47
325,874,2.31
327,808,2.12
328,540,1.75
329,491,1.66
334,456,2.3
338,768,2.2
340,292,1.99
347,824,2.43
352,844,2.52
359,867,1.8
360,876,1.94
2,219,2.66
14,657,2.02
15,218,2.32
17,53,1.97
20,24,2.54
26,195,1.58
26,275,1.63
30,11,1.9
33,457,2.08
43,46,2.46
45,330,1.66
62,73,1.66
70,79,1.62
71,84,1.84
79,107,1.9
85,223,1.88
95,151,2.56
105,61,2.6
113,231,2.04
121,66,2.14
122,241,2.16
122,246,1.66
122,243,1.93
129,279,1.81
135,306,2.03
140,126,2.48
144,652,2.0
157,209,2.04
171,364,2.34
171,363,2.56
180,378,1.51
182,385,2.11
188,418,1.65
193,39,2.23
194,828,1.41
197,434,2.2
219,492,2.32
220,497,2.38
223,684,1.96
228,522,1.99
233,534,2.33
239,575,2.24
242,46,2.22
248,611,2.79
252,621,2.26
257,8,2.18
261,815,2.68
267,586,1.89
281,707,1.53
306,58,2.07
309,172,2.32
310,760,3.02
311,813,2.24
315,47,2.13
332,123,2.42
333,837,2.03
341,771,1.97
343,778,2.31
348,811,2.03
349,811,2.26
350,810,2.0
363,29,1.73
34,172,2.18
34,400,2.11
37,22,1.76
38,438,1.58
40,49,1.15
63,195,1.26
69,305,2.44
76,254,1.65
84,131,2.12
87,13,1.41
90,461,2.22
97,158,2.25
102,183,1.94
109,82,1.93
111,210,2.6
116,259,1.52
123,46,1.47
134,288,1.86
139,299,2.12
150,325,1.24
151,396,2.52
156,784,1.81
162,338,1.73
166,350,1.83
167,353,1.93
169,464,2.39
184,401,1.98
186,401,2.42
192,425,2.26
196,430,1.88
200,829,2.07
207,449,1.86
222,505,2.61
224,508,2.62
229,526,2.09
235,552,3.02
240,580,2.34
243,590,2.64
244,596,1.71
247,603,2.6
253,641,2.28
260,791,2.51
264,668,1.05
270,690,1.97
273,691,1.23
275,26,2.56
280,71,1.74
318,67,2.06
335,524,1.83
339,292,2.02
342,172,1.89
346,693,1.3
353,842,2.07
357,852,2.01
358,870,1.8
361,878,1.8
362,880,2.1
