user,item,rating
9,18,1.9
11,170,2.28
17,53,1.97
32,18,2.2
37,195,1.5
41,18,2.38
45,18,2.18
49,40,2.75
49,35,3.11
52,28,2.51
53,44,2.11
54,6,1.96
57,56,1.97
57,58,1.9
60,28,2.56
62,73,1.66
64,175,2.08
74,98,1.94
75,105,1.8
78,156,1.59
79,106,2.49
80,647,1.96
81,112,1.87
90,329,1.97
97,158,2.25
102,184,1.59
105,196,2.34
117,195,1.84
123,238,1.86
146,5,1.15
152,67,2.03
160,295,2.0
162,339,2.08
163,195,1.44
169,463,2.08
172,6,2.09
173,58,1.73
174,369,2.18
180,378,1.51
189,414,2.03
190,419,1.73
194,828,1.41
207,451,1.46
208,86,2.11
222,506,1.58
227,517,2.12
235,552,3.02
241,585,1.94
249,613,2.98
254,94,2.27
276,700,1.21
278,705,1.44
300,754,2.02
315,765,2.08
320,763,2.56
322,798,1.49
347,824,2.43
348,180,2.1
8,127,2.07
14,658,1.72
24,402,2.1
43,46,2.46
47,31,2.17
48,158,2.26
56,478,2.08
59,642,1.47
59,63,2.3
73,91,1.56
99,549,2.04
104,180,2.45
109,216,3.18
110,211,2.3
144,651,2.74
150,325,1.24
158,529,2.82
171,359,2.45
171,360,2.9
178,407,1.46
188,412,1.8
191,427,2.38
196,430,1.88
198,260,1.95
206,546,2.17
212,450,2.33
218,140,2.87
219,462,1.64
220,496,2.35
229,525,1.6
240,577,2.22
244,594,2.25
246,603,2.38
250,388,2.22
253,94,2.13
259,262,1.84
261,817,2.08
263,661,1.93
264,667,1.9
275,26,2.56
277,22,2.64
279,456,2.16
281,711,2.71
285,180,2.5
287,725,2.79
288,726,2.01
289,379,2.07
290,735,1.82
297,10,2.33
307,751,2.11
312,596,1.84
313,705,2.0
336,526,1.97
338,766,2.3
345,858,2.34
352,217,2.8
353,841,1.6
358,868,1.8
363,227,1.51
2,226,2.33
20,47,2.5
29,42,2.02
31,8,1.2
33,6,2.38
38,440,2.04
40,51,2.49
68,199,2.3
70,149,1.93
71,82,1.58
76,255,1.6
77,101,2.04
83,148,1.58
84,135,2.68
85,227,2.7
89,491,1.8
98,173,1.42
111,197,2.12
114,224,1.8
122,244,1.86
122,246,1.66
122,248,2.13
130,589,1.92
136,315,1.99
138,317,2.31
145,462,1.75
177,391,1.97
181,383,2.3
182,386,2.08
197,435,2.12
201,570,1.95
205,6,1.82
228,170,2.05
232,599,3.17
243,592,1.72
252,618,1.66
256,561,2.71
260,791,2.51
270,390,2.53
283,712,1.7
284,717,2.36
309,227,1.19
310,762,3.08
314,119,2.47
317,329,1.87
318,329,1.58
319,799,1.43
326,804,1.65
328,806,1.28
329,180,1.92
332,122,2.55
334,769,2.45
335,526,2.23
340,292,1.99
342,203,1.8
343,778,2.31
349,214,2.41
15,444,1.6
26,277,1.32
26,276,1.44
30,15,1.78
35,23,1.92
42,42,2.47
50,263,1.47
58,78,2.5
63,205,2.47
67,262,1.77
69,22,2.29
72,81,2.18
87,322,2.44
92,142,2.23
93,190,2.01
94,185,2.13
107,202,1.6
113,126,2.03
116,203,1.81
121,235,2.25
127,454,2.2
128,125,2.93
129,53,2.33
134,288,1.86
135,307,2.07
139,296,2.53
140,29,2.24
141,303,1.49
151,395,1.61
159,172,1.89
167,353,1.93
168,369,2.1
170,31,1.56
216,469,1.9
217,474,2.78
223,681,2.48
224,80,2.33
225,509,2.65
226,823,1.41
234,537,2.14
237,566,2.7
239,575,2.24
242,265,1.44
247,603,2.6
255,624,2.04
267,674,2.3
286,722,2.55
296,125,2.63
303,746,2.23
305,334,2.03
311,812,1.81
316,767,1.47
327,117,2.32
344,137,1.95
346,806,2.66
350,810,2.0
357,854,2.06
359,865,1.8
362,834,1.64
19,94,2.01
28,1,0.98
34,18,2.26
34,22,2.35
39,164,2.16
44,172,2.43
55,178,1.9
55,181,1.98
61,68,1.74
82,70,1.41
88,67,1.85
88,125,1.67
95,152,1.98
108,58,2.3
112,31,1.27
125,29,1.55
131,175,2.33
132,281,2.21
133,283,1.42
156,783,2.23
157,42,3.07
161,336,1.99
164,326,1.89
165,344,1.77
166,351,1.39
183,383,2.25
184,53,1.86
186,541,2.29
192,425,2.26
193,39,2.23
200,830,1.34
221,503,1.99
233,532,2.24
236,559,1.28
238,573,1.16
245,604,2.07
248,611,2.79
257,8,2.18
258,635,2.78
262,654,2.29
265,133,2.21
266,679,2.64
271,51,2.43
272,402,0.12
273,691,1.23
274,483,1.11
280,708,2.2
282,53,2.18
291,393,1.92
292,23,2.8
293,329,1.59
306,752,2.39
308,42,2.23
325,874,2.31
333,837,2.03
339,756,2.6
341,771,1.97
356,848,1.6
360,201,2.42
361,878,1.8
