item,score,user,rank,Algorithm
110,2.5926923076923076,9,1,ii
23,2.5816923076923084,9,2,ii
55,2.5516923076923073,9,3,ii
42,2.4056923076923082,9,4,ii
529,2.3532303245385235,9,5,ii
66,2.3222317290329055,9,6,ii
33,2.288228568920546,9,7,ii
2,2.277120383839397,9,8,ii
528,2.2757285689205458,9,9,ii
447,2.258231202347512,9,10,ii
656,2.250728568920546,9,11,ii
24,2.243061868674909,9,12,ii
136,2.2302296222913323,9,13,ii
216,2.225728568920546,9,14,ii
599,2.223228568920546,9,15,ii
129,2.2225165404293743,9,16,ii
139,2.2222296222913323,9,17,ii
59,2.2182296222913322,9,18,ii
122,2.20989699120519,9,19,ii
35,2.208228568920546,9,20,ii
553,2.203228568920546,9,21,ii
762,2.200728568920546,9,22,ii
125,2.192675939394953,9,23,ii
249,2.190728568920546,9,24,ii
724,2.1902296222913322,9,25,ii
268,2.18823082614366,9,26,ii
123,2.1882308261436596,9,27,ii
485,2.1882296222913324,9,28,ii
37,2.185728568920546,9,29,ii
552,2.185728568920546,9,30,ii
760,2.185728568920546,9,31,ii
362,2.1842296222913324,9,32,ii
158,2.1768022547150885,9,33,ii
725,2.1762296222913324,9,34,ii
613,2.175728568920546,9,35,ii
810,2.1726923076923077,9,36,ii
214,2.172516540429374,9,37,ii
455,2.1722296222913324,9,38,ii
86,2.170731202347512,9,39,ii
446,2.1707285689205458,9,40,ii
296,2.1568022547150885,9,41,ii
360,2.1557285689205457,9,42,ii
175,2.154358974358974,9,43,ii
405,2.153228568920546,9,44,ii
408,2.153228568920546,9,45,ii
675,2.153228568920546,9,46,ii
28,2.1492317290329055,9,47,ii
600,2.148228568920546,9,48,ii
38,2.145728568920546,9,49,ii
465,2.145728568920546,9,50,ii
653,2.1442296222913324,9,51,ii
473,2.143228568920546,9,52,ii
740,2.143228568920546,9,53,ii
381,2.1422296222913326,9,54,ii
138,2.138228568920546,9,55,ii
556,2.135728568920546,9,56,ii
554,2.1332285689205457,9,57,ii
382,2.1322296222913324,9,58,ii
611,2.128228568920546,9,59,ii
722,2.126229622291332,9,60,ii
445,2.125728568920546,9,61,ii
474,2.125728568920546,9,62,ii
635,2.125728568920546,9,63,ii
245,2.120728568920546,9,64,ii
40,2.118228568920546,9,65,ii
58,2.1163575190609953,9,66,ii
247,2.115728568920546,9,67,ii
651,2.115728568920546,9,68,ii
773,2.115728568920546,9,69,ii
140,2.1142296222913326,9,70,ii
638,2.114229622291332,9,71,ii
320,2.113228568920546,9,72,ii
607,2.113228568920546,9,73,ii
153,2.1107285689205457,9,74,ii
609,2.1107285689205457,9,75,ii
825,2.1107285689205457,9,76,ii
756,2.1102296222913326,9,77,ii
207,2.1096593975722313,9,78,ii
52,2.1082285689205458,9,79,ii
711,2.1082285689205458,9,80,ii
603,2.1015636578718566,9,81,ii
