item,score,user,rank,Algorithm
139,3.52,2,1,ii
485,3.007857142857143,2,2,ii
55,2.8818571428571427,2,3,ii
125,2.7745238095238096,2,4,ii
170,2.765,2,5,ii
24,2.7528571428571427,2,6,ii
9,2.7468748969399357,2,7,ii
280,2.6533333333333333,2,8,ii
168,2.6445238095238097,2,9,ii
6,2.633,2,10,ii
566,2.627857142857143,2,11,ii
26,2.615357142857143,2,12,ii
305,2.55452380952381,2,13,ii
22,2.5011904761904766,2,14,ii
119,2.4758571428571434,2,15,ii
53,2.47202380952381,2,16,ii
262,2.439857142857143,2,17,ii
450,2.377857142857143,2,18,ii
76,2.3545238095238097,2,19,ii
347,2.297857142857143,2,20,ii
388,2.2878571428571433,2,21,ii
260,2.1978571428571434,2,22,ii
197,2.081857142857143,2,23,ii
9,2.38914312418975,11,1,ii
280,2.3433333333333333,11,2,ii
6,2.323,11,3,ii
485,2.277857142857143,11,4,ii
47,2.236190476190476,11,5,ii
219,2.2270997723649026,11,6,ii
55,2.1518571428571427,11,7,ii
125,2.0445238095238096,11,8,ii
24,2.0228571428571427,11,9,ii
262,1.9464643631713405,11,10,ii
10,1.9133333333333336,11,11,ii
566,1.8978571428571431,11,12,ii
374,1.895,11,13,ii
26,1.885357142857143,11,14,ii
742,1.8833333333333337,11,15,ii
305,1.8245238095238099,11,16,ii
22,1.7711904761904766,11,17,ii
119,1.7458571428571434,11,18,ii
53,1.7420238095238099,11,19,ii
450,1.6478571428571431,11,20,ii
76,1.6245238095238097,11,21,ii
347,1.567857142857143,11,22,ii
388,1.5578571428571433,11,23,ii
260,1.4678571428571432,11,24,ii
197,1.3518571428571429,11,25,ii
485,2.537857142857143,17,1,ii
18,2.5149999999999997,17,2,ii
2,2.507857142857143,17,3,ii
23,2.4699999999999998,17,4,ii
55,2.4118571428571425,17,5,ii
172,2.372888888888889,17,6,ii
475,2.340666666666667,17,7,ii
125,2.3045238095238094,17,8,ii
85,2.289,17,9,ii
24,2.2828571428571425,17,10,ii
83,2.269,17,11,ii
81,2.2540000000000004,17,12,ii
291,2.194,17,13,ii
168,2.1745238095238095,17,14,ii
566,2.157857142857143,17,15,ii
26,2.1453571428571427,17,16,ii
329,2.135,17,17,ii
401,2.1224999999999996,17,18,ii
305,2.0845238095238097,17,19,ii
175,2.063833333333333,17,20,ii
9,2.0445238095238096,17,21,ii
22,2.0311904761904764,17,22,ii
119,2.0058571428571432,17,23,ii
400,1.970833333333333,17,24,ii
262,1.9698571428571428,17,25,ii
219,1.9603571428571431,17,26,ii
450,1.907857142857143,17,27,ii
50,1.9058333333333335,17,28,ii
217,1.8941666666666668,17,29,ii
76,1.8845238095238095,17,30,ii
347,1.8278571428571428,17,31,ii
388,1.817857142857143,17,32,ii
13,1.816111111111111,17,33,ii
31,1.7758333333333334,17,34,ii
260,1.727857142857143,17,35,ii
51,1.7244047619047616,17,36,ii
