item,score,user,rank,Algorithm
139,3.52,2,1,rel
485,2.9815384615384612,2,2,rel
339,2.826666666666667,2,3,rel
158,2.8000000000000003,2,4,rel
453,2.721,2,5,rel
529,2.7039897725639555,2,6,rel
66,2.6716427459598866,2,7,rel
528,2.625843645803392,2,8,rel
447,2.581506673972406,2,9,rel
136,2.58073132185973,2,10,rel
216,2.575843645803392,2,11,rel
599,2.573343645803392,2,12,rel
59,2.56873132185973,2,13,rel
55,2.5663172373526875,2,14,rel
123,2.5623231058972884,2,15,rel
122,2.560656439230622,2,16,rel
553,2.553343645803392,2,17,rel
762,2.550843645803392,2,18,rel
168,2.546538461538461,2,19,rel
249,2.540843645803392,2,20,rel
724,2.54073132185973,2,21,rel
268,2.5391743802098308,2,22,rel
37,2.535843645803392,2,23,rel
760,2.535843645803392,2,24,rel
362,2.53473132185973,2,25,rel
725,2.52673132185973,2,26,rel
613,2.5258436458033917,2,27,rel
2,2.523062835944237,2,28,rel
455,2.52273132185973,2,29,rel
86,2.5218128359442367,2,30,rel
446,2.520843645803392,2,31,rel
129,2.515656439230622,2,32,rel
39,2.515,2,33,rel
360,2.505843645803392,2,34,rel
42,2.5043399237601456,2,35,rel
405,2.5033436458033917,2,36,rel
408,2.5033436458033917,2,37,rel
675,2.5033436458033917,2,38,rel
600,2.498343645803392,2,39,rel
38,2.495843645803392,2,40,rel
465,2.495843645803392,2,41,rel
653,2.49473132185973,2,42,rel
740,2.493343645803392,2,43,rel
381,2.49273132185973,2,44,rel
138,2.488343645803392,2,45,rel
551,2.4858436458033917,2,46,rel
556,2.4858436458033917,2,47,rel
554,2.483343645803392,2,48,rel
382,2.48273132185973,2,49,rel
596,2.482222222222222,2,50,rel
611,2.478343645803392,2,51,rel
722,2.47673132185973,2,52,rel
445,2.475843645803392,2,53,rel
474,2.475843645803392,2,54,rel
635,2.475843645803392,2,55,rel
245,2.470843645803392,2,56,rel
659,2.470843645803392,2,57,rel
40,2.468343645803392,2,58,rel
247,2.465843645803392,2,59,rel
651,2.465843645803392,2,60,rel
773,2.465843645803392,2,61,rel
140,2.46473132185973,2,62,rel
638,2.46473132185973,2,63,rel
320,2.4633436458033917,2,64,rel
607,2.4633436458033917,2,65,rel
23,2.461253878586688,2,66,rel
153,2.460843645803392,2,67,rel
609,2.460843645803392,2,68,rel
825,2.460843645803392,2,69,rel
756,2.46073132185973,2,70,rel
52,2.458343645803392,2,71,rel
711,2.458343645803392,2,72,rel
135,2.450843645803392,2,73,rel
319,2.450843645803392,2,74,rel
467,2.450843645803392,2,75,rel
468,2.450843645803392,2,76,rel
815,2.450843645803392,2,77,rel
390,2.44873132185973,2,78,rel
396,2.44873132185973,2,79,rel
584,2.448343645803392,2,80,rel
608,2.448343645803392,2,81,rel
730,2.448343645803392,2,82,rel
850,2.448343645803392,2,83,rel
9,2.448062835944237,2,84,rel
72,2.445843645803392,2,85,rel
110,2.4450000000000003,2,86,rel
4,2.443343645803392,2,87,rel
144,2.443343645803392,2,88,rel
509,2.443343645803392,2,89,rel
403,2.4408436458033917,2,90,rel
590,2.4408436458033917,2,91,rel
679,2.4408436458033917,2,92,rel
54,2.438343645803392,2,93,rel
680,2.438343645803392,2,94,rel
508,2.435843645803392,2,95,rel
747,2.435843645803392,2,96,rel
505,2.433343645803392,2,97,rel
210,2.430843645803392,2,98,rel
354,2.430843645803392,2,99,rel
61,2.43073132185973,2,100,rel
529,3.3725000000000005,8,1,rel
66,3.3311904761904763,8,2,rel
59,3.175,8,3,rel
42,3.140357142857143,8,4,rel
23,3.064166666666667,8,5,rel
55,3.03,8,6,rel
80,2.9864571623699954,8,7,rel
455,2.966842105263158,8,8,rel
158,2.9400000000000004,8,9,rel
2,2.906529716863731,8,10,rel
214,2.799342105263158,8,11,rel
280,2.756190476190476,8,12,rel
28,2.7255379217530713,8,13,rel
290,2.7026352690264335,8,14,rel
810,2.6575,8,15,rel
9,2.6448421052631583,8,16,rel
119,2.6305000000000005,8,17,rel
172,2.618888888888889,8,18,rel
383,2.611842105263158,8,19,rel
26,2.554137397198493,8,20,rel
125,2.546666666666667,8,21,rel
53,2.542727272727273,8,22,rel
39,2.5300000000000002,8,23,rel
