user,item,rating
2,2,3.24
8,128,1.85
14,659,1.56
19,93,1.96
39,164,2.16
49,35,3.11
49,33,3.43
50,217,2.37
52,42,2.17
57,57,1.5
57,58,1.9
62,9,1.52
67,262,1.77
70,146,1.49
72,81,2.18
73,55,2.57
76,255,1.6
79,106,2.49
88,110,2.45
88,123,2.17
90,18,2.7
93,193,1.84
99,543,2.16
108,26,2.51
157,456,1.79
159,66,2.46
165,346,2.05
168,368,1.56
174,372,1.38
186,401,2.42
196,429,1.0
200,846,1.9
207,450,1.75
216,469,1.9
217,473,2.85
220,500,2.14
229,60,1.43
234,538,2.5
235,552,3.02
242,46,2.22
245,605,1.78
246,603,2.38
252,619,1.55
259,793,2.43
262,656,3.28
270,688,1.71
277,703,1.72
279,456,2.16
281,709,2.53
291,53,2.37
308,749,1.4
309,750,2.58
312,453,2.43
325,874,2.31
329,129,2.69
344,774,2.13
349,274,2.3
356,851,2.19
357,853,2.14
363,6,1.84
9,8,1.75
11,170,2.28
20,23,2.54
24,8,1.86
32,19,2.1
38,438,1.58
43,665,2.49
48,236,2.14
55,176,1.88
55,181,1.98
60,46,1.87
64,175,2.08
68,22,1.6
83,121,1.59
85,229,2.13
97,161,2.31
98,175,2.4
113,8,1.4
114,224,1.8
123,46,1.47
125,480,2.03
141,128,1.92
145,462,1.75
163,343,2.28
167,353,1.93
169,463,2.08
170,59,2.72
181,384,1.92
182,6,1.8
184,398,1.31
191,424,1.69
197,435,2.12
212,484,2.55
221,503,1.99
222,280,2.31
226,819,2.05
237,563,2.46
239,475,2.03
244,595,1.79
249,613,2.98
254,638,2.57
260,788,2.21
266,679,2.64
272,689,0.8
278,22,2.86
285,129,2.6
286,724,2.78
296,290,2.58
315,18,2.32
316,22,2.04
322,798,1.49
334,5,1.9
338,136,2.72
339,757,2.5
350,195,1.33
358,869,1.8
359,865,1.8
362,53,1.87
31,7,2.36
34,18,2.26
34,628,2.45
41,22,2.16
44,443,2.29
53,18,2.28
61,69,2.38
69,22,2.29
71,87,1.66
74,99,1.52
80,90,1.71
81,114,1.17
102,158,2.22
109,24,2.53
110,209,1.52
116,22,2.36
117,291,2.09
128,268,2.68
129,53,2.33
133,284,1.5
136,311,1.97
140,28,2.51
144,653,2.65
146,141,1.56
160,336,1.92
161,341,1.73
166,350,1.83
171,360,2.9
171,365,2.37
172,235,2.02
173,479,2.26
178,405,2.89
188,412,1.8
189,409,1.88
190,413,1.91
198,436,2.17
205,445,2.78
206,22,2.25
208,295,1.84
218,332,2.11
233,534,2.33
243,547,2.18
247,601,1.84
257,8,2.18
258,635,2.78
261,815,2.68
265,669,1.62
276,700,1.21
287,723,2.42
293,329,1.59
297,742,2.22
310,761,2.26
311,122,2.51
319,332,1.65
327,808,2.12
333,833,1.74
336,524,2.02
346,809,2.91
347,825,2.72
15,22,1.95
17,51,1.71
30,13,1.53
37,24,2.84
40,49,1.15
42,28,2.6
75,105,1.8
78,157,1.3
82,70,1.41
89,447,2.53
94,187,2.11
95,151,2.56
107,10,2.18
111,213,2.17
131,175,2.33
132,284,1.81
134,285,1.94
151,397,2.13
158,531,2.14
164,324,1.62
177,8,1.87
183,389,1.69
193,459,2.27
194,829,2.64
201,567,2.32
219,492,2.32
224,508,2.62
225,509,2.65
227,514,2.3
232,599,3.17
240,580,2.34
241,584,2.67
255,622,1.93
256,561,2.71
264,132,1.82
267,586,1.89
273,58,3.6
283,714,1.65
284,717,2.36
289,452,1.38
290,735,1.82
292,329,2.51
303,748,2.36
307,751,2.11
313,705,2.0
320,769,2.06
332,812,2.46
341,43,1.45
342,172,1.89
343,779,2.26
345,858,2.34
348,180,2.1
352,844,2.52
360,876,1.94
26,195,1.58
26,275,1.63
28,2,2.54
29,403,2.64
33,6,2.38
35,21,2.46
45,18,2.18
47,32,2.37
54,48,1.95
56,476,2.28
58,74,2.16
59,642,1.47
59,64,2.04
63,206,2.17
77,83,1.95
84,135,2.68
87,13,1.41
92,140,2.1
104,180,2.45
105,61,2.6
112,334,1.53
121,234,2.28
122,241,2.16
122,248,2.13
122,175,2.07
127,572,2.25
130,588,1.94
135,309,2.29
138,316,1.58
139,298,1.41
150,325,1.24
152,23,1.93
156,785,1.69
162,342,1.74
180,380,1.68
192,424,1.61
223,682,2.3
228,520,2.44
236,558,2.46
238,574,1.96
248,611,2.79
250,631,2.15
253,94,2.13
263,215,2.25
271,455,2.54
274,483,1.11
275,305,2.39
280,708,2.2
282,80,2.19
288,727,2.51
300,754,2.02
305,23,2.71
306,752,2.39
314,195,1.5
317,67,2.32
318,67,2.06
326,802,1.56
328,180,1.56
335,524,1.83
340,756,2.35
353,842,2.07
361,876,2.11
