user,item,rating
17,58,2.11
31,8,1.2
33,457,2.08
42,29,1.71
43,666,2.42
49,136,2.83
49,38,2.86
70,149,1.93
77,83,1.95
87,322,2.44
97,160,1.91
98,175,2.4
107,687,1.73
113,231,2.04
121,235,2.25
130,547,2.37
133,281,2.05
141,302,1.94
150,327,1.5
156,785,1.69
158,530,1.87
170,358,2.31
188,412,1.8
189,409,1.88
191,428,2.01
217,474,2.78
221,457,1.7
224,207,2.34
227,518,2.34
228,520,2.44
233,532,2.24
239,86,2.34
241,585,1.94
255,561,2.73
256,561,2.71
264,132,1.82
267,433,1.74
272,689,0.8
274,696,1.19
279,443,1.58
282,28,2.03
284,716,2.27
289,731,2.5
290,733,2.35
291,393,1.92
297,744,2.08
306,752,2.39
308,276,1.41
309,172,2.32
316,6,1.96
320,787,2.3
326,803,2.39
327,809,1.78
332,66,2.61
336,526,1.97
341,771,1.97
347,827,2.26
353,839,1.86
26,278,1.74
26,277,1.32
38,439,1.91
41,475,2.12
54,6,1.96
55,22,2.21
55,176,1.88
59,642,1.47
59,60,2.14
62,2,2.2
63,204,2.05
69,475,2.32
73,90,1.82
82,67,2.45
84,132,1.73
85,223,1.88
111,207,2.37
112,230,2.46
116,76,1.56
125,444,1.92
128,268,2.68
134,286,1.96
140,29,2.24
144,649,1.95
145,490,1.65
151,393,1.8
163,23,2.63
167,352,2.4
174,369,2.18
178,405,2.89
180,380,1.68
182,6,1.8
183,389,1.69
197,168,2.41
207,483,1.97
218,140,2.87
235,554,2.81
244,586,2.19
245,605,1.78
247,602,2.22
248,609,2.72
277,697,2.51
280,706,1.84
285,129,2.6
288,728,2.02
296,740,2.85
307,22,2.01
310,761,2.26
311,812,1.81
312,596,1.84
313,453,1.94
318,67,2.06
325,874,2.31
334,290,2.34
335,6,1.62
338,136,2.72
340,292,1.99
344,775,2.5
345,857,1.15
358,872,1.8
9,293,1.95
11,168,2.18
20,23,2.54
28,4,2.65
30,11,1.9
34,400,2.11
34,18,2.26
35,25,1.69
40,51,2.49
52,501,2.05
57,862,1.8
57,56,1.97
60,28,2.56
61,69,2.38
71,87,1.66
74,96,1.93
75,103,1.8
76,257,2.32
78,58,1.79
80,648,1.84
81,112,1.87
99,550,2.21
102,184,1.59
109,24,2.53
127,571,2.2
129,279,1.81
135,308,2.2
139,297,1.48
146,319,2.68
152,90,1.99
165,346,2.05
168,367,1.96
169,349,2.61
173,24,1.68
184,400,1.87
190,413,1.91
192,424,1.61
196,430,1.88
216,468,2.68
220,499,2.18
222,280,2.31
236,556,2.82
237,563,2.46
249,612,2.35
250,22,2.31
258,635,2.78
260,788,2.21
266,676,2.23
271,304,1.91
276,697,1.46
278,704,1.46
283,706,1.46
293,329,1.59
305,334,2.03
314,119,2.47
315,18,2.32
333,835,2.26
350,481,1.5
2,2,3.24
8,8,1.55
14,658,1.72
19,93,1.96
32,20,1.78
37,110,2.8
44,227,2.12
45,331,1.53
58,77,2.09
67,260,1.51
72,85,2.21
79,111,1.87
88,125,1.67
88,66,2.92
92,142,2.23
93,194,2.08
104,447,2.65
105,197,1.63
108,22,2.27
117,292,2.09
122,241,2.16
122,247,2.74
122,71,2.09
131,562,1.87
136,314,2.24
138,296,1.85
157,209,2.04
159,172,1.89
160,338,1.43
161,340,1.61
166,351,1.39
171,363,2.56
171,296,2.78
172,6,2.09
177,180,1.79
181,381,2.45
194,829,2.64
200,829,2.07
205,6,1.82
223,683,2.09
225,512,2.43
226,822,2.05
240,576,2.0
243,593,2.29
257,8,2.18
265,132,2.45
270,390,2.53
273,374,0.84
281,707,1.53
292,47,2.54
303,748,2.36
319,119,2.53
328,806,1.28
329,180,1.92
343,778,2.31
346,806,2.66
349,811,2.26
356,848,1.6
360,875,2.07
363,227,1.51
15,218,2.32
24,8,1.86
29,548,1.82
39,165,1.34
47,32,2.37
48,237,1.89
50,53,2.14
53,45,2.45
56,477,1.78
64,267,1.63
68,198,1.47
83,145,1.24
89,180,2.23
90,198,2.34
94,185,2.13
95,154,2.57
110,211,2.3
114,219,1.89
123,46,1.47
132,283,2.18
162,338,1.73
164,346,2.19
186,542,1.89
193,460,2.33
198,260,1.95
201,568,1.28
206,544,2.38
208,86,2.11
212,486,2.2
219,495,2.23
229,524,1.94
232,599,3.17
234,538,2.5
238,573,1.16
242,218,2.0
246,602,1.91
252,617,1.98
253,641,2.28
254,643,2.11
259,262,1.84
261,815,2.68
262,656,3.28
263,660,1.84
275,58,2.58
286,723,2.37
287,725,2.79
300,754,2.02
317,329,1.87
322,798,1.49
339,292,2.02
342,172,1.89
348,180,2.1
352,844,2.52
357,856,1.92
359,863,1.8
361,877,1.66
362,834,1.64
