item,score,user,rank,Algorithm
158,3.22,9,1,socsim
455,3.17578947368421,9,2,socsim
281,3.118,9,3,socsim
122,3.0152900041325634,9,4,socsim
203,2.9866666666666664,9,5,socsim
66,2.9309523809523816,9,6,socsim
274,2.9299999999999997,9,7,socsim
811,2.8949999999999996,9,8,socsim
28,2.8949605942567262,9,9,socsim
172,2.8767890610059283,9,10,socsim
6,2.86141052631579,9,11,socsim
2,2.831379515100749,9,12,socsim
383,2.82078947368421,9,13,socsim
47,2.819451360726221,9,14,socsim
110,2.8158921244593573,9,15,socsim
283,2.788,9,16,socsim
742,2.7600000000000002,9,17,socsim
23,2.743166975703207,9,18,socsim
10,2.7228737773705802,9,19,socsim
540,2.7039992585935106,9,20,socsim
385,2.7007894736842104,9,21,socsim
42,2.6981623697951083,9,22,socsim
284,2.643,9,23,socsim
55,2.6422843607468485,9,24,socsim
456,2.6117894736842104,9,25,socsim
763,2.5957894736842104,9,26,socsim
291,2.571428571428571,9,27,socsim
343,2.5605172413793107,9,28,socsim
24,2.552264778901275,9,29,socsim
207,2.5430172413793106,9,30,socsim
813,2.5368160018826056,9,31,socsim
349,2.5357894736842104,9,32,socsim
125,2.5344637191672605,9,33,socsim
268,2.533589743589744,9,34,socsim
123,2.5335897435897436,9,35,socsim
214,2.52160319776772,9,36,socsim
812,2.4953938120693855,9,37,socsim
46,2.48578947368421,9,38,socsim
18,2.483642241379311,9,39,socsim
401,2.477183908045977,9,40,socsim
524,2.47578947368421,9,41,socsim
462,2.445,9,42,socsim
457,2.4357894736842103,9,43,socsim
126,2.433705435116681,9,44,socsim
80,2.4283428614359504,9,45,socsim
58,2.407217435247201,9,46,socsim
76,2.397523809523809,9,47,socsim
529,2.3964422342985148,9,48,socsim
29,2.38578947368421,9,49,socsim
485,2.367692307692308,9,50,socsim
227,2.34578947368421,9,51,socsim
566,2.345392212725546,9,52,socsim
262,2.343325093071134,9,53,socsim
26,2.342107924381201,9,54,socsim
33,2.3315250974861033,9,55,socsim
168,2.3235117643088,9,56,socsim
528,2.319025097486103,9,57,socsim
656,2.294025097486103,9,58,socsim
22,2.2867121418692595,9,59,socsim
9,2.2761017773824004,9,60,socsim
136,2.2734753795735503,9,61,socsim
447,2.273375943748444,9,62,socsim
216,2.2690250974861033,9,63,socsim
290,2.2670506977295966,9,64,socsim
599,2.266525097486103,9,65,socsim
129,2.2657042733877755,9,66,socsim
139,2.2654753795735503,9,67,socsim
35,2.251525097486103,9,68,socsim
553,2.2465250974861033,9,69,socsim
762,2.244025097486103,9,70,socsim
232,2.2432140863045382,9,71,socsim
249,2.234025097486103,9,72,socsim
724,2.2334753795735502,9,73,socsim
37,2.2290250974861032,9,74,socsim
552,2.2290250974861032,9,75,socsim
760,2.2290250974861032,9,76,socsim
523,2.2280952380952384,9,77,socsim
362,2.22747537957355,9,78,socsim
460,2.2224265781167793,9,79,socsim
725,2.21947537957355,9,80,socsim
613,2.219025097486103,9,81,socsim
446,2.214025097486103,9,82,socsim
86,2.2139008027047207,9,83,socsim
50,2.208,9,84,socsim
296,2.1999899876734896,9,85,socsim
360,2.199025097486103,9,86,socsim
405,2.196525097486103,9,87,socsim
408,2.196525097486103,9,88,socsim
675,2.196525097486103,9,89,socsim
119,2.1933922127255463,9,90,socsim
600,2.191525097486103,9,91,socsim
175,2.1900560759291134,9,92,socsim
38,2.189025097486103,9,93,socsim
465,2.189025097486103,9,94,socsim
653,2.18747537957355,9,95,socsim
473,2.1865250974861032,9,96,socsim
740,2.1865250974861032,9,97,socsim
381,2.18547537957355,9,98,socsim
305,2.1827011108636034,9,99,socsim
138,2.181525097486103,9,100,socsim
110,2.8114285714285714,26,1,socsim
23,2.768701298701299,26,2,socsim
137,2.6999999999999993,26,3,socsim
24,2.608333333333333,26,4,socsim
18,2.5281250000000006,26,5,socsim
401,2.5178689909226724,26,6,socsim
58,2.4981410256410257,26,7,socsim
409,2.47868,26,8,socsim
543,2.4633333333333334,26,9,socsim
172,2.423888888888889,26,10,socsim
659,2.3950000000000005,26,11,socsim
175,2.345833333333333,26,12,socsim
400,2.343843438474413,26,13,socsim
53,2.3345489993958366,26,14,socsim
50,2.2958333333333334,26,15,socsim
413,2.295,26,16,socsim
529,2.2908781247407286,26,17,socsim
217,2.290119047619047,26,18,socsim
763,2.2829843423712157,26,19,socsim
66,2.259811834190658,26,20,socsim
540,2.25,26,21,socsim
33,2.225960987928317,26,22,socsim
2,2.214711771504559,26,23,socsim
528,2.213460987928317,26,24,socsim
656,2.188460987928317,26,25,socsim
739,2.1853787878787885,26,26,socsim
136,2.167911270015764,26,27,socsim
447,2.167811834190658,26,28,socsim
31,2.1658333333333335,26,29,socsim
216,2.163460987928317,26,30,socsim
599,2.1609609879283167,26,31,socsim
129,2.1601401638299893,26,32,socsim
139,2.159911270015764,26,33,socsim
51,2.1547222222222224,26,34,socsim
291,2.1514285714285712,26,35,socsim
122,2.147544791407395,26,36,socsim
42,2.147246915572382,26,37,socsim
35,2.145960987928317,26,38,socsim
553,2.140960987928317,26,39,socsim
762,2.1384609879283167,26,40,socsim
249,2.128460987928317,26,41,socsim
724,2.127911270015764,26,42,socsim
485,2.125911270015764,26,43,socsim
268,2.125854449544275,26,44,socsim
123,2.1258544495442746,26,45,socsim
37,2.123460987928317,26,46,socsim
552,2.123460987928317,26,47,socsim
760,2.123460987928317,26,48,socsim
362,2.121911270015764,26,49,socsim
158,2.1144258781157035,26,50,socsim
725,2.113911270015764,26,51,socsim
613,2.113460987928317,26,52,socsim
214,2.110140163829989,26,53,socsim
455,2.109911270015764,26,54,socsim
446,2.108460987928317,26,55,socsim
86,2.1083366931469345,26,56,socsim
769,2.1054843423712155,26,57,socsim
47,2.1021664309338304,26,58,socsim
296,2.0944258781157035,26,59,socsim
360,2.093460987928317,26,60,socsim
405,2.090960987928317,26,61,socsim
408,2.090960987928317,26,62,socsim
675,2.090960987928317,26,63,socsim
28,2.086811834190658,26,64,socsim
600,2.085960987928317,26,65,socsim
