user,item,rating
9,18,1.9
26,278,1.74
26,276,1.44
32,9,2.7
38,441,1.75
39,167,2.04
42,29,1.71
44,227,2.12
54,22,2.67
58,77,2.09
62,75,1.67
70,146,1.49
73,91,1.56
79,107,1.9
82,67,2.45
84,134,2.21
87,322,2.44
88,67,1.85
88,110,2.45
99,550,2.21
102,184,1.59
112,335,2.47
114,224,1.8
116,22,2.36
117,292,2.09
122,244,1.86
122,241,2.16
122,175,2.07
131,175,2.33
134,289,1.9
136,315,1.99
141,303,1.49
146,319,2.68
150,325,1.24
161,336,1.99
165,345,1.89
170,59,2.72
172,58,1.85
183,388,1.68
189,413,1.93
196,431,1.81
201,570,1.95
205,6,1.82
207,449,1.86
227,514,2.3
232,598,2.17
236,557,2.23
247,604,2.27
250,388,2.22
253,638,2.4
254,644,2.54
256,561,2.71
275,782,2.31
279,110,2.55
282,23,2.71
284,720,0.94
314,810,2.33
329,180,1.92
340,757,2.15
347,824,2.43
350,42,2.47
360,201,2.42
8,126,2.02
14,400,1.95
19,93,1.96
24,42,2.51
34,664,2.13
34,22,2.35
40,49,1.15
45,19,1.87
47,36,2.07
56,478,2.08
60,66,2.64
69,26,2.19
76,257,2.32
81,113,1.15
85,227,2.7
94,186,2.12
105,197,1.63
111,210,2.6
113,18,2.35
128,270,2.27
133,283,1.42
135,306,2.03
158,209,2.09
163,343,2.28
168,368,1.56
169,22,1.96
186,401,2.42
212,484,2.55
220,499,2.18
221,502,1.85
223,684,1.96
226,821,2.25
229,524,1.94
239,475,2.03
258,634,1.96
259,649,1.99
262,195,1.36
266,676,2.23
267,433,1.74
273,58,3.6
274,483,1.11
276,697,1.46
285,491,1.64
286,722,2.55
287,268,2.46
288,158,3.15
297,743,2.18
307,67,2.24
327,351,2.55
332,122,2.55
333,836,1.26
335,527,1.92
336,527,2.06
338,739,1.72
344,137,1.95
349,197,1.8
361,876,2.11
15,217,1.59
28,5,2.08
29,548,1.82
31,10,1.61
33,455,2.72
50,264,1.18
52,41,1.93
53,18,2.28
59,63,2.3
59,62,1.98
90,329,1.97
95,155,1.66
98,173,1.42
104,180,2.45
109,215,1.33
130,586,1.78
132,284,1.81
140,301,2.54
159,332,2.25
160,336,1.92
162,338,1.73
171,55,2.44
171,364,2.34
182,387,1.82
188,412,1.8
190,419,1.73
191,424,1.69
192,16,2.16
200,830,1.34
206,22,2.25
225,511,2.53
233,533,1.96
234,537,2.14
240,576,2.0
243,592,1.72
248,608,2.67
255,561,2.73
263,662,2.14
264,670,1.47
265,132,2.45
271,51,2.43
272,46,1.8
280,71,1.74
291,53,2.37
293,24,3.05
296,290,2.58
308,276,1.41
312,452,1.71
318,329,1.58
325,873,1.92
328,529,2.4
334,456,2.3
339,756,2.6
342,777,1.95
343,777,2.11
345,858,2.34
353,838,1.56
358,871,1.8
2,374,2.37
11,171,2.33
17,51,1.71
48,158,2.26
63,204,2.05
74,96,1.93
75,100,1.8
77,101,2.04
83,121,1.59
89,693,2.05
108,197,1.79
110,211,2.3
123,46,1.47
138,318,2.11
144,651,2.74
152,329,1.82
156,785,1.69
157,529,3.42
164,346,2.19
166,117,1.59
173,479,2.26
178,408,2.89
180,378,1.51
181,382,2.5
184,53,1.86
194,830,2.02
197,262,2.51
208,86,2.11
216,468,2.68
224,232,2.21
228,520,2.44
235,553,3.09
237,565,2.48
238,172,2.36
241,584,2.67
242,218,2.0
244,595,1.79
246,603,2.38
260,791,2.51
261,818,1.51
278,290,2.47
292,47,2.54
303,748,2.36
305,51,1.43
310,762,3.08
311,812,1.81
315,765,2.08
317,13,1.2
319,217,2.1
320,400,2.61
322,794,1.66
346,809,2.91
348,811,2.03
356,847,2.48
359,867,1.8
362,834,1.64
20,47,2.5
30,13,1.53
35,23,1.92
37,195,1.5
41,763,1.9
43,665,2.49
49,138,2.83
49,33,3.43
55,176,1.88
55,178,1.9
57,566,1.88
57,119,1.91
61,67,1.84
64,265,1.91
67,261,1.37
68,198,1.47
71,82,1.58
72,88,1.97
78,156,1.59
80,648,1.84
92,142,2.23
93,194,2.08
97,161,2.31
107,168,2.02
121,234,2.28
125,444,1.92
127,518,1.99
129,280,1.92
139,295,1.54
145,180,1.93
151,393,1.8
167,22,2.65
174,369,2.18
177,8,1.87
193,458,2.21
198,260,1.95
217,470,2.11
218,489,1.65
219,493,2.08
222,507,2.34
245,602,1.95
249,613,2.98
252,617,1.98
257,51,2.06
270,109,1.4
277,22,2.64
281,707,1.53
283,713,1.37
289,379,2.07
290,736,1.8
300,6,2.22
306,293,2.43
309,23,3.2
313,13,1.69
316,769,1.22
326,805,1.99
341,43,1.45
352,217,2.8
357,856,1.92
363,444,1.72
