item,score,user,rank,Algorithm
158,3.2215384615384624,9,1,soxsim
455,3.1721052631578943,9,2,soxsim
23,3.165751627434279,9,3,soxsim
77,3.1590052453241197,9,4,soxsim
2,3.0853207401004865,9,5,soxsim
47,3.059235098681573,9,6,soxsim
122,3.0156821297633134,9,7,soxsim
281,3.0133333333333328,9,8,soxsim
203,2.9866666666666664,9,9,soxsim
343,2.9343650793650795,9,10,soxsim
274,2.9315384615384614,9,11,soxsim
66,2.93,9,12,soxsim
6,2.9031866080914233,9,13,soxsim
811,2.8965384615384613,9,14,soxsim
28,2.879591023012076,9,15,soxsim
207,2.868181381243122,9,16,soxsim
401,2.8510317460317456,9,17,soxsim
180,2.833333333333334,9,18,soxsim
262,2.831202162008842,9,19,soxsim
55,2.8236414005203714,9,20,soxsim
383,2.817105263157895,9,21,soxsim
176,2.814999999999999,9,22,soxsim
42,2.8091482702434525,9,23,soxsim
10,2.7915384615384617,9,24,soxsim
125,2.7906036344858838,9,25,soxsim
742,2.761538461538462,9,26,soxsim
172,2.758935508935509,9,27,soxsim
110,2.7457729532357162,9,28,soxsim
810,2.7264285714285714,9,29,soxsim
22,2.7164482966055266,9,30,soxsim
443,2.7071604938271605,9,31,soxsim
24,2.705936290311091,9,32,soxsim
540,2.702944815361277,9,33,soxsim
385,2.6971052631578947,9,34,soxsim
123,2.6946028425236133,9,35,soxsim
283,2.683333333333333,9,36,soxsim
460,2.6571052631578946,9,37,soxsim
813,2.6529981598582744,9,38,soxsim
58,2.634332646765096,9,39,soxsim
456,2.6081052631578947,9,40,soxsim
292,2.5947619047619046,9,41,soxsim
291,2.571428571428571,9,42,soxsim
260,2.5579339906463923,9,43,soxsim
76,2.5537140580040303,9,44,soxsim
485,2.544010989010989,9,45,soxsim
284,2.538333333333333,9,46,soxsim
349,2.532105263157894,9,47,soxsim
175,2.524876906452813,9,48,soxsim
51,2.518778148694611,9,49,soxsim
329,2.5163650793650794,9,50,soxsim
268,2.512543209876543,9,51,soxsim
566,2.4994001322751322,9,52,soxsim
812,2.495393812069385,9,53,soxsim
524,2.4721052631578946,9,54,soxsim
119,2.462283951340972,9,55,soxsim
462,2.4465384615384616,9,56,soxsim
457,2.4321052631578945,9,57,soxsim
9,2.4313648026505126,9,58,soxsim
148,2.429365079365079,9,59,soxsim
227,2.4221052631578943,9,60,soxsim
232,2.4124444444444446,9,61,soxsim
214,2.404931990440176,9,62,soxsim
529,2.3540576991359923,9,63,soxsim
29,2.3496052631578945,9,64,soxsim
168,2.335505378122523,9,65,soxsim
80,2.3342284358043686,9,66,soxsim
126,2.3230766791648376,9,67,soxsim
43,2.3171052631578943,9,68,soxsim
33,2.2895929104035977,9,69,soxsim
528,2.2770929104035975,9,70,soxsim
290,2.275278246098842,9,71,soxsim
8,2.2705668016194327,9,72,soxsim
656,2.2520929104035976,9,73,soxsim
67,2.24312458199775,9,74,soxsim
136,2.2312717836430345,9,75,soxsim
447,2.2306295301219077,9,76,soxsim
523,2.2280952380952384,9,77,soxsim
216,2.2270929104035977,9,78,soxsim
599,2.2245929104035977,9,79,soxsim
139,2.2232717836430345,9,80,soxsim
129,2.2231904959166764,9,81,soxsim
59,2.2192717836430345,9,82,soxsim
26,2.217707413546885,9,83,soxsim
35,2.2095929104035976,9,84,soxsim
50,2.208,9,85,soxsim
553,2.2045929104035977,9,86,soxsim
762,2.202092910403598,9,87,soxsim
249,2.1920929104035975,9,88,soxsim
724,2.1912717836430344,9,89,soxsim
37,2.1870929104035977,9,90,soxsim
760,2.1870929104035977,9,91,soxsim
362,2.185271783643034,9,92,soxsim
725,2.177271783643034,9,93,soxsim
613,2.1770929104035974,9,94,soxsim
446,2.1720929104035975,9,95,soxsim
347,2.169400132275132,9,96,soxsim
296,2.1574762102023906,9,97,soxsim
360,2.157092910403598,9,98,soxsim
481,2.156538461538462,9,99,soxsim
405,2.1545929104035975,9,100,soxsim
140,3.271666666666667,19,1,soxsim
296,3.160714285714286,19,2,soxsim
42,3.1334920634920636,19,3,soxsim
266,3.0057142857142862,19,4,soxsim
122,2.99,19,5,soxsim
638,2.908516673052364,19,6,soxsim
23,2.889111111111112,19,7,soxsim
22,2.8880219780219782,19,8,soxsim
218,2.885714285714286,19,9,soxsim
119,2.8637142857142863,19,10,soxsim
53,2.8598809523809527,19,11,soxsim
217,2.8509523809523802,19,12,soxsim
66,2.844444444444444,19,13,soxsim
28,2.7538095238095237,19,14,soxsim
71,2.741428571428571,19,15,soxsim
332,2.7290476190476194,19,16,soxsim
290,2.621666666666667,19,17,soxsim
347,2.6066666666666665,19,18,soxsim
172,2.5855555555555556,19,19,soxsim
444,2.578214285714286,19,20,soxsim
232,2.561666666666667,19,21,soxsim
126,2.513111111111111,19,22,soxsim
443,2.506111111111111,19,23,soxsim
346,2.499722572457654,19,24,soxsim
529,2.4285327699530517,19,25,soxsim
265,2.400714285714286,19,26,soxsim
345,2.3897225724576527,19,27,soxsim
33,2.364067981220657,19,28,soxsim
2,2.3520648513302036,19,29,soxsim
528,2.351567981220657,19,30,soxsim
656,2.326567981220657,19,31,soxsim
55,2.319515164319249,19,32,soxsim
110,2.317665566733736,19,33,soxsim
136,2.305746854460094,19,34,soxsim
447,2.305104600938967,19,35,soxsim
216,2.301567981220657,19,36,soxsim
599,2.299067981220657,19,37,soxsim
24,2.298890516431925,19,38,soxsim
139,2.297746854460094,19,39,soxsim
129,2.297665566733736,19,40,soxsim
59,2.293746854460094,19,41,soxsim
35,2.284067981220657,19,42,soxsim
553,2.279067981220657,19,43,soxsim
762,2.276567981220657,19,44,soxsim
206,2.271111111111111,19,45,soxsim
249,2.266567981220657,19,46,soxsim
724,2.265746854460094,19,47,soxsim
485,2.2637468544600936,19,48,soxsim
123,2.263379852448021,19,49,soxsim
37,2.261567981220657,19,50,soxsim
760,2.261567981220657,19,51,soxsim
362,2.2597468544600936,19,52,soxsim
158,2.25195128101945,19,53,soxsim
725,2.2517468544600936,19,54,soxsim
613,2.251567981220657,19,55,soxsim
455,2.2477468544600936,19,56,soxsim
214,2.2476655667337355,19,57,soxsim
446,2.246567981220657,19,58,soxsim
268,2.240199436619718,19,59,soxsim
360,2.2315679812206572,19,60,soxsim
344,2.229722572457653,19,61,soxsim
405,2.229067981220657,19,62,soxsim
408,2.229067981220657,19,63,soxsim
675,2.229067981220657,19,64,soxsim
47,2.228104600938967,19,65,soxsim
600,2.224067981220657,19,66,soxsim
38,2.221567981220657,19,67,soxsim
465,2.221567981220657,19,68,soxsim
653,2.2197468544600936,19,69,soxsim
473,2.219067981220657,19,70,soxsim
740,2.219067981220657,19,71,soxsim
381,2.217746854460094,19,72,soxsim
138,2.214067981220657,19,73,soxsim
551,2.211567981220657,19,74,soxsim
556,2.211567981220657,19,75,soxsim
554,2.2090679812206573,19,76,soxsim
382,2.2077468544600936,19,77,soxsim
86,2.2076655667337355,19,78,soxsim
611,2.204067981220657,19,79,soxsim
722,2.2017468544600938,19,80,soxsim
474,2.201567981220657,19,81,soxsim
635,2.201567981220657,19,82,soxsim
125,2.200765164319249,19,83,soxsim
245,2.196567981220657,19,84,soxsim
40,2.194067981220657,19,85,soxsim
18,2.1927834741784036,19,86,soxsim
651,2.191567981220657,19,87,soxsim
773,2.191567981220657,19,88,soxsim
320,2.189067981220657,19,89,soxsim
607,2.189067981220657,19,90,soxsim
153,2.1865679812206573,19,91,soxsim
609,2.1865679812206573,19,92,soxsim
825,2.1865679812206573,19,93,soxsim
756,2.1857468544600938,19,94,soxsim
207,2.184808423876593,19,95,soxsim
52,2.184067981220657,19,96,soxsim
711,2.184067981220657,19,97,soxsim
31,2.1811111111111114,19,98,soxsim
46,2.181111111111111,19,99,soxsim
603,2.1768661032863847,19,100,soxsim
23,2.8738333333333337,26,1,soxsim
110,2.7264285714285714,26,2,soxsim
401,2.6221130294206643,26,3,soxsim
24,2.608333333333333,26,4,soxsim
22,2.555641025641026,26,5,soxsim
659,2.5533333333333337,26,6,soxsim
58,2.4679761904761905,26,7,soxsim
543,2.463333333333334,26,8,soxsim
6,2.441228070175439,26,9,soxsim
409,2.397022471910112,26,10,soxsim
413,2.3851123595505617,26,11,soxsim
175,2.3724999999999996,26,12,soxsim
53,2.365612293140415,26,13,soxsim
42,2.313884842308363,26,14,soxsim
50,2.295833333333334,26,15,soxsim
217,2.290119047619047,26,16,soxsim
529,2.286113769676885,26,17,soxsim
763,2.2758333333333343,26,18,soxsim
540,2.25,26,19,soxsim
66,2.2363125177207035,26,20,soxsim
33,2.2216489809444906,26,21,soxsim
2,2.209645851054037,26,22,soxsim
528,2.2091489809444904,26,23,soxsim
656,2.1841489809444905,26,24,soxsim
739,2.1836805555555556,26,25,soxsim
400,2.179291329471315,26,26,soxsim
292,2.1747619047619047,26,27,soxsim
31,2.1658333333333335,26,28,soxsim
136,2.1633278541839274,26,29,soxsim
447,2.1626856006628006,26,30,soxsim
216,2.1591489809444906,26,31,soxsim
599,2.1566489809444906,26,32,soxsim
