user,item,rating
9,8,1.75
19,93,1.96
26,275,1.63
26,272,1.75
28,1,0.98
31,6,1.75
32,19,2.1
37,22,1.76
38,439,1.91
44,443,2.29
62,75,1.67
73,90,1.82
74,98,1.94
80,90,1.71
89,130,2.27
95,151,2.56
108,22,2.27
114,222,1.8
122,244,1.86
122,250,2.09
122,247,2.74
128,271,2.06
150,325,1.24
152,23,1.93
156,786,2.15
166,117,1.59
169,463,2.08
183,389,1.69
184,399,2.19
186,542,1.89
190,413,1.91
192,16,2.16
196,431,1.81
197,434,2.2
205,445,2.78
216,466,2.14
228,522,1.99
232,268,2.45
235,552,3.02
238,86,2.56
255,569,1.57
270,688,1.71
272,67,2.15
274,43,1.16
275,125,2.85
283,714,1.65
289,452,1.38
293,47,2.4
305,334,2.03
309,23,3.2
316,22,2.04
318,329,1.58
320,400,2.61
332,66,2.61
333,837,2.03
334,51,2.38
338,766,2.3
342,777,1.95
344,396,2.37
353,839,1.86
2,226,2.33
14,658,1.72
17,58,2.11
20,24,2.54
24,8,1.86
47,30,2.23
49,35,3.11
49,139,2.82
53,18,2.28
54,22,2.67
58,9,2.26
60,66,2.64
72,85,2.21
75,103,1.8
76,256,1.7
79,110,2.54
83,24,1.79
84,132,1.73
109,207,2.46
111,197,2.12
113,172,1.97
131,71,2.12
139,296,2.53
140,29,2.24
146,320,2.73
167,353,1.93
174,367,1.49
188,410,2.13
189,417,1.5
193,460,2.33
200,829,2.07
201,567,2.32
206,290,1.79
212,58,2.43
233,532,2.24
237,563,2.46
242,217,1.34
250,177,1.89
252,620,1.93
258,635,2.78
259,649,1.99
262,123,2.78
265,672,1.86
267,586,1.89
278,290,2.47
286,268,2.37
287,722,2.48
296,741,1.56
297,10,2.33
310,760,3.02
313,705,2.0
319,332,1.65
326,801,2.04
341,771,1.97
346,737,2.84
347,825,2.72
363,227,1.51
11,169,2.19
33,290,2.31
35,22,1.8
41,18,2.38
42,27,1.86
45,330,1.66
48,8,1.57
61,71,2.18
77,101,2.04
82,119,2.39
87,219,2.1
88,124,1.51
88,123,2.17
93,194,2.08
104,129,2.44
107,10,2.18
116,259,1.52
129,279,1.81
130,586,1.78
132,283,2.18
134,288,1.86
151,394,1.8
158,531,2.14
159,332,2.25
160,337,2.06
164,326,1.89
170,358,2.31
178,406,1.11
180,380,1.68
182,387,1.82
194,831,2.44
198,260,1.95
207,449,1.86
218,80,2.28
219,493,2.08
220,499,2.18
221,502,1.85
226,822,2.05
229,60,1.43
234,606,2.06
239,575,2.24
243,593,2.29
244,596,1.71
246,605,1.98
247,603,2.6
253,641,2.28
256,169,2.13
257,6,2.56
261,815,2.68
264,132,1.82
276,700,1.21
280,71,1.74
285,180,2.5
290,732,2.54
292,24,2.95
307,751,2.11
315,47,2.13
340,292,1.99
352,217,2.8
8,22,1.79
15,218,2.32
29,548,1.82
34,625,2.24
34,6,2.28
43,666,2.42
56,478,2.08
59,64,2.04
59,59,2.77
63,206,2.17
67,261,1.37
69,475,2.32
78,58,1.79
85,227,2.7
90,198,2.34
94,186,2.12
97,160,1.91
98,53,2.2
99,18,2.36
102,148,2.15
105,196,2.34
110,212,2.09
112,335,2.47
117,290,2.13
121,235,2.25
123,67,2.05
133,281,2.05
138,296,1.85
144,652,2.0
157,55,2.71
163,23,2.63
165,324,1.2
171,360,2.9
171,364,2.34
172,8,1.98
177,180,1.79
181,382,2.5
208,452,1.43
217,473,2.85
223,683,2.09
227,514,2.3
249,614,2.54
260,653,2.47
271,51,2.43
273,58,3.6
277,697,2.51
279,443,1.58
288,158,3.15
291,53,2.37
308,749,1.4
314,119,2.47
327,447,2.33
335,6,1.62
349,8,2.15
358,868,1.8
359,863,1.8
360,876,1.94
361,876,2.11
362,881,1.78
30,11,1.9
39,163,1.78
40,50,2.2
50,264,1.18
52,501,2.05
55,176,1.88
55,178,1.9
57,125,2.32
57,347,1.95
64,195,1.1
68,201,1.74
70,79,1.62
71,6,2.09
81,116,2.01
92,144,2.65
125,29,1.55
127,571,2.2
135,306,2.03
136,315,1.99
141,128,1.92
145,462,1.75
161,340,1.61
162,342,1.74
168,368,1.56
173,479,2.26
191,427,2.38
222,280,2.31
224,508,2.62
225,511,2.53
236,557,2.23
240,579,2.07
241,582,1.74
245,601,1.7
248,609,2.72
254,638,2.57
263,662,2.14
266,678,1.62
281,709,2.53
282,53,2.18
284,717,2.36
300,754,2.02
303,355,1.13
306,293,2.43
311,812,1.81
312,453,2.43
317,56,1.45
322,796,1.95
325,873,1.92
328,806,1.28
329,129,2.69
336,524,2.02
339,757,2.5
343,780,1.9
345,857,1.15
348,8,1.5
350,810,2.0
356,851,2.19
357,855,1.65
