user,item,rating
11,169,2.19
14,658,1.72
30,14,1.14
49,136,2.83
49,137,2.82
50,217,2.37
55,176,1.88
55,77,2.05
61,71,2.18
63,195,1.26
70,146,1.49
72,85,2.21
78,156,1.59
82,117,1.63
95,155,1.66
97,162,1.75
99,18,2.36
105,61,2.6
107,686,2.05
109,215,1.33
111,22,2.57
125,481,1.31
135,307,2.07
140,126,2.48
151,394,1.8
162,340,1.48
168,366,1.81
171,55,2.44
171,362,2.77
183,388,1.68
191,16,1.71
192,426,1.79
205,6,1.82
206,545,2.41
207,483,1.97
220,496,2.35
224,232,2.21
233,536,1.58
235,553,3.09
236,557,2.23
245,602,1.95
250,58,2.35
267,429,1.7
271,304,1.91
272,402,0.12
275,782,2.31
285,447,2.87
293,23,2.67
297,10,2.33
310,761,2.26
326,803,2.39
327,808,2.12
333,834,1.75
334,769,2.45
338,768,2.2
342,777,1.95
344,774,2.13
350,810,2.0
358,868,1.8
8,128,1.85
9,294,1.76
17,58,2.11
20,24,2.54
26,278,1.74
26,277,1.32
37,110,2.8
45,18,2.18
56,487,2.01
62,75,1.67
68,198,1.47
81,112,1.87
84,133,2.35
87,13,1.41
93,194,2.08
108,197,1.79
122,245,2.76
122,251,2.58
122,244,1.86
128,270,2.27
132,282,1.93
134,288,1.86
138,318,2.11
139,128,2.19
163,195,1.44
166,348,1.98
169,349,2.61
184,401,1.98
188,411,1.82
190,421,2.1
216,465,2.86
217,471,2.13
218,332,2.11
219,492,2.32
226,819,2.05
228,170,2.05
241,582,1.74
242,265,1.44
243,593,2.29
244,595,1.79
246,603,2.38
253,638,2.4
258,636,2.47
259,347,2.12
263,662,2.14
270,109,1.4
277,22,2.64
282,31,2.47
284,718,1.59
286,268,2.37
287,725,2.79
289,731,2.5
311,123,2.59
315,47,2.13
316,460,1.9
317,67,2.32
346,737,2.84
362,879,1.24
363,763,1.69
28,2,2.54
29,290,1.5
34,625,2.24
34,627,1.91
41,763,1.9
42,6,1.92
44,443,2.29
47,36,2.07
54,22,2.67
58,76,2.34
59,642,1.47
59,61,2.2
69,305,2.44
75,97,1.94
85,227,2.7
92,142,2.23
94,186,2.12
102,158,2.22
104,693,2.16
110,209,1.52
112,230,2.46
117,291,2.09
123,240,1.81
133,284,1.5
141,128,1.92
146,141,1.56
150,328,1.92
157,209,2.04
158,456,1.8
159,332,2.25
160,295,2.0
164,344,1.93
172,8,1.98
177,391,1.97
180,377,1.68
186,541,2.29
197,168,2.41
208,86,2.11
225,511,2.53
232,598,2.17
234,539,1.95
247,605,2.22
248,610,2.43
249,612,2.35
255,622,1.93
257,6,2.56
262,654,2.29
264,669,2.04
274,694,1.77
278,22,2.86
283,715,2.01
291,53,2.37
306,781,2.56
307,22,2.01
318,56,1.45
322,798,1.49
339,757,2.5
343,778,2.31
348,197,1.38
15,218,2.32
19,93,1.96
31,9,2.28
38,439,1.91
39,167,2.04
40,52,2.71
43,172,2.55
48,5,2.35
71,18,2.08
73,91,1.56
74,96,1.93
76,256,1.7
80,648,1.84
88,125,1.67
88,66,2.92
90,461,2.22
98,53,2.2
116,22,2.36
129,28,2.17
131,175,2.33
136,315,1.99
144,650,1.88
156,219,1.72
161,341,1.73
173,22,1.71
178,407,1.46
182,387,1.82
193,458,2.21
196,433,1.73
198,262,2.39
201,175,2.26
221,502,1.85
223,682,2.3
227,514,2.3
229,525,1.6
239,475,2.03
240,576,2.0
252,619,1.55
256,629,1.78
266,676,2.23
276,698,1.8
281,710,2.51
288,728,2.02
292,23,2.8
300,362,2.55
309,23,3.2
312,13,1.74
313,596,2.1
320,53,2.33
328,807,1.79
329,491,1.66
341,770,2.48
347,826,2.37
349,214,2.41
352,844,2.52
356,847,2.48
357,855,1.65
359,866,1.8
2,226,2.33
24,402,2.1
32,17,1.82
33,6,2.38
35,22,1.8
52,28,2.51
53,44,2.11
57,566,1.88
57,56,1.97
60,18,2.2
64,195,1.1
67,261,1.37
77,102,2.31
79,111,1.87
83,145,1.24
89,180,2.23
113,126,2.03
114,224,1.8
121,234,2.28
127,571,2.2
130,589,1.92
145,8,1.75
152,67,2.03
165,324,1.2
167,355,2.6
170,356,2.32
174,369,2.18
181,384,1.92
189,414,2.03
194,829,2.64
200,845,1.95
212,485,3.02
222,280,2.31
237,565,2.48
238,573,1.16
254,95,2.18
260,790,1.72
261,818,1.51
265,672,1.86
273,374,0.84
279,704,2.28
280,708,2.2
290,735,1.82
296,290,2.58
303,746,2.23
305,334,2.03
308,742,1.8
314,42,2.5
319,119,2.53
325,802,1.98
332,66,2.61
335,6,1.62
336,527,2.06
340,757,2.15
345,861,1.95
353,841,1.6
360,201,2.42
361,876,2.11
